fragment_smiles,occurences,example_ligands
Nc1cncs1,798,248:24800:0:PV-005535362215;248:24800:3:PV-005535467685;248:24800:3:PV-005535468687;
Oc1ccc2[nH]cnc2c1,310,248:24800:2:PV-004035640838;248:24800:7:PV-004035651477;248:24800:9:PV-005535649428;
Cc1cccc2c1CCCC2,39,248:24800:2:PV-002216390625;248:24802:4:PV-005536177098;248:24807:0:PV-003512223046;
Fc1cccc2c1C1(CCC1)CN2,6,248:24800:2:PV-002578639629;248:24806:5:PV-002890236634;248:24876:2:PV-001884394184;
O=S1(=O)CC2(CCC2)C1,810,248:24800:2:PV-001740209137;248:24800:4:PV-005535521183;248:24800:8:PV-005535616288;
O=C1NCCC2CCCN12,387,248:24800:2:PV-004035640879;248:24800:2:PV-004035640880;248:24801:5:PV-005535871925;
Cc1ccc2c(c1)C(C)CCN2,49,248:24800:2:PV-002889975867;248:24803:6:PV-003511855722;248:24803:6:PV-003511855723;
C1CC2COCC(C1)C2,970,248:24800:2:PV-004035640913;248:24800:5:PV-005535547284;248:24800:6:PV-004035646708;
Cn1ncc2[nH]c(=O)ccc21,165,248:24800:2:PV-003511497678;248:24801:6:PV-003511622755;248:24801:6:PV-003511622756;
FC1(F)CC2CC2C1,903,248:24800:2:PV-004035641004;248:24800:3:PV-005535429646;248:24800:5:PV-005535535088;
c1ccc2c(c1)CCC1(CCNC1)O2,22,248:24800:2:PV-002889976015;248:24804:9:PV-004035769785;248:24806:0:PV-002890208875;
c1occ2c1CCOC2,1286,248:24800:2:PV-003511497804;248:24800:2:PV-005535413321;248:24800:2:PV-005535413322;
Cc1ccn2c(=O)ccnc2c1,96,248:24800:2:PV-003511497902;248:24800:2:PV-003511497903;248:24800:2:PV-003511497904;
CC12CCC(=O)N1CCS2,188,248:24800:2:PV-005535412496;248:24800:2:PV-005535412497;248:24800:2:PV-005535412498;
CC1CCCCS1(=O)=O,163,248:24800:2:PV-005535413054;248:24801:4:PV-005535817977;248:24802:7:PV-005536224004;
c1ncn2c1CCCCC2,406,248:24800:2:PV-005535413251;248:24800:6:PV-004035649050;248:24801:6:PV-002268149891;
c1nnn2c1CCC2,21,248:24800:2:PV-005535413455;248:24802:2:PV-005536054406;248:24804:7:PV-005536842305;
Oc1ccc2ccoc2c1,462,248:24800:2:PV-005535413745;248:24800:3:PV-005535443113;248:24800:4:PV-005535476768;
Cc1ccc(Cl)cc1O,748,248:24800:2:PV-005535413795;248:24800:4:PV-005535475650;248:24800:5:PV-005535546361;
Cc1ccc2c(c1)OCO2,29,248:24800:2:PV-005535414210;248:24801:2:PV-005535740020;248:24801:3:PV-005535793521;
Cc1coc2ccc(Cl)cc12,168,248:24800:2:PV-005535414210;248:24801:7:PV-005535887269;248:24802:4:PV-005536138985;
CC1(C)Cc2ccsc2C1,550,248:24800:2:PV-005535414300;248:24800:5:PV-005535547710;248:24800:5:PV-005535566077;
c1ncc2nc[nH]c2n1,203,248:24800:2:PV-005535414516;248:24800:6:PV-003511524264;248:24801:0:PV-005535701562;
Cc1ccc(Cl)c(F)c1,848,248:24800:2:PV-005535414698;248:24800:4:PV-005535515477;248:24800:4:PV-005535515478;
C1CC2OC1C1CC21,536,248:24800:2:PV-005535414705;248:24800:6:PV-004035643493;248:24801:0:PV-004035655757;
Cc1cc(F)c2ncccc2c1,83,248:24800:2:PV-005535415320;248:24800:4:PV-005535482807;248:24800:5:PV-003511504131;
N=S1(=O)CCC2(CCNC2)CC1,7,248:24800:2:PV-005535415448;248:24818:9:PV-005541386637;248:24829:2:PV-005544715658;
O=S1(=O)CCCCN1,2118,248:24800:2:PV-005535415615;248:24800:3:PV-005535418316;248:24800:4:PV-005535478524;
c1nc2c(s1)COCC2,828,248:24800:2:PV-005535415744;248:24800:4:PV-005535508022;248:24800:4:PV-005535508023;
C1CCC2NCCNCC2C1,534,248:24800:3:PV-005535416082;248:24800:6:PV-003511530249;248:24800:8:PV-005535615214;
CC1CC2(CC2)C1,1805,248:24800:3:PV-005535416131;248:24800:3:PV-005535416132;248:24800:6:PV-004035644432;
Nc1ncc2c(n1)CNCC2,4,248:24800:3:PV-005535416336;248:24845:8:PV-004036970284;248:24875:6:PV-003519596393;
CC12COC(C1)C2,289,248:24800:3:PV-005535416754;248:24800:7:PV-003511539155;248:24801:4:PV-005535815809;
O=c1[nH]ccc2sccc12,586,248:24800:3:PV-005535418370;248:24800:4:PV-005535522450;248:24800:5:PV-005535566287;
O=c1[nH]ccc2ccsc12,1045,248:24800:3:PV-005535418555;248:24800:3:PV-005535418556;248:24800:3:PV-005535418557;
Fc1ccc(F)c2c1CCNC2,26,248:24800:3:PV-005535418714;248:24800:3:PV-005535444627;248:24802:1:PV-002660260360;
C1CC2COCCN2C1,1221,248:24800:3:PV-005535419357;248:24800:3:PV-005535419358;248:24800:3:PV-005535419359;
CC1(O)CCNC1,1344,248:24800:3:PV-005535419448;248:24800:3:PV-005535426434;248:24800:4:PV-005535511055;
FC1(F)CC12CCCC2,263,248:24800:3:PV-005535419467;248:24800:3:PV-005535429986;248:24801:2:PV-005535729521;
CC1Cc2cc(F)ccc2CN1,26,248:24800:3:PV-005535419484;248:24802:6:PV-002526903547;248:24816:3:PV-002475244888;
Clc1cn2ccccc2n1,1125,248:24800:3:PV-005535419599;248:24800:3:PV-005535419600;248:24800:3:PV-005535419601;
CN1CCCS1(=O)=O,1070,248:24800:3:PV-005535419665;248:24800:3:PV-005535419666;248:24800:3:PV-005535431912;
Clc1cc2ccccc2o1,444,248:24800:3:PV-005535419928;248:24800:3:PV-005535450798;248:24800:3:PV-005535450799;
c1ccc2c(c1)CCS2,1953,248:24800:3:PV-005535420324;248:24800:3:PV-005535420325;248:24800:3:PV-005535422363;
Cc1cn2ccnc2s1,2106,248:24800:3:PV-005535421193;248:24800:3:PV-005535445301;248:24800:3:PV-005535451412;
O=C1Nc2ccccc2C12CCCCC2,8,248:24800:3:PV-005535421331;248:24809:6:PV-005538402881;248:24823:8:PV-005542948506;
OC1CNCC2(CC2)CC1O,16,248:24800:3:PV-005535421440;248:24800:3:PV-005535421441;248:24802:5:PV-004035700531;
Clc1ccc2ccsc2c1,304,248:24800:3:PV-005535421553;248:24800:3:PV-005535421554;248:24800:3:PV-005535465472;
Cc1c[nH]c2c1CCCC2,597,248:24800:3:PV-005535421806;248:24800:7:PV-004035650476;248:24800:7:PV-004035653142;
CC12CC(C1)C1(CCNCC1)O2,23,248:24800:3:PV-005535421833;248:24816:6:PV-005540681485;248:24816:6:PV-005540724294;
Clc1cccc2ncccc12,508,248:24800:3:PV-005535422208;248:24800:3:PV-005535422209;248:24801:3:PV-005535781476;
FC1(F)CC12CCCCC2,1078,248:24800:3:PV-005535422349;248:24800:4:PV-005535481748;248:24800:7:PV-005535573390;
FC1CC1(F)F,814,248:24800:3:PV-005535422988;248:24800:3:PV-005535468004;248:24800:4:PV-005535479128;
Clc1ccc2ncccc2c1,654,248:24800:3:PV-005535423365;248:24800:8:PV-005535582331;248:24800:8:PV-005535611802;
Cc1ccc2[nH]c(=O)[nH]c2c1,31,248:24800:3:PV-005535424352;248:24804:3:PV-005536765454;248:24804:7:PV-005536886010;
FC1(F)CCc2[nH]ncc2C1,203,248:24800:3:PV-005535424445;248:24801:4:PV-005535810407;248:24801:4:PV-005535810408;
Clc1cccc2c1CCC2,505,248:24800:3:PV-005535424713;248:24800:3:PV-005535424714;248:24800:3:PV-005535424715;
Cn1ccc2cccc(Cl)c21,227,248:24800:3:PV-005535424848;248:24800:5:PV-005535567086;248:24800:5:PV-005535567087;
Clc1cccc2c1OCCO2,419,248:24800:3:PV-005535424870;248:24800:5:PV-005535553808;248:24800:5:PV-005535553809;
O=S1(=O)Cc2ccccc2N1,169,248:24800:3:PV-005535424982;248:24800:3:PV-005535424983;248:24801:2:PV-005535735525;
c1cc2n(c1)CCSC2,2160,248:24800:3:PV-005535425007;248:24800:3:PV-005535467886;248:24800:4:PV-005535488058;
FC1(F)C2(CCC2)C12CC2,206,248:24800:3:PV-005535425463;248:24801:3:PV-005535803852;248:24802:9:PV-005536341668;
Clc1cnc2ccccn12,16,248:24800:3:PV-005535425470;248:24815:5:PV-005540324326;248:24821:2:PV-002578774154;
Nc1nc[nH]n1,549,248:24800:3:PV-005535425624;248:24800:5:PV-002164644602;248:24800:7:PV-004035652535;
O=c1[nH]ccn2cncc12,31,248:24800:3:PV-005535427046;248:24809:3:PV-005538385160;248:24813:1:PV-005539553884;
Fc1ccoc1,1915,248:24800:3:PV-005535427178;248:24800:3:PV-005535439756;248:24800:3:PV-005535439757;
CC1CC(C)CC(C)(C)C1,18,248:24800:3:PV-005535427184;248:24801:6:PV-002319901210;248:24808:1:PV-005537923306;
OC1CCCC1F,697,248:24800:3:PV-005535427741;248:24800:3:PV-005535428242;248:24800:3:PV-005535446382;
Cc1cccc(C)c1Cl,1298,248:24800:3:PV-005535427749;248:24800:3:PV-005535427750;248:24800:3:PV-005535427751;
Clc1cnc2n1CCCC2,450,248:24800:3:PV-005535427756;248:24800:8:PV-005535599932;248:24800:8:PV-005535599933;
Oc1cnsn1,1227,248:24800:3:PV-005535427890;248:24800:5:PV-005535559591;248:24800:8:PV-005535620212;
CC1=CS(=O)(=O)CCO1,663,248:24800:3:PV-005535427918;248:24800:4:PV-005535495205;248:24800:5:PV-005535539100;
Cc1cc(Cl)sc1C,570,248:24800:3:PV-005535428031;248:24800:3:PV-005535428032;248:24800:3:PV-005535428033;
Cc1ncc(Cl)cn1,2729,248:24800:3:PV-005535428677;248:24800:3:PV-005535432492;248:24800:3:PV-005535432493;
Cc1cc(N)sn1,1419,248:24800:3:PV-005535429097;248:24800:4:PV-005535498064;248:24800:4:PV-005535498065;
Cc1cc2cnccn2n1,513,248:24800:3:PV-005535429473;248:24800:6:PV-002889983032;248:24800:6:PV-003511520333;
Cc1csc(C)c1C,2485,248:24800:3:PV-005535429697;248:24800:3:PV-005535447401;248:24800:3:PV-005535447402;
Cc1nc2cc[nH]c2s1,1148,248:24800:3:PV-005535429857;248:24800:3:PV-005535429858;248:24800:3:PV-005535429859;
Cc1cc2ccsc2s1,215,248:24800:3:PV-005535429968;248:24801:8:PV-005535919844;248:24802:2:PV-005536066369;
Cc1cc2[nH]ccc2s1,985,248:24800:3:PV-005535431670;248:24800:4:PV-005535499482;248:24800:5:PV-005535543757;
C1CNC2(CCN1)CC2,8,248:24800:3:PV-005535432287;248:24826:4:PV-005543837198;248:24831:4:PV-005545441732;
O=S1(=O)C2CCCC1CC2,331,248:24800:3:PV-005535432288;248:24800:5:PV-005535544219;248:24800:5:PV-005535544220;
C1COC2COCC2N1,697,248:24800:3:PV-005535432943;248:24800:3:PV-005535438849;248:24800:3:PV-005535454522;
Clc1ccnc2[nH]ccc12,690,248:24800:3:PV-005535433012;248:24800:4:PV-005535475060;248:24800:7:PV-002423397334;
Oc1nccc2c1CNCC2,19,248:24800:3:PV-005535433307;248:24807:8:PV-005537896698;248:24819:9:PV-005541742168;
C1CC2(CCOC2)CN1,521,248:24800:3:PV-005535433506;248:24800:4:PV-005535482360;248:24800:6:PV-004035644777;
Nc1ccsc1,16,248:24800:3:PV-005535433715;248:24801:4:PV-005535819639;248:24819:9:PV-005541703341;
C1CNCC2(C1)CCCO2,580,248:24800:3:PV-005535434220;248:24801:0:PV-004035657324;248:24801:4:PV-005535829756;
CC12CC(CO1)C2,150,248:24800:3:PV-005535434539;248:24802:6:PV-004035705896;248:24804:4:PV-005536794536;
Cc1cc(Cl)cs1,1609,248:24800:3:PV-005535434636;248:24800:3:PV-005535436646;248:24800:4:PV-005535489478;
Clc1ccn2nccc2c1,538,248:24800:3:PV-005535434942;248:24800:3:PV-005535434943;248:24800:3:PV-005535434944;
O=C1CCc2ccc(F)cc2N1,171,248:24800:3:PV-005535435607;248:24800:3:PV-005535439077;248:24800:9:PV-005535656066;
Cc1c(F)cccc1F,24,248:24800:3:PV-005535436120;248:24803:7:PV-005536542773;248:24804:5:PV-004035762681;
Cc1cccc2nc[nH]c12,537,248:24800:3:PV-005535436218;248:24800:3:PV-005535436219;248:24800:3:PV-005535436220;
CN1CCCC(F)C1,950,248:24800:3:PV-005535436428;248:24800:3:PV-005535446027;248:24800:3:PV-005535446028;
Fc1cnc(Cl)nc1,4,248:24800:3:PV-005535436480;248:24808:2:PV-005538023055;248:24811:2:PV-005538970479;
Cc1ccc2c(c1)CCS2,431,248:24800:3:PV-005535436773;248:24800:7:PV-005535580801;248:24801:3:PV-005535790206;
Oc1ccc2c(n1)NCCC2,129,248:24800:3:PV-005535436854;248:24801:5:PV-002890019557;248:24802:1:PV-003511676408;
Fc1ccc2sccc2c1,1126,248:24800:3:PV-005535437184;248:24800:3:PV-005535437185;248:24800:3:PV-005535437186;
O=S1(=O)CCCC12CCC2,250,248:24800:3:PV-005535437570;248:24800:3:PV-005535437571;248:24800:3:PV-005535437572;
O=C1CCCCCCN1,481,248:24800:3:PV-005535437752;248:24801:1:PV-001566140243;248:24801:3:PV-005535767431;
c1nc2c(s1)CNCC2,1004,248:24800:3:PV-005535438487;248:24800:3:PV-005535472534;248:24800:3:PV-005535472535;
CC12CC(C1)C2,437,248:24800:3:PV-005535438691;248:24800:5:PV-004035641535;248:24800:6:PV-003511507522;
C1CNC2CCC3(CC2C1)OCCO3,5,248:24800:3:PV-005535439045;248:24807:7:PV-005537812767;248:24808:7:PV-005538144789;
c1cc2c(nn1)CCOC2,418,248:24800:3:PV-005535439165;248:24800:6:PV-003511516818;248:24800:7:PV-004035652419;
OC1COc2ccnn2C1,106,248:24800:3:PV-005535441523;248:24800:9:PV-005535653192;248:24801:2:PV-005535726951;
Cn1ccc(=O)c2ccccc21,113,248:24800:3:PV-005535441635;248:24801:2:PV-003511601441;248:24801:2:PV-003511601442;
CC1CC=C(Cl)CC1,1542,248:24800:3:PV-005535441921;248:24800:4:PV-005535475191;248:24800:4:PV-005535475192;
Cc1ccc2scc(C)c2c1,192,248:24800:3:PV-005535442387;248:24800:9:PV-005535642243;248:24802:5:PV-005536194308;
c1nc2c(s1)CCCC2,1002,248:24800:3:PV-005535442514;248:24800:3:PV-005535442515;248:24800:7:PV-005535572097;
Cc1[nH]nc2cccc(Cl)c12,188,248:24800:3:PV-005535442576;248:24800:3:PV-005535442577;248:24800:3:PV-005535442578;
Fc1cc(Cl)cs1,322,248:24800:3:PV-005535442581;248:24800:3:PV-005535442582;248:24800:5:PV-005535536941;
OC1CC2CCC(C1)N2,1100,248:24800:3:PV-005535442655;248:24800:5:PV-005535549933;248:24800:6:PV-004035644877;
Cn1ccc2c1CCOC2,544,248:24800:3:PV-005535442881;248:24800:3:PV-005535442882;248:24800:3:PV-005535442883;
Clc1cc2cc[nH]c2s1,560,248:24800:3:PV-005535443451;248:24800:3:PV-005535443452;248:24800:3:PV-005535443453;
FC1(F)CCC2(CC1)CC2,428,248:24800:3:PV-005535443509;248:24800:4:PV-005535505980;248:24800:4:PV-005535505981;
Clc1cccc2cc[nH]c12,548,248:24800:3:PV-005535443634;248:24800:3:PV-005535462730;248:24801:3:PV-005535753171;
Clc1ccc2[nH]cnc2c1,106,248:24800:3:PV-005535443818;248:24801:3:PV-005535770307;248:24801:4:PV-005535843283;
Cc1ccc2c(c1)CCCN2,149,248:24800:3:PV-005535444048;248:24800:3:PV-005535444049;248:24800:3:PV-005535444050;
O=c1[nH]c2cc(F)ccc2o1,53,248:24800:3:PV-005535444070;248:24801:1:PV-002371654029;248:24808:4:PV-002371701464;
C1CCC23CNCC2(C1)CNC3,130,248:24800:3:PV-005535444187;248:24802:3:PV-005536123968;248:24802:6:PV-004035705204;
C1CCC2CCC2CC1,852,248:24800:3:PV-005535444427;248:24800:6:PV-004035644210;248:24800:6:PV-004035646779;
O=S1(=O)CCC2(CCNCCO2)CC1,4,248:24800:3:PV-005535444481;248:24833:3:PV-005546057243;248:24844:1:PV-005549521758;
FC12CCOCC1CNC2,37,248:24800:3:PV-005535444481;248:24809:2:PV-005538299733;248:24810:3:PV-005538687636;
Cn1ncc(Cl)c1Cl,63,248:24800:3:PV-005535444790;248:24800:3:PV-005535444791;248:24800:5:PV-005535544088;
Cc1cccc2scc(Cl)c12,83,248:24800:3:PV-005535444793;248:24803:3:PV-005536441564;248:24807:1:PV-005537627889;
Cc1cc2ccc(Cl)cc2[nH]1,183,248:24800:3:PV-005535444943;248:24800:3:PV-005535444944;248:24800:9:PV-005535638935;
Cc1cc(C)cc(Cl)c1,1160,248:24800:3:PV-005535445978;248:24800:4:PV-005535493594;248:24800:4:PV-005535493595;
O=S1(=O)CCCCCC1,577,248:24800:3:PV-005535446109;248:24800:8:PV-005535590567;248:24800:9:PV-005535648558;
O=C1CCC2CC12,403,248:24800:3:PV-005535446407;248:24800:6:PV-003511516434;248:24800:6:PV-003511519806;
Cc1csc2cncnc12,478,248:24800:3:PV-005535446801;248:24800:3:PV-005535446802;248:24800:8:PV-005535608200;
FC12CCC(CC1)CC2,517,248:24800:3:PV-005535447120;248:24800:5:PV-005535563804;248:24801:3:PV-005535778199;
c1cc2cn[nH]c2s1,1235,248:24800:3:PV-005535447238;248:24800:3:PV-005535447239;248:24800:3:PV-005535449002;
Cc1csc2cccc(F)c12,140,248:24800:3:PV-005535447487;248:24800:3:PV-005535447488;248:24800:7:PV-005535573832;
c1ccc2c(c1)CCCCS2,201,248:24800:3:PV-005535447984;248:24800:3:PV-005535447985;248:24800:3:PV-005535447986;
O=S1(=O)CC2CNCC21,65,248:24800:3:PV-005535449389;248:24801:8:PV-005535926102;248:24801:9:PV-005535989556;
CC1CC2(C1)CC(F)(F)C2,458,248:24800:3:PV-005535449662;248:24800:4:PV-005535497543;248:24800:8:PV-005535615065;
O=S1(=O)CC2CC2C1,213,248:24800:3:PV-005535449791;248:24800:9:PV-005535688354;248:24800:9:PV-005535693247;
C1CNCC2(C1)CCOCC2,534,248:24800:3:PV-005535450104;248:24800:5:PV-005535553555;248:24800:6:PV-000355720237;
Cc1ccc2c(Cl)cccc2n1,86,248:24800:3:PV-005535450243;248:24801:0:PV-005535706645;248:24803:0:PV-005536347501;
Clc1csc2ccccc12,390,248:24800:3:PV-005535450459;248:24800:5:PV-005535532688;248:24800:5:PV-005535532689;
C1CCC2CCNC2CC1,429,248:24800:3:PV-005535451057;248:24800:6:PV-002889983132;248:24800:9:PV-005535680944;
Fc1cccc2c1SCCC2,9,248:24800:3:PV-005535451438;248:24809:6:PV-005538438532;248:24812:4:PV-002112974125;
c1cc2ccsc2s1,1527,248:24800:3:PV-005535451951;248:24800:3:PV-005535451952;248:24800:3:PV-005535462567;
Clc1csc2cccnc12,337,248:24800:3:PV-005535452140;248:24800:3:PV-005535452141;248:24800:3:PV-005535452142;
OC1CCC(O)C1O,5,248:24800:3:PV-005535452187;248:24809:4:PV-003512479878;248:24825:4:PV-005543535116;
O=C1CCCc2sccc21,74,248:24800:3:PV-005535452398;248:24803:5:PV-002475161675;248:24804:5:PV-002475168097;
CC1(C)CC(O)CO1,405,248:24800:3:PV-005535452487;248:24801:3:PV-005535799011;248:24801:4:PV-005535810264;
c1nnn2c1CNCCC2,6,248:24800:3:PV-005535452726;248:24805:3:PV-005537091832;248:24853:9:PV-005552653114;
Fc1cc(F)c2ccoc2c1,456,248:24800:3:PV-005535452852;248:24800:8:PV-005535585571;248:24800:8:PV-005535594471;
Cc1ccc2c(=O)[nH][nH]c2n1,115,248:24800:3:PV-005535452859;248:24801:4:PV-005535856282;248:24801:6:PV-003511632442;
Clc1ccc2sccc2c1,371,248:24800:3:PV-005535453181;248:24800:7:PV-005535570206;248:24800:7:PV-005535570207;
O=C1NCC2CC1C2,65,248:24800:3:PV-005535453535;248:24801:8:PV-005535942041;248:24801:8:PV-005535942042;
CC1CCc2ccccc21,467,248:24800:3:PV-005535453975;248:24800:7:PV-001501213894;248:24801:0:PV-001491352645;
C1CCC2(C1)CCCNC2,588,248:24800:3:PV-005535454074;248:24800:4:PV-005535502891;248:24800:5:PV-005535545272;
Oc1cc2c(nn1)CNC2,5,248:24800:3:PV-005535454584;248:24816:1:PV-005540536618;248:24875:4:PV-005559457889;
C1CC2(CCS1)CC2,1636,248:24800:3:PV-005535455706;248:24800:3:PV-005535455707;248:24800:3:PV-005535455708;
Cc1csc2nc[nH]c(=O)c12,177,248:24800:3:PV-005535455787;248:24800:3:PV-005535455788;248:24800:8:PV-005535587081;
O=c1ccoc2ccc(Cl)cc12,69,248:24800:3:PV-005535456020;248:24800:7:PV-005535571786;248:24801:9:PV-005535991941;
CC1(C)CCCC(C)(C)O1,765,248:24800:3:PV-005535456317;248:24800:3:PV-005535472841;248:24800:7:PV-004035652731;
C1SC2CC1C2,137,248:24800:3:PV-005535456678;248:24800:5:PV-005535566214;248:24803:3:PV-005536443830;
C1CCc2n[nH]nc2C1,215,248:24800:3:PV-005535457309;248:24801:3:PV-005535782171;248:24801:3:PV-005535782172;
O=C1CCNC2CCNCC2N1,420,248:24800:3:PV-005535459355;248:24801:1:PV-003511572027;248:24801:4:PV-005535848775;
Nc1ncc2c(n1)CNC2,4,248:24800:3:PV-005535459375;248:24801:2:PV-002890014130;248:24825:0:PV-002890997955;
Clc1cccc2cccnc12,233,248:24800:3:PV-005535459779;248:24800:3:PV-005535459780;248:24800:8:PV-005535599905;
CC1CCNC(C)C1,31,248:24800:3:PV-005535459786;248:24806:0:PV-004035804280;248:24806:0:PV-004035806611;
CC1COc2ccccc2O1,217,248:24800:3:PV-005535460009;248:24801:1:PV-004035660911;248:24801:9:PV-005536021629;
C1CC2(C1)CC21CC1,490,248:24800:3:PV-005535460138;248:24800:3:PV-005535460139;248:24800:3:PV-005535460140;
Cn1ncc2c1CCS(=O)(=O)C2,33,248:24800:3:PV-005535461638;248:24805:7:PV-005537190725;248:24805:7:PV-005537190726;
CC1(C)CCc2sccc2C1,247,248:24800:3:PV-005535461663;248:24800:4:PV-005535482955;248:24800:4:PV-005535482956;
c1ccc2c(c1)NCCS2,432,248:24800:3:PV-005535462652;248:24800:5:PV-005535559862;248:24801:2:PV-005535746364;
O=c1cccc2n1CCCCC2,82,248:24800:3:PV-005535463323;248:24802:5:PV-002890062824;248:24805:0:PV-004035778062;
Fc1cc2cc[nH]c2cc1F,269,248:24800:3:PV-005535464732;248:24801:5:PV-002578646239;248:24801:6:PV-002578648243;
CN1CCc2ccccc2C1,252,248:24800:3:PV-005535464985;248:24801:5:PV-003511604950;248:24802:2:PV-005536058298;
Clc1cccc2cn[nH]c12,559,248:24800:3:PV-005535466186;248:24800:3:PV-005535466187;248:24800:4:PV-005535511275;
O=C1NCC2(CNC2)N1,13,248:24800:3:PV-005535466621;248:24805:5:PV-004035793355;248:24807:7:PV-005537863378;
Clc1cccc2c1NCCC2,15,248:24800:3:PV-005535466621;248:24800:9:PV-005535672604;248:24807:8:PV-005537913552;
Cc1n[nH]c(C)c1Cl,916,248:24800:3:PV-005535466836;248:24800:5:PV-005535554972;248:24800:5:PV-005535554973;
Cn1ccc2sccc21,1276,248:24800:3:PV-005535468015;248:24800:4:PV-005535478287;248:24800:4:PV-005535487679;
CN1CCCc2ccccc21,386,248:24800:3:PV-005535469338;248:24801:0:PV-003511551508;248:24801:3:PV-005535787726;
Cc1cc(Cl)ccn1,73,248:24800:3:PV-005535469590;248:24802:5:PV-005536196247;248:24802:5:PV-005536196248;
Fc1cc(F)c2[nH]ccc2c1,248,248:24800:3:PV-005535469681;248:24802:0:PV-004035684126;248:24802:3:PV-005536082547;
Cc1cc(C)c2c(n1)CCCC2=O,52,248:24800:3:PV-005535470432;248:24801:0:PV-005535710102;248:24802:8:PV-005536268356;
CC1CNCC2(CCNC2)O1,618,248:24800:3:PV-005535470678;248:24800:9:PV-005535653079;248:24801:1:PV-004035664794;
Fc1ccc2c(c1F)NCC2,29,248:24800:3:PV-005535470697;248:24800:7:PV-003511535182;248:24801:1:PV-003511569693;
Clc1cc(Cl)c2nc[nH]c2c1,9,248:24800:3:PV-005535471017;248:24808:9:PV-002319948332;248:24810:7:PV-005538787101;
Fc1cc2[nH]ccc2cc1Cl,19,248:24800:3:PV-005535471476;248:24806:0:PV-002216427129;248:24808:0:PV-002423443940;
c1ccc2nscc2c1,1255,248:24800:3:PV-005535471614;248:24800:4:PV-005535489430;248:24800:4:PV-005535516754;
CC1CNc2ccccc21,253,248:24800:3:PV-005535472306;248:24801:4:PV-005535820517;248:24802:1:PV-002216401887;
FC1(F)C2CCCCC21,1174,248:24800:3:PV-005535473602;248:24800:4:PV-005535474451;248:24800:4:PV-005535481052;
CC1(C)CCCc2ccsc21,188,248:24800:4:PV-005535476078;248:24800:4:PV-005535476079;248:24800:4:PV-005535476080;
Fc1cc2[nH]cnc2cc1Cl,40,248:24800:4:PV-005535476553;248:24806:2:PV-005537344305;248:24808:2:PV-005537998158;
O=S1(=O)CC2CCN1CC2,107,248:24800:4:PV-005535476692;248:24800:5:PV-005535552656;248:24801:0:PV-005535711242;
Cc1ccc2c(c1)SCC2,419,248:24800:4:PV-005535476968;248:24800:4:PV-005535476969;248:24800:4:PV-005535476970;
Nc1nc2ccccc2s1,314,248:24800:4:PV-005535477958;248:24800:7:PV-005535568992;248:24800:7:PV-005535570532;
O=S1(=O)CCc2c[nH]cc21,597,248:24800:4:PV-005535478082;248:24800:9:PV-005535649637;248:24800:9:PV-005535649638;
Cc1c(Cl)ccc2cccnc12,100,248:24800:4:PV-005535478176;248:24800:8:PV-005535594691;248:24803:4:PV-005536476066;
c1cnc2ncsc2c1,20,248:24800:4:PV-005535478338;248:24800:4:PV-005535478339;248:24801:5:PV-005535867888;
c1[nH]nc2c1CC1CC21,285,248:24800:4:PV-005535478560;248:24800:4:PV-005535478561;248:24800:4:PV-005535478562;
Fc1c(Cl)ccc2cc[nH]c12,184,248:24800:4:PV-005535478724;248:24800:4:PV-005535478725;248:24801:8:PV-005535946592;
Oc1cnnc(O)c1,476,248:24800:4:PV-005535479216;248:24800:4:PV-005535479217;248:24800:4:PV-005535510795;
O=c1cc[nH]c2ccnn12,418,248:24800:4:PV-005535480544;248:24801:0:PV-000387156433;248:24801:2:PV-001053549889;
Cc1csc2nccn12,1788,248:24800:4:PV-005535481135;248:24800:4:PV-005535512625;248:24800:4:PV-005535512626;
CC1CCOc2ccccc21,164,248:24800:4:PV-005535481166;248:24801:1:PV-003511588540;248:24801:5:PV-001630002023;
C1CNCCSC1,92,248:24800:4:PV-005535481499;248:24800:4:PV-005535505886;248:24800:7:PV-002423396757;
CC1OCCC1F,565,248:24800:4:PV-005535482182;248:24800:9:PV-005535666877;248:24800:9:PV-005535666878;
Cc1cc(C)c2c(C)c[nH]c2c1,100,248:24800:4:PV-005535482917;248:24804:6:PV-003511972355;248:24805:0:PV-002164674626;
Cc1ccc(F)cc1Cl,1247,248:24800:4:PV-005535483069;248:24800:4:PV-005535483070;248:24800:4:PV-005535483071;
Nc1ncn[nH]1,62,248:24800:4:PV-005535484541;248:24801:1:PV-004035661681;248:24801:1:PV-004035661682;
Oc1ccc2c(c1)OCCC2,97,248:24800:4:PV-005535484726;248:24800:4:PV-005535484727;248:24804:8:PV-005536924907;
O=c1[nH]cc(F)c(=O)[nH]1,367,248:24800:4:PV-005535485480;248:24800:4:PV-005535485481;248:24800:8:PV-005535613247;
FC1(F)CC2CCCC(C2)C1,181,248:24800:4:PV-005535486871;248:24802:4:PV-005536131917;248:24802:4:PV-005536142156;
Cc1nsc2ncccc12,437,248:24800:4:PV-005535487058;248:24800:9:PV-005535670068;248:24800:9:PV-005535670069;
Cn1ccc2ccccc2c1=O,220,248:24800:4:PV-005535487200;248:24801:0:PV-005535705739;248:24801:0:PV-005535705740;
CC1(C)COC(C)(C)O1,580,248:24800:4:PV-005535487407;248:24800:9:PV-005535650959;248:24800:9:PV-005535659471;
