fragment_smiles,occurences,example_ligands
O=c1cccn[nH]1,4701,60:06000:0:Z758244668;60:06000:0:Z2442708493;60:06000:0:Z4111165090;
O=S1(=O)CCNCC1,4855,60:06000:0:Z4421834208;60:06000:0:Z2838981423;60:06000:0:Z2718466783;
C1=NOC2(C1)CCNC2,302,60:06000:0:Z4421834208;60:06000:0:Z4601273121;60:06001:7:Z4421833753;
Cc1nncs1,5072,60:06000:0:Z3362947796;60:06000:0:Z1592224038;60:06000:0:Z3597767518;
C1CC2CCOC2C1,3149,60:06000:0:Z3362947796;60:06000:0:Z2916891646;60:06000:0:Z3657874763;
O=C1CC2OCCC2CN1,281,60:06000:0:Z3629463585;60:06000:5:Z3629614557;60:06000:7:Z3667160638;
FC1(F)CCCCCC1,992,60:06000:0:Z3629463585;60:06000:1:Z3362661664;60:06000:1:Z3998241489;
Cc1coc2ccccc12,1946,60:06000:0:Z1417085521;60:06000:0:Z1210195483;60:06000:1:Z1183971679;
C1CNCCNC1,18220,60:06000:0:Z4224184241;60:06000:0:Z814165038;60:06000:0:Z4266347721;
Cc1cn2ccccc2n1,1960,60:06000:0:Z4224184241;60:06000:0:Z3899095147;60:06000:0:Z2801475540;
CN1CCCCC1,18920,60:06000:0:Z2771460312;60:06000:0:Z1373278246;60:06000:0:Z1651831358;
c1ccc2ncncc2c1,2929,60:06000:0:Z2771460312;60:06000:0:Z5053306502;60:06000:0:Z4312612594;
Oc1ccc2ccccc2n1,905,60:06000:0:Z4571838498;60:06000:2:Z4223018150;60:06000:5:Z3562987311;
CC1CN(C)C(=O)CN1,497,60:06000:0:Z1779158842;60:06000:0:Z4147231804;60:06000:3:Z1779581600;
C1CC2(CCN1)OCCO2,839,60:06000:0:Z1779158842;60:06000:1:Z2951685035;60:06000:1:Z2200805304;
Cn1cccc1,11658,60:06000:0:Z1545206820;60:06000:0:Z4216812562;60:06000:0:Z3712730454;
Cc1cnc2scnc2c1,159,60:06000:0:Z3602882150;60:06000:4:Z3602884383;60:06000:6:Z3602881769;
C1CC2(C1)CCNCCO2,422,60:06000:0:Z3602882150;60:06000:3:Z3188416682;60:06000:4:Z3175027419;
CC1CNCCS1(=O)=O,1103,60:06000:0:Z3558623472;60:06000:0:Z4022032931;60:06000:0:Z2829034365;
