fragment_smiles,occurences,example_ligands
O=C1CC2(CCCNC2)CN1,251,20:02000:0:Z1282449933;20:02000:1:Z1569361403;20:02000:3:Z1275873309;
Cc1ccoc1,10412,20:02000:0:Z1664182594;20:02000:0:Z4368527096;20:02000:0:Z2285269812;
c1nnco1,23596,20:02000:0:Z1664182594;20:02000:0:Z4445904190;20:02000:0:Z3224529826;
C1CC2CCC1O2,8965,20:02000:0:Z3585411260;20:02000:0:Z2476199874;20:02000:0:Z2792538351;
c1ccc2c(c1)OCCO2,3991,20:02000:0:Z3585411260;20:02000:0:Z2476199874;20:02000:0:Z1137708821;
FC1CCC1,19641,20:02000:0:Z3467857425;20:02000:0:Z3175507390;20:02000:0:Z3819522787;
Oc1ccccc1,25720,20:02000:0:Z2781898692;20:02000:0:Z2197020086;20:02000:0:Z2923788701;
OC1CCCCC1,23386,20:02000:0:Z2781898692;20:02000:0:Z1864345779;20:02000:0:Z221440068;
Cc1cocn1,8496,20:02000:0:Z2207111042;20:02000:0:Z2001526338;20:02000:0:Z2719106137;
CN1CCCC1,13164,20:02000:0:Z2207111042;20:02000:0:Z4181661936;20:02000:0:Z4221029461;
Cc1n[nH]cc1Cl,809,20:02000:0:Z1933240239;20:02000:0:Z3697863993;20:02000:2:Z4216338867;
O=C1CCCCN1,20149,20:02000:0:Z4993780498;20:02000:0:Z4118409141;20:02000:0:Z3132116170;
C1CCOC1,138781,20:02000:0:Z3172131015;20:02000:0:Z3172122941;20:02000:0:Z4214179867;
c1ccnnc1,18128,20:02000:0:Z3172131015;20:02000:0:Z3172122941;20:02000:0:Z1884295280;
C1CC2(CCN1)CC2,2781,20:02000:0:Z1832079456;20:02000:0:Z2909665036;20:02000:0:Z5054374643;
c1ccc2ncccc2c1,8045,20:02000:0:Z1832079456;20:02000:0:Z5013950196;20:02000:0:Z5013972530;
Cc1ncc2c(n1)CCNC2,231,20:02000:0:Z4204491890;20:02000:5:Z3100103402;20:02000:5:Z3100103428;
