fragment_smiles,occurences,example_ligands
Cc1ccccc1C,7367,84:08400:0:PV-006011819942;84:08400:0:PV-006011819943;84:08400:0:PV-002277737302;
CC1(C)CCCC1,6071,84:08400:0:PV-006011820068;84:08400:0:PV-006011820069;84:08400:0:PV-003671848314;
Cn1cccc1,21863,84:08400:0:PV-006011820163;84:08400:0:PV-006011820164;84:08400:0:PV-006011820165;
Cc1ccccc1,78463,84:08400:0:PV-006011820606;84:08400:0:PV-006011831182;84:08400:0:PV-006011844306;
OC1CCNCC1,14799,84:08400:0:PV-006011820667;84:08400:0:PV-003671845469;84:08400:0:PV-003671848892;
O=S1(=O)CCCCC1,3584,84:08400:0:PV-006011820684;84:08400:0:PV-006011826566;84:08400:0:PV-002952137606;
O=S1(=O)CCNC2CCCN21,30,84:08400:0:PV-006011820684;84:08400:0:PV-002277738269;84:08407:9:PV-003674537130;
OC1CCCNC1,30233,84:08400:0:PV-006011820868;84:08400:0:PV-006011820869;84:08400:0:PV-006011820870;
c1cn2c(n1)CCCCC2,465,84:08400:0:PV-006011820985;84:08400:1:PV-002432992003;84:08400:2:PV-002329494671;
CN1CCC2(CCNCC2)C1=O,44,84:08400:0:PV-006011821703;84:08400:5:PV-003672039082;84:08403:3:PV-002952576493;
Clc1ccc(Cl)cc1,3473,84:08400:0:PV-006011821830;84:08400:0:PV-006011848677;84:08400:0:PV-003671881174;
CC12CNCC1CSC2,388,84:08400:0:PV-006011822093;84:08400:1:PV-006011876254;84:08400:1:PV-003671901166;
O=C1CCC1,1887,84:08400:0:PV-006011822093;84:08400:0:PV-006011839304;84:08400:1:PV-006011972656;
Cc1ccon1,22188,84:08400:0:PV-006011822124;84:08400:0:PV-006011834649;84:08400:0:PV-006011848747;
Cc1ncccc1O,105,84:08400:0:PV-006011822124;84:08400:3:PV-006012115828;84:08400:4:PV-002952193955;
c1cn2c(n1)CCC2,3981,84:08400:0:PV-006011822250;84:08400:0:PV-003671848205;84:08400:0:PV-003671848206;
C1CC2CCC1N2,16002,84:08400:0:PV-006011822267;84:08400:0:PV-006011842972;84:08400:0:PV-003671844980;
CC1(C)CNCC(O)C1,74,84:08400:0:PV-006011822267;84:08400:4:PV-002122499966;84:08400:5:PV-002225995109;
Oc1cccc2occc12,254,84:08400:0:PV-006011822309;84:08400:0:PV-002952140777;84:08400:0:PV-002952140778;
Cn1nccc1F,4948,84:08400:0:PV-006011822370;84:08400:0:PV-003671862564;84:08400:0:PV-003671871686;
c1ccc2c(c1)CCN2,6031,84:08400:0:PV-006011822579;84:08400:0:PV-006011822580;84:08400:0:PV-006011823579;
Nc1nnc[nH]1,757,84:08400:0:PV-006011823476;84:08400:2:PV-003671917663;84:08400:2:PV-002952170092;
CC1CNC1,58552,84:08400:0:PV-006011823478;84:08400:0:PV-002952136497;84:08400:0:PV-003671845800;
c1ccoc1,97190,84:08400:0:PV-006011823478;84:08400:0:PV-006011833783;84:08400:0:PV-006011836333;
C1CC2CC12,15746,84:08400:0:PV-006011823478;84:08400:0:PV-006011842833;84:08400:0:PV-003671845267;
c1cnc2c(c1)CCCC2,1428,84:08400:0:PV-006011823541;84:08400:0:PV-006011823542;84:08400:0:PV-003671865360;
Cn1ccc(O)n1,2049,84:08400:0:PV-006011824029;84:08400:0:PV-006011824030;84:08400:0:PV-003671862049;
c1cnsc1,68742,84:08400:0:PV-006011824129;84:08400:0:PV-006011824130;84:08400:0:PV-006011824131;
C1CC2CCC2C1,4500,84:08400:0:PV-006011824397;84:08400:0:PV-003671850822;84:08400:0:PV-003671866006;
Cc1ccc2cnn(C)c2n1,103,84:08400:0:PV-006011824397;84:08400:9:PV-003672168595;84:08400:9:PV-003672168596;
Cc1cc(=O)ccn1C,275,84:08400:0:PV-006011824628;84:08400:0:PV-003671880899;84:08400:4:PV-006012276319;
CS(C)(=N)=O,6047,84:08400:0:PV-006011824647;84:08400:0:PV-002432989528;84:08400:0:PV-002952146242;
C1CC2CC2C1,33190,84:08400:0:PV-006011824740;84:08400:0:PV-006011824741;84:08400:0:PV-006011824742;
c1cc2sccn2n1,819,84:08400:0:PV-006011824924;84:08400:1:PV-006011901399;84:08400:1:PV-003671905480;
N=S1(=O)CCCC1,219,84:08400:0:PV-006011825289;84:08400:2:PV-004079183457;84:08400:3:PV-003671979839;
c1n[nH]c2c1CCCC2,2042,84:08400:0:PV-006011825735;84:08400:2:PV-003671941379;84:08400:3:PV-006012105803;
C1COC2CC2C1,2201,84:08400:0:PV-006011826698;84:08400:0:PV-003671847205;84:08400:0:PV-003671863858;
c1cocn1,65410,84:08400:0:PV-006011826702;84:08400:0:PV-006011834663;84:08400:0:PV-006011843468;
Cc1cc(Cl)sc1Cl,843,84:08400:0:PV-006011826721;84:08400:0:PV-006011826722;84:08400:2:PV-006012059211;
C1NCC2CC1CN2,3589,84:08400:0:PV-006011826754;84:08400:0:PV-002952143119;84:08400:0:PV-002952149575;
O=c1[nH]cn[nH]1,2474,84:08400:0:PV-006011826754;84:08400:0:PV-002225985230;84:08400:0:PV-002952150614;
Fc1cc(F)cc(Cl)c1,609,84:08400:0:PV-006011826798;84:08400:0:PV-006011826799;84:08400:0:PV-006011826800;
CC1CNCCO1,4730,84:08400:0:PV-006011827162;84:08400:0:PV-006011832492;84:08400:0:PV-002952136968;
C1CC2CNCC1N2,12324,84:08400:0:PV-006011827378;84:08400:0:PV-003671844884;84:08400:0:PV-003671844886;
C1CSCS1,9260,84:08400:0:PV-006011827378;84:08400:0:PV-002952135741;84:08400:0:PV-002952136230;
C1CC2CCC1C2,14561,84:08400:0:PV-006011827387;84:08400:0:PV-006011837716;84:08400:0:PV-003671848637;
