fragment_smiles,occurences,example_ligands
CC1CNCC1F,291,197:19700:0:Z3681561537;197:19700:5:Z4772580142;197:19701:7:Z3560549468;
FC1(F)CCCC1,3026,197:19700:0:Z4191350923;197:19700:0:Z2773056775;197:19700:0:Z3495790930;
Cc1ccncn1,16061,197:19700:0:Z3019660253;197:19700:0:Z3667870314;197:19700:0:Z2156615219;
OC1CCOC2(CCNCC2)C1,392,197:19700:0:Z3019660253;197:19700:0:Z3581703105;197:19700:3:Z2920377824;
C1CNC2CC2N1,139,197:19700:0:Z4999203400;197:19704:0:Z4879727936;197:19704:4:Z4508031899;
O=C1CCc2ccccc21,2942,197:19700:0:Z4999203400;197:19700:0:Z5001514163;197:19700:0:Z5001519720;
Cc1ccc(C)[nH]1,10250,197:19700:0:Z3317765784;197:19700:0:Z2656119729;197:19700:0:Z3625330039;
C1NCC2CC12,11474,197:19700:0:Z4598634126;197:19700:0:Z2207567461;197:19700:0:Z4476131598;
OC1CCNC1,23952,197:19700:0:Z3297982064;197:19700:0:Z3524031757;197:19700:0:Z3299745290;
CC1CCNCCN1,928,197:19700:0:Z3297982064;197:19700:0:Z4003060313;197:19700:0:Z2478334634;
Cc1ncccn1,6784,197:19700:0:Z1991219506;197:19700:0:Z4055285643;197:19700:0:Z2474618955;
Cc1ccccc1C,19990,197:19700:0:Z3589980791;197:19700:0:Z3648476281;197:19700:0:Z1176573835;
c1nnc[nH]1,91468,197:19700:0:Z3589980791;197:19700:0:Z1959824890;197:19700:0:Z1974181278;
Cn1cncn1,12704,197:19700:0:Z4400885307;197:19700:0:Z1959824890;197:19700:0:Z4245171478;
Fc1ccc2c(c1)OCO2,261,197:19700:0:Z2843850088;197:19700:0:Z3008809025;197:19700:2:Z3008917655;
c1cncnc1,92337,197:19700:0:Z2165305322;197:19700:0:Z2179010401;197:19700:0:Z2992740292;
CN1CCNCC1,35082,197:19700:0:Z2165305322;197:19700:0:Z1677286435;197:19700:0:Z2405334489;
c1nnco1,31876,197:19700:0:Z2169597354;197:19700:0:Z1665021769;197:19700:0:Z166504694;
Cc1cccc(C)c1,30904,197:19700:0:Z2015432625;197:19700:0:Z4404693397;197:19700:0:Z2763051789;
CC1(C)CNCc2ccc(F)cc21,78,197:19700:0:Z4467012701;197:19701:0:Z4424100620;197:19701:8:Z4402705034;
Cc1c[nH]nn1,509,197:19700:0:Z2256498724;197:19700:2:Z4199201749;197:19700:5:Z4155482609;
O=S1(=O)CC2NCCNC2C1,170,197:19700:0:Z4207887760;197:19700:0:Z2954157516;197:19700:2:Z3516737878;
Cc1cscn1,39108,197:19700:0:Z3655388025;197:19700:0:Z1978212099;197:19700:0:Z1528165896;
C1COC2CNCC2O1,222,197:19700:0:Z3655388025;197:19702:2:Z4590347429;197:19702:6:Z3694849574;
Cc1cnc2ccccn12,777,197:19700:0:Z3842414678;197:19700:0:Z4246996602;197:19700:0:Z4013428523;
Cn1cnnc1,32080,197:19700:0:Z3094528821;197:19700:0:Z2651540624;197:19700:0:Z2008722772;
C1CC2(CN1)COCCO2,397,197:19700:0:Z3094528821;197:19700:0:Z2972441795;197:19700:0:Z2967688079;
c1ccc2scnc2c1,13981,197:19700:0:Z3524031757;197:19700:0:Z4913620272;197:19700:0:Z3466712495;
Cc1cncnc1N,43,197:19700:0:Z4174797928;197:19704:6:Z2968057804;197:19708:6:Z2974878634;
Cc1coc(C)c1,1079,197:19700:0:Z2685119486;197:19700:0:Z1343901066;197:19700:0:Z3723934806;
Cc1ccncc1,13290,197:19700:0:Z1699317053;197:19700:0:Z4340022403;197:19700:0:Z2293556676;
C1CCC2(C1)CCN2,103,197:19700:0:Z4639313948;197:19701:5:Z2477141101;197:19702:6:Z2474809206;
CN1CCNc2ncccc2C1,194,197:19700:0:Z4400548511;197:19700:1:Z4400548373;197:19701:1:Z4126839927;
Cn1ccnn1,10282,197:19700:0:Z4400548511;197:19700:0:Z2167855767;197:19700:0:Z3175962273;
c1cnoc1,69797,197:19700:0:Z3614961043;197:19700:0:Z4404693397;197:19700:0:Z3597725467;
CC1(C)CNC(C)(C)C1,110,197:19700:0:Z3695510768;197:19702:1:Z3654662769;197:19702:9:Z5024580169;
O=C1NCCCc2ccccc21,459,197:19700:0:Z3695510768;197:19700:1:Z2569103435;197:19700:2:Z4994987142;
c1nnc2n1CCNC2,7485,197:19700:0:Z1978212099;197:19700:0:Z1732188808;197:19700:0:Z1514347551;
CC1CCCCS1(=O)=O,1379,197:19700:0:Z4109760007;197:19700:2:Z3646649530;197:19700:2:Z3574376843;
c1ccc2c(c1)CCC2,22635,197:19700:0:Z1260183281;197:19700:0:Z2313463757;197:19700:0:Z4124188955;
C1COCO1,8712,197:19700:0:Z1911350994;197:19700:0:Z3678602343;197:19700:0:Z2979253359;
c1ccc2c(c1)OCCO2,23056,197:19700:0:Z1911350994;197:19700:0:Z4594863922;197:19700:0:Z2773056775;
O=C1NCCc2ccccc21,3423,197:19700:0:Z2493888477;197:19700:0:Z4574395185;197:19700:0:Z4320716920;
c1ccnnc1,19768,197:19700:0:Z5036713858;197:19700:0:Z1831902943;197:19700:0:Z1831915402;
c1nnc2n1CCCCC2,4480,197:19700:0:Z4286663042;197:19700:0:Z803757986;197:19700:0:Z2255384847;
O=S1(=O)CCNCC1,6904,197:19700:0:Z3711880681;197:19700:0:Z3669016512;197:19700:0:Z2932291015;
CN1CCCC1=O,12138,197:19700:0:Z4591704703;197:19700:0:Z4250654858;197:19700:0:Z3583973877;
