fragment_smiles,occurences,example_ligands
CC1CCNC(C)C1,439,103:10300:0:Z4578324174;103:10300:3:Z3170012568;103:10300:9:Z4054319613;
Fc1cccc(F)c1,42397,103:10300:0:Z2160653616;103:10300:0:Z3788002295;103:10300:0:Z817702544;
C1CCC2CC2C1,3443,103:10300:0:Z3058936133;103:10300:0:Z3190547377;103:10300:0:Z4420882477;
O=S1(=O)CCC2CNCC21,1294,103:10300:0:Z3058936133;103:10300:0:Z3555237948;103:10300:0:Z3555236388;
Cn1cn[nH]c1=O,2006,103:10300:0:Z3348911457;103:10300:1:Z3804269305;103:10300:1:Z2223402832;
Cc1cc(C)ncn1,3644,103:10300:0:Z4181715935;103:10300:0:Z3655674072;103:10300:0:Z1181612176;
CC1(C)CNC(=O)C1,456,103:10300:0:Z2914789483;103:10300:5:Z3683742570;103:10300:6:Z2874793412;
O=c1[nH]c2ccccc2[nH]1,3368,103:10300:0:Z1276046930;103:10300:0:Z2824720499;103:10300:0:Z1440830555;
C1CCSC1,15030,103:10300:0:Z3205898993;103:10300:0:Z3153800521;103:10300:0:Z2229075295;
c1ccc2c(c1)CCCN2,9995,103:10300:0:Z3000295030;103:10300:0:Z3666796022;103:10300:0:Z2646951149;
Cc1cscn1,32278,103:10300:0:Z3173529328;103:10300:0:Z1136133257;103:10300:0:Z2362463962;
C1CC2CC1CN2,12134,103:10300:0:Z4290482181;103:10300:0:Z4046263959;103:10300:0:Z4269345217;
C1CC2(C1)CCC2,15015,103:10300:0:Z3606694087;103:10300:0:Z3712648717;103:10300:0:Z4266395956;
c1ccc2sccc2c1,7130,103:10300:0:Z4004127422;103:10300:0:Z3652210702;103:10300:0:Z3357763392;
CN1CCCC1=O,11618,103:10300:0:Z2841858084;103:10300:0:Z1309548229;103:10300:0:Z4114725300;
Clc1ccc2[nH]ccc2c1,1169,103:10300:0:Z2647271616;103:10300:0:Z3899487600;103:10300:0:Z4154897858;
OC1CCCOC1,1343,103:10300:0:Z2647271616;103:10300:0:Z2485495861;103:10300:0:Z2709514207;
O=C1COCCN1,2283,103:10300:0:Z5059751533;103:10300:0:Z3175531216;103:10300:0:Z1932013558;
C1CN2CCC1C2,2214,103:10300:0:Z4483096024;103:10300:1:Z4219602244;103:10300:1:Z2892581387;
O=S1(=O)CCNCCC12CCC2,163,103:10300:0:Z2335279069;103:10301:4:Z2829338979;103:10302:0:Z3702009977;
Cc1cccc(C)c1,22409,103:10300:0:Z2774865522;103:10300:0:Z4954261434;103:10300:0:Z2366006132;
Cc1ccc2nccn2c1,1252,103:10300:0:Z1537227881;103:10300:1:Z3714357543;103:10300:3:Z2715286981;
C1CCCNCC1,40175,103:10300:0:Z3520449143;103:10300:0:Z3682445980;103:10300:0:Z4324072432;
CC1(C)CCCCN1,1257,103:10300:0:Z3797534763;103:10300:0:Z4572848700;103:10300:1:Z3882070193;
CN1CCNCC1,17845,103:10300:0:Z3797534763;103:10300:0:Z4226564301;103:10300:0:Z2919167000;
CC1CCCCN1,26995,103:10300:0:Z3436060537;103:10300:0:Z4057329630;103:10300:0:Z839819304;
c1cnoc1,85932,103:10300:0:Z2836749770;103:10300:0:Z2588646125;103:10300:0:Z1256828234;
C1CCC2(CCC2)NC1,2184,103:10300:0:Z4004318348;103:10300:0:Z4095300837;103:10300:0:Z4002558257;
FC1CC2(CCC2)C1,1264,103:10300:0:Z3537982751;103:10300:9:Z3557744621;103:10301:3:Z3915030115;
C1CNC2(C1)CCOCC2,1933,103:10300:0:Z3499220601;103:10300:0:Z3550738700;103:10300:0:Z3880554829;
Clc1ccc2ccccc2c1,764,103:10300:0:Z3499220601;103:10300:0:Z3351999102;103:10300:0:Z1374957330;
Cc1ccsc1,20460,103:10300:0:Z3601782492;103:10300:0:Z1507488193;103:10300:0:Z1531398202;
C1COCOC1,3341,103:10300:0:Z3601782492;103:10300:0:Z1820565925;103:10300:1:Z2589713773;
Fc1ccc(F)cc1,9350,103:10300:0:Z1547988301;103:10300:0:Z4154753207;103:10300:0:Z791583952;
c1cc2c(s1)CCNC2,2658,103:10300:0:Z4471743742;103:10300:0:Z2602353919;103:10300:0:Z1920118659;
Clc1cccs1,22326,103:10300:0:Z4343595802;103:10300:0:Z4229647752;103:10300:0:Z910952256;
C1COC2(C1)CCOCC2,1118,103:10300:0:Z2926618969;103:10300:0:Z3667368691;103:10300:1:Z2962130630;
c1nnn[nH]1,19253,103:10300:0:Z4233311683;103:10300:0:Z4954261434;103:10300:0:Z4279609834;
c1ccc2[nH]ccc2c1,22931,103:10300:0:Z4233311683;103:10300:0:Z1980980844;103:10300:0:Z1432706292;
CC1OC2CC1C2,491,103:10300:0:Z3509803677;103:10300:1:Z4344548818;103:10300:2:Z4326883939;
CC1(C)CCCO1,3889,103:10300:0:Z1745002572;103:10300:0:Z3541252985;103:10300:0:Z4165030639;
Fc1cccc2[nH]cnc12,857,103:10300:0:Z2877882196;103:10300:0:Z1410856708;103:10300:3:Z3869632372;
Cc1ccc(C)n1C,806,103:10300:0:Z3093249462;103:10300:2:Z1522730409;103:10300:3:Z2718232328;
CC1CCCN1,48132,103:10300:0:Z3093249462;103:10300:0:Z2755604244;103:10300:0:Z4655846882;
c1cnc2ncoc2c1,295,103:10300:0:Z4291776766;103:10300:8:Z4289241155;103:10301:2:Z4288547250;
Cc1ccccc1C,12713,103:10300:0:Z1851827114;103:10300:0:Z1591988746;103:10300:0:Z1497402001;
FC1CCCC1,8268,103:10300:0:Z2325661061;103:10300:0:Z1967293178;103:10300:0:Z2099273801;
Cc1ccn[nH]1,32871,103:10300:0:Z2588646125;103:10300:0:Z1602125885;103:10300:0:Z3899395528;
Cc1nncn1C,1968,103:10300:0:Z1425391865;103:10300:0:Z2613753692;103:10300:0:Z3502563405;
Cc1ccncn1,17022,103:10300:0:Z2274074958;103:10300:0:Z1348426722;103:10300:0:Z4647933360;
C1CCC2(CCOCC2)OC1,1071,103:10300:0:Z2972056328;103:10300:2:Z5035219759;103:10300:2:Z4269509482;
C1CNCCOC1,14914,103:10300:0:Z2972056328;103:10300:0:Z3019566708;103:10300:0:Z3705413078;
c1cn2ccnc2cn1,833,103:10300:0:Z2977772385;103:10300:1:Z3600355767;103:10300:1:Z1280876956;
CC1CCNCC1,26128,103:10300:0:Z3139556123;103:10300:0:Z2111473729;103:10300:0:Z4142310630;
OC1CCOC1,5189,103:10300:0:Z3139556123;103:10300:0:Z4975254623;103:10300:0:Z3352028160;
c1cnc2[nH]cnc2c1,1937,103:10300:0:Z1574907483;103:10300:0:Z3625494068;103:10300:0:Z4225025710;
c1nc2c([nH]1)CCOC2,214,103:10300:0:Z4150419542;103:10300:0:Z3385266610;103:10300:2:Z3343063161;
Cc1ccc(C)c(O)c1,218,103:10300:0:Z4150419542;103:10300:4:Z3995299316;103:10302:0:Z3864694087;
Cc1cccc(F)c1,12192,103:10300:0:Z2776870746;103:10300:0:Z2775266790;103:10300:0:Z1462901084;
Cn1ccnn1,14173,103:10300:0:Z3188198990;103:10300:0:Z4220887693;103:10300:0:Z3339596504;
Cc1cncnc1,1261,103:10300:0:Z4343731313;103:10300:0:Z4138698105;103:10300:0:Z1529717754;
c1n[nH]c2c1CCCC2,5983,103:10300:0:Z4343731313;103:10300:0:Z2849963444;103:10300:0:Z4352957044;
O=C1CC2OCCC2CN1,218,103:10300:0:Z3667308816;103:10300:4:Z3629004368;103:10300:8:Z3644499455;
Cc1ccc2c(c1)CCO2,480,103:10300:0:Z3538307206;103:10300:0:Z3549390121;103:10300:2:Z3575487181;
Cc1cn[nH]c1,15104,103:10300:0:Z1500834139;103:10300:0:Z812334744;103:10300:0:Z1183760751;
O=C1Cc2cc(F)ccc2N1,375,103:10300:0:Z3671668468;103:10300:0:Z3668917206;103:10300:1:Z3295120783;
CC1(C)COCCO1,4261,103:10300:0:Z4139399280;103:10300:0:Z4021781841;103:10300:0:Z4266676263;
Cc1cccc(C)n1,3700,103:10300:0:Z1835855651;103:10300:0:Z3493033771;103:10300:0:Z2911296407;
Cc1ccccn1,29659,103:10300:0:Z1835855651;103:10300:0:Z4246087146;103:10300:0:Z3493366420;
Cc1cocn1,9907,103:10300:0:Z2921161145;103:10300:0:Z2191945563;103:10300:0:Z2607299663;
c1cnc2c(c1)CNCC2,895,103:10300:0:Z4053532609;103:10300:0:Z4447597443;103:10300:0:Z4447364850;
C1CC2CCC2C1,5047,103:10300:0:Z4065618712;103:10300:0:Z4215911175;103:10300:0:Z4216500122;
C1CC2COC(C1)C2,2440,103:10300:0:Z4260363656;103:10300:0:Z3647548860;103:10300:0:Z4267489580;
Cc1ccoc1,17912,103:10300:0:Z2411626350;103:10300:0:Z2833166038;103:10300:0:Z2826448311;
c1ccc2cnccc2c1,8705,103:10300:0:Z4834476529;103:10300:0:Z3649530298;103:10300:0:Z4091126608;
Cc1ccn2nc(C)cc2n1,279,103:10300:0:Z2191945563;103:10300:8:Z1890946452;103:10301:1:Z2898574200;
CC12CCNCC1C2(F)F,180,103:10300:0:Z2640228969;103:10300:1:Z2207086177;103:10300:5:Z2210335067;
Oc1ncccn1,42,103:10300:0:Z3576404572;103:10301:1:Z2982733212;103:10303:5:Z3986826890;
Clc1ccc2cc[nH]c2c1,1159,103:10300:0:Z4205091688;103:10300:0:Z2718285611;103:10300:1:Z3504366578;
C1COC2COCC2N1,963,103:10300:0:Z4205091688;103:10300:0:Z4107680684;103:10300:2:Z4474010635;
O=S1(=O)CC2CCC(C2)N1,45,103:10300:0:Z2994076842;103:10300:1:Z3780765364;103:10300:8:Z3548930412;
c1ccc2[nH]ncc2c1,8249,103:10300:0:Z1198745105;103:10300:0:Z4538095832;103:10300:0:Z3408330763;
CC1(C)CCCCO1,4695,103:10300:0:Z3368185614;103:10300:0:Z4261417049;103:10300:0:Z3564536524;
Clc1cccnc1,23464,103:10300:0:Z2435214783;103:10300:0:Z4353009267;103:10300:0:Z3712117271;
OC1CCOc2ccccc21,840,103:10300:0:Z1702708839;103:10300:0:Z2145972475;103:10300:0:Z4477733782;
CC1CCn2ccnc2C1,527,103:10300:0:Z4369949977;103:10300:1:Z4643756320;103:10300:2:Z5019049656;
c1ccnnc1,21736,103:10300:0:Z4313049059;103:10300:0:Z4313049060;103:10300:0:Z3343140043;
FC12CCCC(CC1)C2,138,103:10300:0:Z4923941234;103:10300:3:Z4921739553;103:10300:4:Z4922043650;
Fc1cc(F)c2c(c1)CCCO2,754,103:10300:0:Z5048364598;103:10300:0:Z5048364597;103:10300:0:Z5059792417;
Clc1ccncn1,914,103:10300:0:Z1659408910;103:10300:0:Z3830571115;103:10300:0:Z4158169795;
Cn1ccc2ccccc21,4323,103:10300:0:Z1039131276;103:10300:0:Z3474127733;103:10300:0:Z4227244733;
Cc1cc(C)on1,8202,103:10300:0:Z1903645390;103:10300:0:Z1885068281;103:10300:0:Z3138433052;
NC1CC(O)C12CCC2,176,103:10300:0:Z4447394125;103:10300:0:Z4174655088;103:10301:2:Z4447917349;
c1ccc2ncncc2c1,2553,103:10300:0:Z4138494640;103:10300:0:Z1247219372;103:10300:1:Z4603209176;
CC1CNCCN1,39759,103:10300:0:Z4992005751;103:10300:0:Z4224962809;103:10300:0:Z3151921558;
CC1CCN(C)C1,438,103:10300:0:Z4418649106;103:10300:0:Z1408330765;103:10300:7:Z4418526482;
Clc1c[nH]cn1,430,103:10300:0:Z3360045450;103:10300:7:Z3364749545;103:10301:1:Z3393279866;
c1ccc2[nH]cnc2c1,13451,103:10300:0:Z4053175094;103:10300:0:Z1527845646;103:10300:0:Z4230721375;
Clc1cn[nH]c1,12648,103:10300:0:Z3297799327;103:10300:0:Z4096815078;103:10300:0:Z3382947226;
Nc1ccnc(O)c1,227,103:10300:0:Z4263846866;103:10302:6:Z4296163433;103:10306:9:Z4290308603;
CN1CC2CCCC(CC1=O)N2,184,103:10300:0:Z3555084965;103:10300:1:Z3657394830;103:10300:9:Z4153678060;
O=C1CCNC(=O)N1,13667,103:10300:0:Z3531466200;103:10300:0:Z3463161710;103:10300:0:Z4455496145;
C1CC2CCOC2C1,2164,103:10300:0:Z3531466200;103:10300:0:Z2794021150;103:10300:1:Z4076903142;
C1COC2(C1)CCC2,4101,103:10300:0:Z3666796022;103:10300:0:Z2180735663;103:10300:0:Z4242406926;
C1NCC2CC12,52425,103:10300:0:Z4177815893;103:10300:0:Z3907236687;103:10300:0:Z4059079260;
Cn1cncc1Cl,1327,103:10300:0:Z822782142;103:10300:2:Z1023704346;103:10300:3:Z1881366230;
OC1CNOC1,48,103:10300:0:Z3682445980;103:10303:4:Z3587189381;103:10305:8:Z3684698240;
CC1CCCNC1,32335,103:10300:0:Z4406449682;103:10300:0:Z4412993111;103:10300:0:Z3620540886;
c1cnc2cc[nH]c2c1,2520,103:10300:0:Z4406449682;103:10300:0:Z4975254623;103:10300:0:Z3671177599;
Cc1cccnn1,7923,103:10300:0:Z4620694926;103:10300:0:Z1867140074;103:10300:0:Z4157227947;
O=C1NCCc2c(F)cccc21,121,103:10300:0:Z4620694926;103:10300:1:Z4376132433;103:10300:3:Z4012084991;
CC1CC(F)C1,2004,103:10300:0:Z3416881238;103:10300:0:Z3872501787;103:10300:2:Z3620808332;
Clc1ccno1,68,103:10300:0:Z4324072432;103:10301:0:Z4320830788;103:10301:0:Z4260511812;
C1OCC2CC12,5634,103:10300:0:Z4345593360;103:10300:0:Z2869022129;103:10300:1:Z2077951418;
O=C1CNCCN1,11280,103:10300:0:Z3990976719;103:10300:0:Z4484407689;103:10300:0:Z3569772041;
Cc1ccc(C)[nH]1,6887,103:10300:0:Z2643226670;103:10300:0:Z4638419102;103:10300:0:Z3367648271;
Cc1n[nH]c2cncnc12,69,103:10300:0:Z1980980844;103:10300:2:Z2092214462;103:10303:0:Z2091862618;
Cn1ncc2ccccc2c1=O,511,103:10300:0:Z3394756855;103:10300:2:Z1261370211;103:10300:3:Z87759650;
c1ncsn1,5950,103:10300:0:Z3394756855;103:10300:0:Z1930981383;103:10300:0:Z4331480637;
Cc1cc(C)[nH]n1,19265,103:10300:0:Z3623344160;103:10300:0:Z413303742;103:10300:0:Z2968775252;
O=C1CCc2ccccc2N1,4566,103:10300:0:Z3623344160;103:10300:0:Z1678022735;103:10300:0:Z1863906885;
c1cc[nH]c1,49097,103:10300:0:Z2957474661;103:10300:0:Z3797234607;103:10300:0:Z1889594659;
Cc1ccc(Cl)cn1,384,103:10300:0:Z4574723763;103:10300:0:Z4081913140;103:10300:2:Z4144878205;
Cn1ccc2c1CCNC2,460,103:10300:0:Z5048574268;103:10300:1:Z4477974886;103:10300:4:Z4421034289;
CC1(C)CCCCS1,125,103:10300:0:Z4308149890;103:10300:3:Z2978107659;103:10302:7:Z2978104921;
