fragment_smiles,occurences,example_ligands
Cc1cnc[nH]1,3472,16:01600:0:Z3613159113;16:01600:0:Z2702223024;16:01600:0:Z2791613815;
C1CCCSCC1,1412,16:01600:1:Z3590248281;16:01600:1:Z3206532102;16:01600:2:Z3079413121;
CC12COC(OC1)OC2,71,16:01600:1:Z4265172609;16:01600:1:Z4268123475;16:01605:0:Z4260167249;
O=C1CN=CN1,245,16:01600:1:Z3297235822;16:01600:4:Z4998919551;16:01600:8:Z757870314;
CC12CCCNC1COC2,271,16:01600:1:Z3787447979;16:01600:6:Z4278783358;16:01600:9:Z4295881078;
Cc1cnc2c(c1)NCCN2,81,16:01600:1:Z2692079124;16:01600:9:Z2692083365;16:01601:0:Z3053555876;
CC1(F)CCC1,3678,16:01600:1:Z4049600802;16:01600:1:Z4601743934;16:01600:1:Z4540797811;
Cn1cnc2c3c(ccc21)NCCC3,14,16:01600:1:Z3378964000;16:01603:3:Z3317652517;16:01619:8:Z4066235298;
CC1(C)NCCO1,282,16:01600:1:Z3632706894;16:01600:1:Z4221534417;16:01600:2:Z3632707021;
OC1CC2CCCC(C1)C2,177,16:01600:1:Z4406502803;16:01600:2:Z4406560409;16:01601:9:Z4398707545;
CC1(C)OC2CCC1C2,232,16:01600:1:Z5043715166;16:01600:4:Z5044408178;16:01600:7:Z5042904976;
Cc1nc(C)c2c(C)csc2n1,29,16:01600:1:Z4025069916;16:01601:5:Z2445250043;16:01612:6:Z2499376899;
C1COC2(CN1)CNC2,422,16:01600:1:Z3046397444;16:01600:1:Z4210602675;16:01600:1:Z2611227679;
C1=CSCS1,427,16:01600:1:Z4283993240;16:01600:4:Z4284311827;16:01601:1:Z4285019989;
C1CCC2(C1)CNC2,1536,16:01600:1:Z3567350980;16:01600:1:Z3603729397;16:01600:2:Z3471520767;
Clc1ncccn1,977,16:01600:1:Z3090950554;16:01600:1:Z3176659871;16:01600:2:Z2792598036;
CC1CNCC1O,2178,16:01600:1:Z1643241766;16:01600:1:Z3622448674;16:01600:1:Z3618673402;
Nc1nnco1,636,16:01600:1:Z2836774366;16:01600:4:Z4416195354;16:01600:8:Z4418370505;
CC1(C)CCCC(F)(F)C1,241,16:01600:1:Z3788826700;16:01600:3:Z3910632804;16:01600:4:Z3910630828;
C1=NCCO1,531,16:01600:1:Z4249839322;16:01600:3:Z4250874362;16:01600:3:Z4249765811;
O=S1(=O)CCC2CNCC21,759,16:01600:1:Z3009627217;16:01600:2:Z3559147215;16:01600:2:Z3559146556;
c1cnn2ccnc2c1,1052,16:01600:1:Z2642396350;16:01600:2:Z4226472853;16:01600:2:Z4231889550;
C1CCC2NCC2C1,657,16:01600:1:Z2642396350;16:01600:3:Z2642395176;16:01600:4:Z3558989393;
CC1CNCCc2ccc(Cl)cc21,55,16:01600:1:Z2481403736;16:01604:7:Z2860037959;16:01604:7:Z3385450138;
O=c1[nH]ccn2cnnc12,222,16:01600:1:Z2842827296;16:01600:4:Z2835768553;16:01600:4:Z4203905104;
CC1NC(C)C(C)NC1=O,237,16:01600:1:Z2771656556;16:01600:5:Z2922220997;16:01601:1:Z2877234672;
O=S1(=O)CCc2ccccc21,810,16:01600:1:Z1408292607;16:01600:2:Z4033938910;16:01600:3:Z1230770403;
Cc1cnc(C)cn1,599,16:01600:1:Z1687496002;16:01600:4:Z1687527613;16:01600:4:Z4026617793;
Cc1cnc(C)nc1,726,16:01600:1:Z2505894036;16:01600:1:Z2233960062;16:01600:1:Z3632626234;
C1CCC2(C1)CCCO2,2203,16:01600:1:Z3869492734;16:01600:1:Z4019426875;16:01600:1:Z1900411456;
Nc1ccon1,229,16:01600:1:Z4204778276;16:01601:0:Z4211197426;16:01601:8:Z4208655680;
c1cnc2c(c1)CCO2,279,16:01600:1:Z5033543469;16:01600:4:Z5034841601;16:01601:0:Z4151794861;
O=C1NCCC2CCNCC12,232,16:01600:1:Z3394899760;16:01600:8:Z4230701292;16:01600:8:Z4342963432;
CC1(C)CC(N)CN1,274,16:01600:1:Z3700128755;16:01600:4:Z4055942040;16:01600:7:Z3639355356;
O=S1(=O)CC2CCN1C2,248,16:01600:1:Z4157949553;16:01600:7:Z4013136913;16:01600:7:Z4022319706;
Nc1cncc(Cl)c1,187,16:01600:1:Z4062113202;16:01600:3:Z3830892764;16:01600:8:Z3515435134;
CC1C=CNC(=O)N1,30,16:01600:1:Z2603921701;16:01604:4:Z1093759630;16:01607:0:Z4250055148;
Clc1ccc2scnc2c1,572,16:01600:1:Z3230531555;16:01600:3:Z2706324613;16:01600:4:Z4664691751;
c1nc2c(o1)CCCC2,382,16:01600:1:Z4124516901;16:01600:1:Z3370929660;16:01601:1:Z2794706343;
Cc1ccn(C)c1,1020,16:01600:1:Z2849782214;16:01600:2:Z1787208087;16:01600:3:Z1786817904;
C1CNC2CCCNC2C1,284,16:01600:1:Z4436936453;16:01600:2:Z3510552078;16:01600:4:Z4033320569;
NC1CC2(CCCCC2)C1,361,16:01600:1:Z3464763566;16:01600:8:Z3831033287;16:01600:9:Z3511349591;
FC1(F)CC2CNCC21,533,16:01600:1:Z3531520131;16:01600:1:Z3625071098;16:01600:7:Z3625077386;
Cc1csc(Cl)c1,643,16:01600:1:Z4039377072;16:01600:1:Z1764946137;16:01600:1:Z1763710317;
Clc1ccc2ccccc2c1,322,16:01600:1:Z2589626310;16:01600:8:Z1593169067;16:01601:1:Z4912947211;
Cc1cc(C)c2c(c1)NCCO2,78,16:01600:1:Z2475363705;16:01600:6:Z4132577402;16:01601:2:Z4403290016;
NC1CC2OCCCC12,57,16:01600:1:Z4883151977;16:01601:1:Z4883135974;16:01602:5:Z4883145932;
OC1C2CCC1CNC2,488,16:01600:1:Z4883151977;16:01600:1:Z3652117124;16:01600:6:Z3652117155;
CC1CCOC1C,1222,16:01600:1:Z1817217678;16:01600:2:Z2926490214;16:01600:2:Z2926189284;
CC1NCCCNC1=O,901,16:01600:1:Z3009836995;16:01600:1:Z2277505880;16:01600:3:Z2966752425;
Fc1cc(Cl)cc(Cl)c1,308,16:01600:1:Z1872121211;16:01600:3:Z3803507255;16:01600:3:Z3803538280;
Nc1cncc2ccccc12,60,16:01600:1:Z4125987430;16:01603:5:Z4127019164;16:01607:6:Z4128456932;
O=C1NCCNC12CCC2,257,16:01600:1:Z4642465673;16:01600:8:Z3057098692;16:01600:8:Z3315795034;
C1CCN2CCSCC2C1,239,16:01600:1:Z2904934637;16:01600:3:Z3641735868;16:01600:9:Z3077905548;
Clc1ncc2c(n1)COCC2,117,16:01600:1:Z3647684156;16:01600:9:Z3647893894;16:01601:8:Z4390941359;
Cc1cc2nccn2cc1C,79,16:01600:1:Z4035562146;16:01600:2:Z3841940832;16:01600:8:Z3818323627;
O=C1CSCN1,667,16:01600:1:Z2454479987;16:01600:1:Z2494998987;16:01600:1:Z1654260292;
c1cc2c(cn1)NCC2,428,16:01600:1:Z3352479920;16:01600:2:Z3195343596;16:01601:2:Z2774267632;
Clc1ccc2ccoc2c1,234,16:01600:1:Z2755408764;16:01600:5:Z4257146727;16:01600:7:Z3358680352;
Cc1ncns1,143,16:01600:1:Z4331765577;16:01600:3:Z4331768382;16:01600:3:Z4331768302;
Clc1ccc2[nH]cnc2c1,315,16:01600:1:Z3495405013;16:01600:1:Z3346016037;16:01600:6:Z1616527033;
Clc1cn2ccsc2n1,579,16:01600:1:Z1515879688;16:01600:1:Z1479466291;16:01600:1:Z1522678056;
Clc1ccc2occc2c1,317,16:01600:1:Z1840205654;16:01600:1:Z1597974474;16:01600:1:Z1597733517;
CC1NCCS(=O)(=O)C1C,276,16:01600:1:Z1232578716;16:01600:7:Z4481062806;16:01601:3:Z4859013997;
NC1CCC(F)(F)C1,391,16:01600:1:Z4878776112;16:01600:3:Z4878784788;16:01600:8:Z3791002640;
Clc1cccn2nccc12,259,16:01600:1:Z4878776112;16:01600:2:Z2719712902;16:01600:5:Z3050519877;
C1CNC2(C1)CCOC2,484,16:01600:1:Z2080327895;16:01600:1:Z2117931966;16:01600:4:Z3548678396;
CC1(C)CCCC(=O)N1,590,16:01600:1:Z4184959520;16:01600:1:Z4117703371;16:01600:1:Z3350607435;
CC1CCC1(C)C,582,16:01600:1:Z2272365316;16:01600:8:Z3602209244;16:01600:9:Z4251247786;
Cc1ccc(C)c(Cl)c1,382,16:01600:1:Z3627392333;16:01600:1:Z1952260975;16:01600:3:Z2912035365;
C1CC2CC(C1)N2,728,16:01600:1:Z4452476552;16:01600:1:Z4922113671;16:01600:1:Z4452399507;
CC1(O)CCNCC1,763,16:01600:1:Z2659082507;16:01600:4:Z4151231460;16:01600:4:Z2668832415;
NC1CCCCCNC1,349,16:01600:1:Z5004419637;16:01600:6:Z2794286739;16:01601:7:Z3133326309;
CC12CC(CN1)C2,424,16:01600:1:Z4307894523;16:01600:3:Z2622717651;16:01600:7:Z2650148908;
OC1CCNCC1F,644,16:01600:1:Z3009708998;16:01600:3:Z3950371262;16:01600:4:Z3009708243;
C1CCC2CCC(C1)N2,61,16:01600:1:Z3510711449;16:01604:2:Z4205075217;16:01605:2:Z3519323017;
FC=C1CCCCC1,225,16:01600:1:Z4028841616;16:01601:5:Z4877117321;16:01601:5:Z4877112459;
Cc1ccc2cccnc2c1,484,16:01600:1:Z3587125092;16:01600:1:Z3352402640;16:01600:9:Z4348749837;
Cc1cc(=O)ccn1C,235,16:01600:1:Z2486368387;16:01601:1:Z2486538783;16:01602:8:Z2648570921;
CN1CCCC(O)C1,243,16:01600:1:Z2892815084;16:01600:7:Z3364260351;16:01601:1:Z2891384539;
Nc1cncc(F)c1,298,16:01600:1:Z4522949738;16:01600:1:Z4522949487;16:01600:9:Z4490017134;
CC1CCc2nc(Cl)ncc2C1,27,16:01600:1:Z4074462316;16:01611:4:Z2967680434;16:01614:9:Z4026993429;
OC1CCCCC1O,711,16:01600:1:Z4074462316;16:01600:2:Z3559688522;16:01600:4:Z4294098121;
Nc1ccncc1F,223,16:01600:1:Z4311031705;16:01601:8:Z4309883667;16:01602:0:Z4309560080;
CC1CNc2ccccc2C1,185,16:01600:1:Z1134737925;16:01600:4:Z2449482429;16:01600:4:Z2449482426;
Cc1c[nH]c2ccccc12,165,16:01600:1:Z4403457531;16:01600:1:Z2711093916;16:01600:9:Z5001136159;
C1CN2CC3CC2(CN1)C3,39,16:01600:1:Z4830201450;16:01601:7:Z4869909808;16:01601:7:Z4869599074;
CC1C2CNCC12,833,16:01600:1:Z4329547089;16:01600:1:Z4351142684;16:01600:1:Z4314981880;
c1ccc2c3c(ccc2c1)OCCC3,9,16:01600:1:Z2654372231;16:01605:3:Z4859565675;16:01605:3:Z3132892362;
FC1CC1(F)F,664,16:01600:1:Z4825322016;16:01600:4:Z4826931480;16:01600:4:Z4828217869;
CC1(O)CC2(CNC2)C1,440,16:01600:1:Z4154829395;16:01600:1:Z4134825506;16:01600:4:Z4155776605;
CC1(C)OC2CNCC2O1,360,16:01600:1:Z4615271941;16:01600:9:Z4612179311;16:01601:8:Z4612180467;
C1CCC2(CCOC2)OC1,677,16:01600:1:Z4137884254;16:01600:2:Z1577683439;16:01600:2:Z4197131147;
Oc1ccnc2ncnn12,49,16:01600:1:Z4768923814;16:01600:5:Z4770695887;16:01601:3:Z4769176937;
OC1COc2ccccc2C1,218,16:01600:1:Z3439251664;16:01600:1:Z3439251668;16:01600:6:Z3640039918;
Clc1ncc2sccc2n1,72,16:01600:1:Z4447066582;16:01605:2:Z3594192673;16:01607:2:Z4121004479;
C1=NC2CCCC2N1,189,16:01600:1:Z3630517283;16:01600:9:Z4629112776;16:01600:9:Z4629111547;
NC1CNC2(CCOCC2)C1,97,16:01600:1:Z4205022858;16:01600:1:Z3364740074;16:01601:3:Z3385167380;
C1SC2CNC1C2,706,16:01600:1:Z3801248451;16:01600:1:Z2912760734;16:01600:2:Z2326948705;
Cc1cc(C)cc(O)c1,357,16:01600:1:Z4915414820;16:01600:3:Z4913253946;16:01600:3:Z4913253960;
Cc1nn[nH]c1C,171,16:01600:1:Z2917056693;16:01600:2:Z2917063992;16:01600:3:Z2917064465;
c1ccc2c(c1)CCCNC2,528,16:01600:1:Z2455468467;16:01600:4:Z4506871084;16:01600:5:Z4635369804;
OC1CCNC12CCC2,407,16:01600:1:Z3787906436;16:01600:5:Z3799775296;16:01600:6:Z4492307420;
CC1(C)CCCS1(=O)=O,637,16:01600:1:Z3606908164;16:01600:1:Z3692997311;16:01600:2:Z4898040152;
c1cc2n(c1)CCC2,432,16:01600:1:Z4665657667;16:01600:1:Z4022685188;16:01600:7:Z4146992203;
CC1CN=CN1,361,16:01600:1:Z3861887629;16:01600:2:Z4001765965;16:01600:4:Z4001762135;
CC1CNCCC(F)(F)C1,351,16:01600:1:Z3815389223;16:01601:0:Z3550798403;16:01601:2:Z4117009172;
O=C1Cc2ccccc2N1,1104,16:01600:1:Z2870686777;16:01600:1:Z2870686677;16:01600:1:Z2870709113;
CC1CCC(O)CN1,3012,16:01600:1:Z2980968902;16:01600:1:Z2980975418;16:01600:1:Z2980970305;
CC1(C)CCCNC1=O,831,16:01600:1:Z4078627983;16:01600:4:Z4562628201;16:01600:6:Z3843472592;
CC1(C)NCC(O)C1O,348,16:01600:1:Z4078627983;16:01600:1:Z4082172427;16:01601:2:Z4066937608;
C1CCC2(CCCNC2)NC1,222,16:01600:1:Z3364672774;16:01600:5:Z4208729350;16:01600:8:Z3364667601;
O=C1CCC2CCCCC2N1,179,16:01600:1:Z2366379068;16:01600:4:Z2598949495;16:01600:4:Z2598949781;
CC1CNCCC(O)C1,544,16:01600:1:Z4194095453;16:01600:1:Z4031914697;16:01600:1:Z4070309668;
NC1CNC2(CCC2)C1,232,16:01600:1:Z3795049613;16:01600:2:Z3520170404;16:01600:8:Z3520162414;
Clc1cc2c(s1)CCNC2,299,16:01600:1:Z3793321906;16:01600:5:Z2840444026;16:01600:6:Z4228504195;
O=C1NCC2CCC12,496,16:01600:1:Z4078531653;16:01600:5:Z3547133302;16:01601:0:Z3535506385;
OC1CCNC2CCCCC12,125,16:01600:1:Z4250845693;16:01600:9:Z4267956472;16:01601:6:Z2839504686;
N=S1(=O)CCC1,162,16:01600:1:Z4598559748;16:01600:4:Z4598559760;16:01600:6:Z4598564222;
NC1CCC2CNCC12,283,16:01600:1:Z2443598633;16:01600:2:Z2443600913;16:01600:2:Z2825713856;
CC12COC(C1)C2,1028,16:01600:1:Z4669058951;16:01600:2:Z3179867781;16:01600:3:Z3179869787;
CC1(C)CC2CC(=O)NC21,85,16:01600:1:Z4390354008;16:01601:5:Z4390985338;16:01602:4:Z4390976697;
C1CCC2(CC1)CNCCS2,225,16:01600:1:Z1357257114;16:01601:1:Z3557860255;16:01601:9:Z3381557401;
c1cn2c(n1)CCCCC2,671,16:01600:1:Z4316396033;16:01600:1:Z3804712469;16:01600:1:Z4318590495;
FC1(F)CCCC2CNCC21,194,16:01600:1:Z4985154118;16:01600:5:Z4326670489;16:01601:0:Z4975691485;
OC1CC2CNCC2C1,1065,16:01600:1:Z4175009418;16:01600:1:Z4158063143;16:01600:6:Z4152578324;
CC1CCC(F)(F)CN1,385,16:01600:1:Z3618691479;16:01600:3:Z3057056223;16:01600:5:Z3057057835;
Cc1cnccc1Cl,845,16:01600:1:Z4153282389;16:01600:1:Z4460134532;16:01600:3:Z4374362801;
C1CC2CCC(CN1)S2,487,16:01600:1:Z3829903627;16:01600:4:Z2698108712;16:01601:5:Z2802412136;
c1cnc2ncncc2c1,343,16:01600:1:Z3859917676;16:01600:7:Z2351374843;16:01600:7:Z1502699819;
Cc1cc(C)n2ccncc12,130,16:01600:1:Z4389337029;16:01601:3:Z4389254815;16:01602:7:Z4320201611;
C1CC2(C1)CC21CCC1,737,16:01600:1:Z4198635185;16:01600:1:Z4598447088;16:01600:2:Z4539349498;
C1CCC2(CCC2)SC1,461,16:01600:1:Z2918052890;16:01600:4:Z2928759094;16:01600:7:Z4022778188;
Cc1cccc(O)c1C,585,16:01600:1:Z3572736029;16:01600:4:Z4018999733;16:01601:1:Z757560582;
O=C1CNc2cccc(F)c2N1,41,16:01600:1:Z1880217580;16:01601:6:Z4652376566;16:01603:2:Z4665797985;
O=c1ccc2ccncc2[nH]1,125,16:01600:1:Z4184866409;16:01600:4:Z3562174505;16:01600:4:Z3562178243;
C1CC2(C1)CNCC1(CCC1)O2,120,16:01600:1:Z4157726618;16:01601:3:Z3613318193;16:01602:1:Z4023009081;
C1CCC2CCCC2C1,560,16:01600:1:Z3598640189;16:01600:1:Z1764968237;16:01600:3:Z3360319142;
CN1CCC2CNCCC21,378,16:01600:1:Z2802891381;16:01600:5:Z2840039720;16:01600:5:Z2777841321;
Clc1cccc2cccnc12,299,16:01600:1:Z2368379210;16:01600:1:Z1724874655;16:01602:0:Z5004540598;
CC1(C)CCNc2ccccc21,47,16:01600:1:Z2278834803;16:01600:6:Z4061763418;16:01600:6:Z4061763017;
CC1CC2(CNC2)CO1,452,16:01600:1:Z3898454687;16:01600:3:Z4385209421;16:01600:5:Z4117700339;
Clc1ccc2c(c1)CCCO2,297,16:01600:1:Z2916228571;16:01600:4:Z3836115460;16:01600:4:Z3805397489;
Cc1nnc2n1CCNC2C,190,16:01600:1:Z3591063005;16:01600:4:Z4335358647;16:01600:4:Z3591077015;
c1cc2c(cn1)OCCC2,391,16:01600:1:Z4450259671;16:01600:4:Z2849875377;16:01600:4:Z2706440603;
c1cnc2c(c1)OCCN2,189,16:01600:1:Z4125824379;16:01602:0:Z4884188100;16:01602:0:Z4281104164;
C1CNC2(CCOC2)CN1,156,16:01600:1:Z3042552200;16:01602:3:Z3043542045;16:01604:2:Z3518114715;
O=c1ccc2c([nH]1)CCCC2,410,16:01600:1:Z2952827401;16:01600:2:Z3135220469;16:01600:3:Z2475307972;
C1CNC2CNCC2C1,845,16:01600:1:Z4056028594;16:01600:2:Z4415925675;16:01600:3:Z4205814543;
Cn1cnc2c(F)cccc21,174,16:01600:1:Z2270389926;16:01600:9:Z3253712754;16:01601:6:Z1983532713;
c1cc2n(n1)CCOC2,893,16:01600:1:Z3341542961;16:01600:2:Z4312519671;16:01600:4:Z2437973022;
CC1Oc2ccccc2NC1=O,165,16:01600:1:Z4098605844;16:01600:5:Z2998253309;16:01601:1:Z4353207657;
c1ccc2c(c1)CC1CC21,355,16:01600:1:Z2797637429;16:01601:0:Z2905494291;16:01601:2:Z2709948432;
O=c1[nH]cnc2ccc(F)cc12,54,16:01600:1:Z1328955646;16:01601:3:Z2178509073;16:01606:2:Z337748878;
c1cnc2c(c1)COCC2,1135,16:01600:1:Z1608435213;16:01600:2:Z4478827851;16:01600:2:Z4454987182;
OC1CCC(O)C1,502,16:01600:1:Z4347128538;16:01600:1:Z4023191967;16:01600:3:Z3685660208;
Oc1cccc2c1CCCNC2,118,16:01600:1:Z4908327310;16:01601:7:Z4908032139;16:01603:7:Z4909301045;
C1CC2(C1)CCOC2,3242,16:01600:1:Z4908327310;16:01600:1:Z4118173656;16:01600:1:Z4155500465;
c1cc2cscc2s1,257,16:01600:1:Z2963257139;16:01600:8:Z2705898528;16:01601:2:Z2903441368;
Cn1cnc2cncnc21,719,16:01600:1:Z1272525240;16:01600:1:Z4294267765;16:01600:3:Z2615811244;
NC1CCCNCC1,398,16:01600:1:Z3798365314;16:01600:1:Z2227391525;16:01600:1:Z3699825319;
NC1CCOC1,2177,16:01600:1:Z3134645715;16:01600:1:Z3522907261;16:01600:1:Z4028611826;
CC1=CCn2nnnc2N1C,66,16:01600:1:Z2784595347;16:01600:4:Z4595297030;16:01600:4:Z2284099629;
CC1(C)CCCS1,560,16:01600:1:Z4245257051;16:01600:1:Z3806715869;16:01600:2:Z3093553166;
Cc1ccc(Cl)cc1C,610,16:01600:1:Z4375795153;16:01600:4:Z2453818355;16:01600:8:Z2915604385;
Oc1ccncn1,2432,16:01600:1:Z2972474079;16:01600:1:Z2700279126;16:01600:2:Z3058747679;
O=C1CC2(CNC2)CN1,589,16:01600:1:Z2064362849;16:01600:2:Z3669798863;16:01600:5:Z2638957747;
c1ncc2c(n1)CCC2,993,16:01600:1:Z4486916129;16:01600:2:Z3396149736;16:01600:3:Z4429545632;
CC1CC2CNCCN2C1,351,16:01600:1:Z4030289636;16:01601:2:Z4077817592;16:01601:8:Z4077813231;
C1CNCC2(C1)CNCCO2,288,16:01600:1:Z3145054542;16:01600:6:Z3144971871;16:01600:8:Z3364519773;
C1CCC2CCOC2CC1,320,16:01600:1:Z3340293418;16:01600:2:Z4401411912;16:01600:2:Z3044080011;
Cc1cncc(O)c1,329,16:01600:1:Z2485267539;16:01601:0:Z2090288416;16:01601:7:Z4220728067;
OC1CCCCCC1O,215,16:01600:1:Z4325062756;16:01600:2:Z2861553007;16:01600:9:Z4608687057;
NC1CCc2ccccc21,608,16:01600:1:Z4145352017;16:01600:3:Z3865592173;16:01600:5:Z2377215864;
c1cnc2nscc2c1,44,16:01600:1:Z2662047715;16:01601:0:Z3945790545;16:01602:9:Z3084166415;
CC1(C)CCc2oncc2C1,232,16:01600:1:Z2804544516;16:01600:3:Z2800912670;16:01602:8:Z4204077019;
C1CC2CNCC1N2,1038,16:01600:1:Z2951134822;16:01600:1:Z2792974330;16:01600:2:Z4421211513;
OC1CC2CNC1C2,1052,16:01600:1:Z3549038933;16:01600:2:Z3549408643;16:01600:3:Z4248765561;
C1CCc2[nH]nnc2C1,1219,16:01600:1:Z3504636780;16:01600:1:Z3627128223;16:01600:3:Z3627126548;
Cc1nn(C)c2[nH]ncc12,88,16:01600:1:Z1212106163;16:01603:4:Z3930498215;16:01603:4:Z1559607563;
O=C1CCNCCCCCCN1,128,16:01600:1:Z2775452551;16:01600:4:Z2899321958;16:01600:5:Z2838818295;
CC1CC(C)(C)CN1,625,16:01600:1:Z3998481071;16:01600:3:Z2350240330;16:01600:4:Z2347164634;
NC1CNc2ccccc2C1,95,16:01600:1:Z2354986301;16:01601:0:Z2369991931;16:01601:7:Z2369992141;
C1CC2CNCC2CO1,1219,16:01600:1:Z2479897240;16:01600:2:Z4580870344;16:01600:3:Z2477285416;
Cc1cncc(Cl)c1,492,16:01600:1:Z4082172427;16:01600:5:Z2973424084;16:01600:6:Z4024732015;
C1CC2CCC1NO2,339,16:01600:1:Z2812074858;16:01600:1:Z3785279260;16:01600:1:Z4609847078;
Nc1ccncc1,1340,16:01600:1:Z4208473770;16:01600:4:Z3383655483;16:01600:5:Z2828189841;
CN1CCCC2CNCCC21,231,16:01600:1:Z3047270898;16:01601:0:Z1534738708;16:01601:0:Z1441305976;
NC12CCNCC1C2,398,16:01600:1:Z4448603154;16:01600:1:Z4448605135;16:01601:0:Z4448595071;
CC1CNCCNC1,508,16:01600:1:Z4291830021;16:01600:7:Z3944532846;16:01600:8:Z2266142127;
CN1CCCCCC1,633,16:01600:1:Z3949060463;16:01600:3:Z4065210807;16:01600:4:Z2718666575;
Clc1nncs1,741,16:01600:1:Z4225777339;16:01600:2:Z4265683382;16:01600:2:Z4262786047;
Cc1ccc(Cl)cn1,528,16:01600:1:Z4643433251;16:01600:1:Z4081939083;16:01600:1:Z4141446976;
O=S1(=O)CCC2(CCN2)C1,279,16:01600:1:Z4218338803;16:01600:5:Z4272373419;16:01600:6:Z4218335911;
Cc1cnc(O)s1,408,16:01600:1:Z3711773652;16:01600:2:Z3831340227;16:01601:0:Z3519827305;
Oc1n[nH]c2c1CNCC2(F)F,119,16:01600:1:Z5019078721;16:01600:2:Z5023803110;16:01601:0:Z5023299365;
C1COCCNN1,658,16:01600:1:Z3694361025;16:01600:2:Z4465577288;16:01600:5:Z2640690244;
FC1(F)CC2(CCOC2)C1,235,16:01600:1:Z4887363173;16:01600:4:Z4886735391;16:01600:4:Z4643615499;
C1CC2COCC2O1,2244,16:01600:1:Z2921926247;16:01600:1:Z3471170498;16:01600:1:Z3695649591;
CC12CCC(C)(CC1)O2,176,16:01600:1:Z4404397095;16:01600:9:Z4406865321;16:01601:2:Z4491786849;
NC1C2CCCC1CC2,204,16:01600:1:Z4002620508;16:01600:2:Z4063701344;16:01600:5:Z4002279214;
Cc1cc(C)cc(F)c1,659,16:01600:1:Z3013836845;16:01600:1:Z3818705065;16:01600:1:Z2293947532;
O=S1(=O)NCNc2ccccc21,49,16:01600:1:Z4771305563;16:01600:4:Z4236600087;16:01605:4:Z4236594335;
Nc1cc[nH]n1,1123,16:01600:1:Z4317768340;16:01600:2:Z4104887595;16:01600:4:Z4104642835;
Oc1ccc(F)cc1,490,16:01600:1:Z3299812695;16:01600:2:Z3583654914;16:01600:6:Z3298070182;
Cn1ccn2nccc12,321,16:01600:1:Z4224486330;16:01600:3:Z4106672355;16:01600:8:Z4106140154;
Cc1nnc2ccccn12,409,16:01600:1:Z4382820559;16:01600:3:Z1891233940;16:01600:3:Z4381832756;
O=S1(=O)C2CCCC1CC2,526,16:01600:1:Z3172243654;16:01600:6:Z2861843946;16:01600:6:Z2828254917;
C1CN2CC3(CC3)CC2CN1,231,16:01600:1:Z4296039381;16:01600:6:Z3883129748;16:01601:0:Z3836901309;
c1cc2n(n1)CCN2,263,16:01600:1:Z4999898060;16:01601:1:Z4223731210;16:01601:4:Z4453195883;
Clc1ccsn1,835,16:01600:1:Z4186977206;16:01600:3:Z3668995468;16:01600:5:Z3741105521;
C1CC2(C1)CC1CCC2C1,79,16:01600:1:Z3505501622;16:01601:7:Z3646365497;16:01603:4:Z3646364369;
CC1CNCC1C,2818,16:01600:1:Z3529198478;16:01600:2:Z2922551190;16:01600:2:Z2781748495;
c1[nH]nc2c1CNC2,399,16:01600:1:Z4057354955;16:01600:2:Z4091805510;16:01601:2:Z4059540279;
O=S1(=O)CC2CCNCC2C1,218,16:01600:1:Z2841460228;16:01600:5:Z4191946237;16:01600:7:Z2804218085;
CC1(C)OCC2CC21,788,16:01600:1:Z3009811776;16:01600:4:Z2635564759;16:01600:5:Z2718246630;
CC1CCCC(C)C1,2289,16:01600:1:Z2837330881;16:01600:1:Z1158134634;16:01600:1:Z3913468753;
CC1(C)CC(O)C(O)CN1,249,16:01600:1:Z4329917248;16:01600:7:Z4329917326;16:01600:8:Z4297434933;
Cc1ncc(Cl)c(C)c1Cl,21,16:01600:1:Z4338994700;16:01605:7:Z4338993683;16:01611:3:Z4338993581;
Fc1ccc2[nH]ccc2c1F,83,16:01600:1:Z1616293875;16:01603:0:Z2283251052;16:01604:7:Z3598541578;
OC1CCCC1(F)F,580,16:01600:1:Z3898036432;16:01600:2:Z3651981846;16:01600:5:Z3652013404;
O=C1CNC(=O)C2(CCC2)N1,5,16:01600:1:Z4208537057;16:01636:5:Z4208540942;16:01659:6:Z4208532340;
CC1CC(C)(C)C1,1496,16:01600:1:Z4277276147;16:01600:2:Z2955416091;16:01600:2:Z1919596858;
Nc1ccnnc1,247,16:01600:1:Z4234262270;16:01600:6:Z3558060258;16:01602:5:Z3561317829;
FC1CC2CCC1C2,473,16:01600:1:Z3625360089;16:01601:2:Z3622024215;16:01601:4:Z3540831315;
c1cn2c(n1)CNCC2,446,16:01600:1:Z4277139062;16:01600:2:Z3777307389;16:01600:2:Z3808342372;
CC1(C)CCCC(N)C1,85,16:01600:1:Z4001507565;16:01602:6:Z2926835927;16:01603:4:Z2926808188;
Oc1ccc2ccoc2c1,130,16:01600:1:Z2959263224;16:01600:8:Z2959695234;16:01601:1:Z2959313800;
Cc1cccc(C)c1F,751,16:01600:1:Z4466844601;16:01600:3:Z1307912230;16:01600:4:Z4025206144;
Cc1c(N)cnn1C,295,16:01600:1:Z4465789369;16:01600:1:Z4291147618;16:01600:4:Z4288938575;
O=C1NC2CCCC1C2,218,16:01600:1:Z4422798573;16:01600:3:Z3572436547;16:01600:4:Z3366575670;
