fragment_smiles,occurences,example_ligands
c1cnc2c(c1)CCN2,4136,434:43400:0:PV-004839999188;434:43400:0:PV-004840011873;434:43400:0:PV-004840013935;
Cc1ccnnc1,12730,434:43400:0:PV-004839999189;434:43400:0:PV-004839999631;434:43400:0:PV-004840010837;
C1CNC2(C1)CC2,10885,434:43400:0:PV-004839999189;434:43400:0:PV-004840003716;434:43400:0:PV-004840006244;
c1cnc2c(c1)COCC2,2802,434:43400:0:PV-004839999211;434:43400:0:PV-004840002960;434:43400:0:PV-004840002961;
Fc1cncnc1,10007,434:43400:0:PV-004839999219;434:43400:0:PV-004840000834;434:43400:0:PV-004840000835;
Fc1ccco1,5168,434:43400:0:PV-004839999250;434:43400:0:PV-004839999251;434:43400:0:PV-004840002244;
C1CC2CC1CN2,24609,434:43400:0:PV-004839999266;434:43400:0:PV-004840000566;434:43400:0:PV-004840000567;
c1ccc2c(c1)CCOC2,12410,434:43400:0:PV-004839999266;434:43400:0:PV-004840004454;434:43400:0:PV-004840006063;
C1CNC2CNCC2C1,9682,434:43400:0:PV-004839999267;434:43400:0:PV-004839999268;434:43400:0:PV-004840004855;
OC1CCCCC1,28572,434:43400:0:PV-004839999267;434:43400:0:PV-004839999268;434:43400:0:PV-004840000910;
CC1CNC(C)CN1,3604,434:43400:0:PV-004839999278;434:43400:0:PV-004840010743;434:43400:0:PV-004840012011;
CN1Cc2ccccc2C1,1527,434:43400:0:PV-004839999285;434:43400:0:PV-004840015216;434:43400:1:PV-004840048713;
O=C1CCCCN1,43395,434:43400:0:PV-004839999297;434:43400:0:PV-004840002162;434:43400:0:PV-004840002163;
C1CC2CCNC2C1,16914,434:43400:0:PV-004839999310;434:43400:0:PV-004840000008;434:43400:0:PV-004840002284;
CC1(C)CCCCO1,12903,434:43400:0:PV-004839999310;434:43400:0:PV-004840006260;434:43400:0:PV-004840010426;
Cn1cnnc1,4560,434:43400:0:PV-004839999318;434:43400:0:PV-004840012600;434:43400:0:PV-004840012601;
Cc1ccncn1,29105,434:43400:0:PV-004839999367;434:43400:0:PV-004839999820;434:43400:0:PV-004840000020;
C1COC2(C1)CCNC2,1732,434:43400:0:PV-004839999367;434:43400:0:PV-004840001054;434:43400:0:PV-004840009539;
CC1CCC1,46733,434:43400:0:PV-004839999367;434:43400:0:PV-004839999600;434:43400:0:PV-004840001092;
CN1CCNCC1=O,1903,434:43400:0:PV-004839999373;434:43400:0:PV-004840020509;434:43400:1:PV-004840048003;
C1CC2CNC2CN1,10341,434:43400:0:PV-004839999383;434:43400:0:PV-004839999460;434:43400:0:PV-004839999468;
c1cc2n(n1)CCO2,2828,434:43400:0:PV-004839999383;434:43400:3:PV-001532944152;434:43400:3:PV-000521543846;
FC1(F)CCCCC1,8156,434:43400:0:PV-004839999391;434:43400:0:PV-004840001407;434:43400:0:PV-004840006477;
Cn1cnccc1=O,5361,434:43400:0:PV-004839999407;434:43400:0:PV-004840005501;434:43400:0:PV-004840005892;
O=c1nccc[nH]1,3020,434:43400:0:PV-004839999413;434:43400:0:PV-004840015732;434:43400:0:PV-004840015733;
Cn1cc[nH]c1=O,9468,434:43400:0:PV-004839999415;434:43400:0:PV-004840004718;434:43400:0:PV-004840008181;
O=c1ccnc[nH]1,7559,434:43400:0:PV-004839999419;434:43400:0:PV-004840001758;434:43400:0:PV-004840007914;
C1NCC2CC12,86582,434:43400:0:PV-004839999423;434:43400:0:PV-004839999424;434:43400:0:PV-004840001087;
Oc1ccc2ccccc2n1,2502,434:43400:0:PV-004839999423;434:43400:0:PV-004839999424;434:43400:0:PV-004840011519;
Cc1cn2ccccc2n1,6383,434:43400:0:PV-004839999429;434:43400:0:PV-004840000707;434:43400:0:PV-004840000708;
Cc1cn[nH]n1,8361,434:43400:0:PV-004839999429;434:43400:0:PV-004840002941;434:43400:0:PV-004840003579;
CC1CNCCN1,81919,434:43400:0:PV-004839999435;434:43400:0:PV-004839999436;434:43400:0:PV-004839999437;
c1cc2n(n1)CCCO2,3352,434:43400:0:PV-004839999435;434:43400:0:PV-004839999436;434:43400:0:PV-004839999437;
C1CNCC2(C1)CCC2,13892,434:43400:0:PV-004839999440;434:43400:0:PV-004840000357;434:43400:0:PV-004840000528;
Cn1ccccc1=O,22013,434:43400:0:PV-004839999462;434:43400:0:PV-004840000332;434:43400:0:PV-004840000333;
OC1CNC1,33247,434:43400:0:PV-004839999462;434:43400:0:PV-004839999704;434:43400:0:PV-004840003323;
C1OC2CNC1C2,1940,434:43400:0:PV-004839999463;434:43400:1:PV-004840033253;434:43400:1:PV-004840038631;
Cc1cc(C)ncn1,8635,434:43400:0:PV-004839999489;434:43400:0:PV-004839999490;434:43400:0:PV-004839999491;
Cc1cccnn1,24091,434:43400:0:PV-004839999507;434:43400:0:PV-004839999508;434:43400:0:PV-004840001143;
CN1CCOCC1,9838,434:43400:0:PV-004839999510;434:43400:0:PV-004840007428;434:43400:0:PV-004840011210;
CC1CCCC(=O)N1,3240,434:43400:0:PV-004839999514;434:43400:0:PV-004839999515;434:43400:0:PV-004839999516;
Cc1ccnc(C)c1,17100,434:43400:0:PV-004839999534;434:43400:0:PV-004840000553;434:43400:0:PV-004840000664;
