fragment_smiles,occurences,example_ligands
C1CC2(CCOCC2)CN1,3578,133:13300:0:Z3612291423;133:13300:0:Z4575713401;133:13300:0:Z4055200354;
NC1CCCNC1,1570,133:13300:0:Z3808047252;133:13300:0:Z4081014076;133:13300:0:Z3134916204;
Cn1cnc2cccnc21,1091,133:13300:0:Z5056812642;133:13300:1:Z1625179371;133:13300:1:Z2645667793;
CC1CCCCN1,16177,133:13300:0:Z2634702519;133:13300:0:Z3723090936;133:13300:0:Z3723090953;
c1ccc2nonc2c1,1176,133:13300:0:Z3996958418;133:13300:0:Z3996958311;133:13300:0:Z3996177386;
c1cc2c(s1)CCOC2,1691,133:13300:0:Z4575713401;133:13300:0:Z4834900068;133:13300:1:Z4467029174;
CN1CCCCC1,23914,133:13300:0:Z2453707702;133:13300:0:Z4023067773;133:13300:0:Z3056159396;
Cc1ccnnc1,1011,133:13300:0:Z4410556192;133:13300:0:Z4410532630;133:13300:0:Z1739832655;
C1CC2(C1)CCC2,13008,133:13300:0:Z4410556192;133:13300:0:Z3832731164;133:13300:0:Z4192604947;
CC12CNC(C1)C2,247,133:13300:0:Z4578053175;133:13300:0:Z5018886439;133:13300:4:Z4935184833;
Cc1ccnc2c1CCN2,135,133:13300:0:Z4126701014;133:13301:2:Z4126692323;133:13302:3:Z2325334175;
CC1C=CNC(=O)N1,254,133:13300:0:Z1704066751;133:13300:0:Z2956682840;133:13301:4:Z106873292;
C1CC2(CCN1)CCNC2,1092,133:13300:0:Z2439319000;133:13300:2:Z2996578584;133:13300:2:Z2177079713;
O=S1(=O)CCCN1,11322,133:13300:0:Z1929283651;133:13300:0:Z3822923590;133:13300:0:Z1221554222;
C1CC2CNCC2O1,3456,133:13300:0:Z3879744015;133:13300:0:Z4142761996;133:13300:0:Z5052683699;
O=S1(=O)CCc2ccccc2C1,313,133:13300:0:Z2676738503;133:13300:2:Z2655111446;133:13300:6:Z2815896197;
C1CCCC2(CC1)OCCO2,391,133:13300:0:Z3589062390;133:13300:0:Z3683678105;133:13300:2:Z4602962063;
Fc1cccc2cnccc12,179,133:13300:0:Z3589062390;133:13300:2:Z4471272530;133:13301:3:Z2640088317;
Clc1ccc2c(c1)CCN2,244,133:13300:0:Z2077579518;133:13300:0:Z1528653565;133:13300:5:Z2067674371;
CC1CC2(CCC2)C1,278,133:13300:0:Z2920217679;133:13300:2:Z1620762578;133:13300:4:Z1618679107;
CC1(C)CCCCO1,3711,133:13300:0:Z2922063640;133:13300:1:Z2476580841;133:13300:2:Z5043622459;
OC1CCC2(CC1)OCCO2,421,133:13300:0:Z2922063640;133:13300:0:Z2898898823;133:13300:1:Z1333839032;
OC1CCCC1,10703,133:13300:0:Z1516045727;133:13300:0:Z1501113416;133:13300:0:Z1461911031;
Cc1ccc(C)o1,2740,133:13300:0:Z3723090933;133:13300:0:Z1272442236;133:13300:0:Z1205528972;
C1CC2CCC(C1)N2,9799,133:13300:0:Z3723090933;133:13300:0:Z3176479978;133:13300:0:Z3078953384;
Cn1cc2c(n1)CCCC2,3439,133:13300:0:Z2953115739;133:13300:0:Z2189407059;133:13300:0:Z2769822122;
CN1CCC2(CC1)CC(O)CN2,284,133:13300:0:Z4478260871;133:13300:0:Z4478259998;133:13300:3:Z4478257833;
CN1CCCCC1=O,3256,133:13300:0:Z1149654113;133:13300:0:Z2409334554;133:13300:0:Z2932359630;
Cc1ccon1,11522,133:13300:0:Z3821461308;133:13300:0:Z2797726668;133:13300:0:Z4305593021;
CN1C2CCCC1CC2,1552,133:13300:0:Z2091890154;133:13300:0:Z2294480232;133:13300:1:Z2164915946;
Cc1ccc(C)c(C)c1,1279,133:13300:0:Z4640384789;133:13300:0:Z4316765234;133:13300:0:Z4914662388;
c1ccn2ncnc2c1,2000,133:13300:0:Z4640384789;133:13300:0:Z3606012485;133:13300:0:Z4638725786;
c1ccc2c(c1)CCNC2,30216,133:13300:0:Z3710816011;133:13300:0:Z4043813958;133:13300:0:Z2827771591;
O=c1cc[nH]cn1,536,133:13300:0:Z4275687879;133:13300:4:Z4005901578;133:13300:4:Z4030071323;
CC1CCc2ccccc2C1,856,133:13300:0:Z4275687879;133:13300:0:Z3628533508;133:13300:1:Z3057260949;
c1nnco1,29722,133:13300:0:Z2771583480;133:13300:0:Z3217715022;133:13300:0:Z1507207220;
CN1CCCC1,9881,133:13300:0:Z2878203087;133:13300:0:Z3179220510;133:13300:0:Z2722174741;
C1CCSCC1,7754,133:13300:0:Z4406790911;133:13300:0:Z4253390537;133:13300:0:Z3356568985;
FC1CCCCC1,4847,133:13300:0:Z3834107445;133:13300:0:Z3834107479;133:13300:0:Z2174199854;
Cc1ccccc1Cl,6444,133:13300:0:Z3621690537;133:13300:0:Z1646708115;133:13300:0:Z1682160588;
C1CC2(C1)CCOC2,2254,133:13300:0:Z3621690537;133:13300:0:Z3667662587;133:13300:0:Z3696010750;
Cn1cnc2c1CCCC2,1327,133:13300:0:Z3364858713;133:13300:1:Z3585324955;133:13300:2:Z5001194747;
Fc1ccc2c(c1)CCC2,1792,133:13300:0:Z4118306331;133:13300:0:Z3339087846;133:13300:0:Z4459253438;
C1CCC2(CC1)CCCN2,753,133:13300:0:Z3798164182;133:13300:1:Z3794962698;133:13300:1:Z3794941732;
Cc1ccc2cc[nH]c2c1,1529,133:13300:0:Z1015123856;133:13300:0:Z2088647311;133:13300:0:Z3614574380;
C1=CCNCC1,8799,133:13300:0:Z1015123856;133:13300:0:Z3898809431;133:13300:0:Z2254355264;
O=C1CCCCN1,36481,133:13300:0:Z4477710827;133:13300:0:Z4572729279;133:13300:0:Z4006745479;
Cc1ccncc1,13886,133:13300:0:Z4600285963;133:13300:0:Z3598535632;133:13300:0:Z4906834199;
O=C1CCCn2nccc21,285,133:13300:0:Z4600285963;133:13301:6:Z3171841523;133:13302:6:Z3611678220;
O=C1CCc2cc(Cl)ccc21,293,133:13300:0:Z1870118993;133:13300:1:Z2011250911;133:13300:5:Z2010375456;
Cc1cccnn1,4053,133:13300:0:Z1505787848;133:13300:0:Z2002336788;133:13300:0:Z4097633064;
Clc1ccccc1Cl,12514,133:13300:0:Z1505787848;133:13300:0:Z4214003933;133:13300:0:Z1466751873;
Cc1cnn[nH]1,10181,133:13300:0:Z3057198893;133:13300:0:Z734657492;133:13300:0:Z3609460257;
Fc1ccc2c(c1)OCC2,564,133:13300:0:Z3057198893;133:13300:1:Z3057197728;133:13300:1:Z4479235784;
c1ncsn1,8226,133:13300:0:Z4043813958;133:13300:0:Z2951907387;133:13300:0:Z4828005546;
O=C1CCCn2cccc21,394,133:13300:0:Z2073763318;133:13300:1:Z1919615701;133:13300:8:Z4260291866;
Cc1n[nH]c(C)n1,2890,133:13300:0:Z2925513849;133:13300:0:Z2915181304;133:13300:0:Z1393749842;
NC1CCCc2ccccc21,559,133:13300:0:Z3808123555;133:13300:0:Z4062973169;133:13300:1:Z3523006485;
Cc1nnc2n1CCCC2,1515,133:13300:0:Z2697474083;133:13300:1:Z4642820659;133:13300:2:Z2304887665;
Cc1coc(C)c1,808,133:13300:0:Z3723090936;133:13300:0:Z3723091146;133:13300:1:Z3610497729;
OC1CCOC1,4213,133:13300:0:Z2292185365;133:13300:0:Z3592482928;133:13300:0:Z3592477565;
Cc1ccn2nccc2n1,1560,133:13300:0:Z4032583488;133:13300:0:Z1088096952;133:13300:0:Z3085976289;
C1CCC2(CCCC2)NC1,271,133:13300:0:Z4032583488;133:13300:1:Z4577204478;133:13301:6:Z4032577022;
CC1CCNCCS1(=O)=O,329,133:13300:0:Z1865997217;133:13300:1:Z4074199161;133:13300:4:Z2493510257;
