fragment_smiles,occurences,example_ligands
CC1(C)C(F)C1(C)C,271,0:00000:0:Z3634964477;0:00000:4:Z3650058723;0:00001:7:Z3667631102;
OC1CCOC1,8568,0:00000:0:Z4186973788;0:00000:0:Z3505823291;0:00000:0:Z4060841523;
Cc1cncc(C)c1,3316,0:00000:0:Z2961978634;0:00000:0:Z1684887707;0:00000:0:Z2915947367;
Cc1ccc(=O)[nH]n1,526,0:00000:0:Z2961978634;0:00000:2:Z1222431601;0:00000:3:Z2667727535;
CC1CC(C)C1,2000,0:00000:0:Z3188656443;0:00000:0:Z3344088136;0:00000:0:Z3500111702;
Cc1ccc2cccc(F)c2n1,111,0:00000:0:Z2482896123;0:00001:0:Z2274037670;0:00002:4:Z3093566718;
Cn1ccnn1,17810,0:00000:0:Z4249301887;0:00000:0:Z2911669637;0:00000:0:Z1639928841;
FC1(F)CCNC1,4801,0:00000:0:Z4249301887;0:00000:0:Z2911669637;0:00000:0:Z3472767699;
CC1CCCCN1,16187,0:00000:0:Z4959800052;0:00000:0:Z3134950462;0:00000:0:Z2362394154;
Cc1nncn1C,3129,0:00000:0:Z3355935143;0:00000:0:Z1315395098;0:00000:0:Z2631073964;
c1nc2n(n1)CCCC2,1719,0:00000:0:Z3293663222;0:00000:0:Z4611086412;0:00000:1:Z1559257805;
C1CCC2(C1)CCCOC2,442,0:00000:0:Z3092008694;0:00000:0:Z3361706748;0:00000:3:Z3207113065;
CC1COC2(CCCC2)CN1,185,0:00000:0:Z2615362245;0:00000:3:Z2604509797;0:00000:8:Z4042369754;
Nc1ccccn1,5018,0:00000:0:Z2919407457;0:00000:1:Z4213191975;0:00000:1:Z4872403250;
Cc1cc(=O)ccn1C,245,0:00000:0:Z2961507976;0:00000:0:Z3587318875;0:00000:5:Z2647917278;
O=C1CCCc2ccccc21,687,0:00000:0:Z3175788125;0:00000:1:Z2222071441;0:00000:3:Z2498463304;
CN1OCCC1=O,695,0:00000:0:Z4344188884;0:00000:1:Z4353413292;0:00000:2:Z4353422518;
CC1(C)CCCCO1,5654,0:00000:0:Z4344188884;0:00000:0:Z3313175386;0:00000:0:Z3313174540;
Clc1ccsc1,6885,0:00000:0:Z1863689546;0:00000:0:Z4494053148;0:00000:0:Z3010729739;
c1nnc[nH]1,27359,0:00000:0:Z86587275;0:00000:0:Z1432049340;0:00000:0:Z1175141294;
