fragment_smiles,occurences,example_ligands
CC1(C)CNCCO1,6308,15:01500:0:Z4005513694;15:01500:0:Z4312523508;15:01500:1:Z3799670833;
Cc1cn2ccccc2n1,1186,15:01500:0:Z3856071875;15:01500:1:Z2914872860;15:01500:1:Z1597990525;
O=c1[nH]ncc2ccccc12,492,15:01500:0:Z3491586518;15:01500:0:Z3522056463;15:01500:1:Z5007424960;
Cc1ccc2c(c1)CNCC2,279,15:01500:0:Z2581148987;15:01500:0:Z3500770919;15:01500:6:Z2643862786;
Fc1ccsc1,3221,15:01500:0:Z4013680323;15:01500:0:Z2410933793;15:01500:0:Z3874006292;
CC1(C)CNCCCO1,570,15:01500:0:Z3514662237;15:01500:0:Z3697348620;15:01500:0:Z4116492184;
NC1CC2CC12,816,15:01500:0:Z3514662237;15:01500:0:Z3697348620;15:01500:3:Z3514564480;
Cc1ccc2c(c1)CCO2,380,15:01500:0:Z3577363684;15:01500:1:Z3554448725;15:01500:1:Z3554439858;
CC1(F)CCNCC1,698,15:01500:0:Z3577363684;15:01500:4:Z3793704955;15:01500:4:Z3793704984;
c1[nH]nc2c1CCCN2,189,15:01500:0:Z4180711211;15:01500:6:Z4180700081;15:01500:9:Z4180711983;
Cc1ncnnc1C,536,15:01500:0:Z2218012861;15:01500:3:Z5014452863;15:01500:4:Z1725327372;
Oc1ccc(Cl)cc1,939,15:01500:0:Z5055241086;15:01500:2:Z2851029783;15:01500:6:Z4771013378;
Cn1ccc2ccccc21,2817,15:01500:0:Z2843501133;15:01500:0:Z3308256373;15:01500:0:Z4597963152;
Clc1ccsc1Cl,1557,15:01500:0:Z4042577700;15:01500:1:Z3998017726;15:01500:1:Z4255607569;
CN1CCNCc2ccccc21,141,15:01500:0:Z1232659672;15:01500:4:Z1084021500;15:01500:5:Z1375865711;
CC1CNC2(COC2)CO1,234,15:01500:0:Z4883812475;15:01500:0:Z4883816753;15:01500:3:Z4883816349;
c1cnsn1,3620,15:01500:0:Z3887234089;15:01500:0:Z2931737206;15:01500:0:Z1848760129;
Cc1ccccc1Cl,7321,15:01500:0:Z4099926083;15:01500:0:Z4767973514;15:01500:1:Z2078409615;
c1scc2c1CCCC2,269,15:01500:0:Z4281692689;15:01500:1:Z4288869924;15:01500:5:Z4390070343;
c1cc2n(n1)CCC2,3288,15:01500:0:Z2410933793;15:01500:0:Z2473371553;15:01500:0:Z4266223290;
CC1(C)OCCC1O,422,15:01500:0:Z4883666411;15:01500:2:Z4880323905;15:01500:2:Z4459557349;
CC12CCC(CO1)C2,2078,15:01500:0:Z4148032104;15:01500:0:Z4257566206;15:01500:0:Z4445960860;
c1ccc2ncncc2c1,1531,15:01500:0:Z2623678148;15:01500:0:Z4138721374;15:01500:0:Z3833219259;
O=c1cc[nH]c(=O)[nH]1,1644,15:01500:0:Z4991579481;15:01500:2:Z4288126365;15:01500:3:Z3882680050;
c1ccc2c(c1)COC2,3225,15:01500:0:Z1666701116;15:01500:0:Z2117961842;15:01500:1:Z1408733572;
Oc1cccc(F)c1,1967,15:01500:0:Z1549543017;15:01500:1:Z3671840267;15:01500:1:Z2978254589;
CC1CCc2ncncc2C1,36,15:01500:0:Z3088133211;15:01503:5:Z3088133508;15:01504:8:Z4686510158;
CN1OCCC1=O,740,15:01500:0:Z4486981823;15:01500:1:Z4353422532;15:01500:1:Z4344186214;
Clc1cncc(Cl)c1,2769,15:01500:0:Z2805021931;15:01500:0:Z4446009727;15:01500:0:Z4446009726;
Cn1nccc1F,1084,15:01500:0:Z3297756994;15:01500:0:Z4121706237;15:01500:1:Z4113936072;
C=C1CCNCC1,338,15:01500:0:Z1444639703;15:01500:0:Z786023856;15:01500:2:Z2019365066;
CC1(C)C(F)C1(C)C,307,15:01500:0:Z3669695169;15:01500:5:Z3642407379;15:01501:1:Z3670676471;
Cc1ccc(O)cc1,1542,15:01500:0:Z1553883950;15:01500:1:Z3602796226;15:01500:1:Z3643145440;
OC1CC2CC1CN2,732,15:01500:0:Z4776119726;15:01500:0:Z4783212008;15:01500:0:Z4773093521;
Clc1ccc(Cl)cc1,3587,15:01500:0:Z4776119726;15:01500:0:Z1823997229;15:01500:0:Z3621277427;
O=S1(=O)CCc2ccccc21,817,15:01500:0:Z4611041067;15:01500:0:Z4643634708;15:01500:0:Z2722872671;
OC1CCC12CCNCC2,764,15:01500:0:Z4232668375;15:01500:0:Z1256510261;15:01500:1:Z4272851591;
Cn1cc2c(n1)CCNC2,500,15:01500:0:Z3517667086;15:01500:1:Z4233536591;15:01500:2:Z4229494585;
O=C1CCCCCN1,4647,15:01500:0:Z3060497913;15:01500:0:Z4559815061;15:01500:0:Z3315703376;
CC12CC(CO1)C2,1276,15:01500:0:Z3660750710;15:01500:0:Z3703760924;15:01500:1:Z4407115643;
O=S1(=O)CCc2c[nH]cc21,427,15:01500:0:Z4007357637;15:01500:2:Z4021335749;15:01500:4:Z4230336204;
O=S1(=O)CCNCCN1,504,15:01500:0:Z3561956499;15:01500:3:Z3591004605;15:01500:7:Z3495470553;
O=C1NCC2CCC1N2,924,15:01500:0:Z5023175529;15:01500:0:Z3833760822;15:01500:6:Z3882458260;
c1ccc2c(c1)CCS2,1217,15:01500:0:Z4044042634;15:01500:0:Z2288400880;15:01500:1:Z1458004953;
Oc1ccncc1,1793,15:01500:0:Z4213570312;15:01500:1:Z3919485967;15:01500:1:Z4213732830;
CN1C2CCCC1CC2,840,15:01500:0:Z4213570312;15:01500:4:Z2265989382;15:01500:5:Z3860899666;
Clc1ncc2c(n1)CCC2,104,15:01500:0:Z3560413169;15:01500:6:Z3560816833;15:01501:2:Z3560250437;
C1COC2CNCC2N1,436,15:01500:0:Z3516501206;15:01500:0:Z2830116884;15:01500:5:Z2826238204;
C1COCC2(CC2)N1,1715,15:01500:0:Z4188533040;15:01500:0:Z4541127477;15:01500:0:Z4156924677;
NC12CCNCC1C2,386,15:01500:0:Z4452925351;15:01500:0:Z4448597965;15:01500:1:Z4448592297;
CC1NCCCC12CCC2,242,15:01500:0:Z3916566460;15:01500:7:Z3916547593;15:01501:1:Z3869268832;
Fc1cc(F)c2c(c1)NCCO2,19,15:01500:0:Z2477053390;15:01513:9:Z2477054168;15:01524:4:Z2477052335;
C1CC2(CCO1)CC2,1483,15:01500:0:Z2967087366;15:01500:1:Z2782571516;15:01500:1:Z3209685811;
OC1CCC2CC1CN2,395,15:01500:0:Z2967087366;15:01500:1:Z2967082252;15:01500:5:Z3009803779;
O=C1CCNC2CCNCC2N1,86,15:01500:0:Z4145160074;15:01500:7:Z4138921707;15:01502:2:Z4205651215;
C1CC2(CCO1)CCO2,510,15:01500:0:Z4343646583;15:01500:1:Z4240406490;15:01500:1:Z4209128917;
Cc1cc(F)ccc1F,857,15:01500:0:Z2278163170;15:01500:0:Z2255149091;15:01500:0:Z2253034849;
C1CC2CCC1N2,6988,15:01500:0:Z3501636142;15:01500:0:Z3509004206;15:01500:0:Z3508384801;
c1cc2n(n1)CCCN2,1167,15:01500:0:Z3195832639;15:01500:1:Z4288166624;15:01500:2:Z1498053609;
CC1OC2(C)CC1C2,579,15:01500:0:Z3443650791;15:01500:2:Z3552153247;15:01500:8:Z3639009962;
c1cnc2c(c1)CCCC2,3446,15:01500:0:Z4079453191;15:01500:0:Z2691839369;15:01500:0:Z3584641828;
C1CCC2(CC1)CCCN2,546,15:01500:0:Z2928636000;15:01500:5:Z2120267692;15:01500:7:Z3798175951;
OC1CNCCC1F,728,15:01500:0:Z3207818258;15:01500:1:Z3175956264;15:01500:3:Z3079662112;
C1CC2COCC2C1,1746,15:01500:0:Z2839451053;15:01500:0:Z4350905335;15:01500:1:Z3219401305;
O=C1CC2(CCC2)CN1,500,15:01500:0:Z3618952428;15:01500:1:Z4106917556;15:01500:3:Z3058866742;
c1cc2nc[nH]c2cn1,370,15:01500:0:Z4292974556;15:01500:2:Z3394016411;15:01500:6:Z3390548864;
FC1(F)CCCNC1,3463,15:01500:0:Z4913137709;15:01500:0:Z2480914719;15:01500:0:Z4204236533;
CC1CNC(C)CN1,727,15:01500:0:Z2293524699;15:01500:1:Z2612357260;15:01500:1:Z2439109007;
C1CCC2(C1)CCCNCC2,146,15:01500:0:Z2624153776;15:01500:9:Z2615323571;15:01503:1:Z2914056776;
Cc1cccc(C)c1F,769,15:01500:0:Z3554776097;15:01500:0:Z2147632530;15:01500:1:Z1441969708;
CN1CCC1,3300,15:01500:0:Z3874826625;15:01500:0:Z4032032339;15:01500:0:Z3552791348;
c1cc2c(cn1)CCCC2,1209,15:01500:0:Z3874826625;15:01500:0:Z2965185027;15:01500:0:Z2978501426;
Cc1nn[nH]n1,1041,15:01500:0:Z1731271742;15:01500:1:Z4915176396;15:01500:2:Z3582786924;
O=c1[nH]ccn2cnnc12,203,15:01500:0:Z2843262190;15:01500:0:Z2843286068;15:01500:0:Z3365506590;
O=c1[nH]c2ccccc2o1,1910,15:01500:0:Z1395545946;15:01500:0:Z1578678815;15:01500:1:Z3350680464;
c1ccc2c(c1)OCO2,5391,15:01500:0:Z1517048021;15:01500:0:Z3612656917;15:01500:0:Z1675175129;
Cn1ccc(N)n1,981,15:01500:0:Z3485413561;15:01500:0:Z4058400198;15:01500:1:Z3247259566;
CC1CCCC1(C)C,286,15:01500:0:Z3485413561;15:01500:3:Z3682628137;15:01501:1:Z4295419600;
CC1(O)CCCCC1,1289,15:01500:0:Z3058014964;15:01500:1:Z3046196642;15:01500:4:Z4260786999;
CC1(C)CC2CCOC21,675,15:01500:0:Z2955310702;15:01500:2:Z2227704201;15:01500:3:Z2870111254;
c1cc2[nH]ccc2cn1,786,15:01500:0:Z2955310702;15:01500:1:Z3206828767;15:01500:5:Z2961691484;
O=c1nc[nH][nH]1,1090,15:01500:0:Z4155556463;15:01500:1:Z809377160;15:01500:3:Z1516469047;
Clc1cscn1,4974,15:01500:0:Z4155556463;15:01500:0:Z1927187270;15:01500:1:Z3514911181;
CC1CCCC(C)NC1,308,15:01500:0:Z1261794565;15:01500:3:Z1260294819;15:01500:7:Z2947118905;
C1COC2CC2C1,1392,15:01500:0:Z4147864482;15:01500:0:Z4279639879;15:01500:1:Z3051387283;
c1cc2ccncc2cn1,553,15:01500:0:Z3076406704;15:01500:1:Z4471944200;15:01500:5:Z3484506153;
c1cc2c(s1)CCSC2,901,15:01500:0:Z3076406704;15:01500:2:Z2971048779;15:01500:7:Z1273310279;
Nc1nncs1,1318,15:01500:0:Z4280711969;15:01500:0:Z4485002392;15:01500:1:Z4484470028;
OC1CNC2COCC12,388,15:01500:0:Z4451358577;15:01500:0:Z3519982748;15:01500:4:Z3633503141;
c1cc2c(cn1)CNCCO2,201,15:01500:0:Z4344986834;15:01500:3:Z4353725285;15:01500:8:Z4347539083;
Cc1nc2c(s1)CNCC2,220,15:01500:0:Z4224668355;15:01500:1:Z4271162524;15:01500:1:Z4224671500;
OC1CCOCC1,5764,15:01500:0:Z2913601975;15:01500:0:Z4767973514;15:01500:0:Z2784877836;
c1cc2n(n1)CCCNC2,519,15:01500:0:Z4491591370;15:01500:0:Z4491591350;15:01500:0:Z4491591056;
C1CCCCNCCCC1,141,15:01500:0:Z3641760786;15:01500:4:Z3641751151;15:01502:2:Z3641762114;
c1cc2c(s1)CCCNC2,499,15:01500:0:Z2923451290;15:01500:1:Z1492812506;15:01500:3:Z3516438948;
Cn1nccc1Cl,4998,15:01500:0:Z3365298981;15:01500:0:Z3365313920;15:01500:0:Z3646813434;
FC1(F)CCNC2(CCC2)C1,155,15:01500:0:Z4080059366;15:01500:2:Z4215048847;15:01500:5:Z4082145278;
Cn1cnc(=O)cc1N,52,15:01500:0:Z3638739345;15:01501:1:Z3638747562;15:01502:5:Z3638747693;
C1CC2CNC1CN2,587,15:01500:0:Z4315110132;15:01500:4:Z2441853397;15:01500:7:Z4330027738;
O=c1[nH]ccc2c1CCNC2,230,15:01500:0:Z3593708141;15:01501:1:Z3393325686;15:01501:7:Z3681615817;
CC1(C)CCOCCN1,288,15:01500:0:Z4137763987;15:01500:1:Z4285908429;15:01500:3:Z4145400747;
OC1CNCC12CCOCC2,210,15:01500:0:Z4095348819;15:01500:7:Z3831017992;15:01501:2:Z3882785038;
Cc1nn(C)cc1Cl,1160,15:01500:0:Z2869569478;15:01500:0:Z4035829711;15:01500:2:Z3596220163;
OC12CCC(CC1)CC2,395,15:01500:0:Z4348802674;15:01500:2:Z4051393333;15:01500:3:Z3997206417;
Cc1cccn2ccnc12,1222,15:01500:0:Z3807515171;15:01500:0:Z3408723784;15:01500:1:Z2982885179;
OC1CCC12CCC2,1991,15:01500:0:Z4233252010;15:01500:0:Z4234358846;15:01500:1:Z2646359128;
Cc1cncnc1,2709,15:01500:0:Z2851270113;15:01500:0:Z4934437328;15:01500:0:Z4476106741;
Fc1cn[nH]c1,834,15:01500:0:Z2891362408;15:01500:3:Z3623502090;15:01500:5:Z5023213960;
C1COC2(C1)CCOC2,1300,15:01500:0:Z2994943099;15:01500:0:Z4124766417;15:01500:0:Z3308551557;
CN1CCC(N)C1,306,15:01500:0:Z3800089575;15:01500:4:Z3889215488;15:01500:6:Z3140900172;
c1ccc2cnccc2c1,5205,15:01500:0:Z3800089575;15:01500:0:Z3207180655;15:01500:0:Z4221179223;
c1cc2c(s1)CCC2,1112,15:01500:0:Z4368545808;15:01500:0:Z4339852660;15:01500:2:Z4732670249;
NC1CCC2(CCC2)NC1,180,15:01500:0:Z3844972887;15:01500:2:Z3844971879;15:01500:5:Z4381028383;
CN1C2CCCC1CNCC2,140,15:01500:0:Z4224455810;15:01500:0:Z4224427019;15:01500:3:Z4277689439;
O=c1cn[nH]c2ccccc12,102,15:01500:0:Z2439921343;15:01500:3:Z2227537496;15:01500:3:Z2227520413;
CN1CC2(CCNC2)C1,323,15:01500:0:Z4171731204;15:01500:1:Z2907456159;15:01500:3:Z5007491473;
C1CCN2CCCC2C1,3156,15:01500:0:Z423019790;15:01500:1:Z2600905883;15:01500:1:Z3018772952;
C1NOC2COCC12,471,15:01500:0:Z4109072457;15:01500:0:Z3681637591;15:01500:1:Z4896927915;
C1CCN2CCNCC2C1,455,15:01500:0:Z741034856;15:01500:4:Z2505599376;15:01500:8:Z2873921464;
C1CC2CC(C2)O1,2741,15:01500:0:Z3382992032;15:01500:0:Z4077768994;15:01500:2:Z3606836000;
C1COCC2(C1)CCCO2,229,15:01500:0:Z4620840690;15:01501:0:Z3394734264;15:01501:6:Z3366659339;
C1CC2(CCSCC2)CN1,583,15:01500:0:Z3625013236;15:01500:1:Z3791212937;15:01500:4:Z3625018482;
Cc1ccnnc1Cl,61,15:01500:0:Z4522115020;15:01500:9:Z4522115638;15:01505:4:Z4522112400;
OC1CC2CCCC(C1)N2,346,15:01500:0:Z3442965774;15:01500:0:Z3615102747;15:01500:4:Z3593406369;
CC(C)=CF,1204,15:01500:0:Z4395693399;15:01500:1:Z4246444456;15:01500:2:Z4385331368;
Oc1cc(Cl)ccc1Cl,177,15:01500:0:Z3356345806;15:01501:2:Z4311719582;15:01502:4:Z4312875368;
C1OCC2CC12,5839,15:01500:0:Z2862501436;15:01500:0:Z4471018197;15:01500:0:Z2636123026;
c1cc2n(n1)CCCO2,1153,15:01500:0:Z4143258410;15:01500:0:Z2221568636;15:01500:0:Z3503161841;
C1CC2CCC(C1)S2,1536,15:01500:0:Z3134695299;15:01500:0:Z2859465290;15:01500:1:Z2964630415;
Cc1csc(C)c1,1494,15:01500:0:Z2444029248;15:01500:1:Z2770258498;15:01500:3:Z3357285144;
NC1CCC2(CCOCC2)NC1,72,15:01500:0:Z4392355389;15:01501:9:Z4422557304;15:01504:9:Z4410215784;
CC1(C)CC2(CC2)C1,821,15:01500:0:Z3495020491;15:01500:1:Z3647103084;15:01500:2:Z3569261610;
c1cc2n(c1)CCC2,438,15:01500:0:Z4021224391;15:01500:1:Z4352949121;15:01500:2:Z4020345943;
FC12CNCC(C1)C2,940,15:01500:0:Z3656634356;15:01500:0:Z3797815637;15:01500:0:Z3655536774;
CC1NCC1O,492,15:01500:0:Z4138721374;15:01500:1:Z4142507439;15:01500:2:Z4234040824;
C1CC2CC1C2,2075,15:01500:0:Z4403227707;15:01500:0:Z4403480664;15:01500:0:Z4368258065;
C1CNCC2(C1)CCOC2,368,15:01500:0:Z2298569918;15:01500:5:Z2298572552;15:01501:3:Z4487274173;
CC1CC1(C)C,943,15:01500:0:Z2917603963;15:01500:0:Z2854795224;15:01500:1:Z3844574483;
Cn1ncc2cccnc21,1017,15:01500:0:Z4471018197;15:01500:0:Z2091279508;15:01500:0:Z2092399843;
Cc1cnc(C)c(C)n1,868,15:01500:0:Z3623027297;15:01500:3:Z3645989938;15:01500:3:Z3646011279;
Cn1cc(Cl)ncc1=O,160,15:01500:0:Z3830852165;15:01500:0:Z3562115010;15:01500:9:Z3558319371;
Fc1ccc2c(c1)CCC2,1683,15:01500:0:Z4021012592;15:01500:2:Z2012604096;15:01500:2:Z5006549176;
CC1CNCC2(CCOCC2)O1,121,15:01500:0:Z1931746450;15:01500:9:Z4227377642;15:01501:8:Z1930105533;
CC12CNCC1C2,1905,15:01500:0:Z4577303491;15:01500:0:Z4093094130;15:01500:0:Z3315481797;
CC1CC(F)(F)CN1,1453,15:01500:0:Z3628766464;15:01500:1:Z3786154310;15:01500:2:Z4285557603;
O=c1ccnc2sccn12,335,15:01500:0:Z3628766464;15:01500:9:Z3535207322;15:01501:0:Z1915554925;
C1CC2CCC2C1,6928,15:01500:0:Z2965354839;15:01500:0:Z4934437328;15:01500:0:Z4489494721;
Cc1cc(C)cc(F)c1,754,15:01500:0:Z3603772595;15:01500:2:Z3818534067;15:01500:4:Z3623327229;
C1CC2(C1)CNC2,4660,15:01500:0:Z4858670302;15:01500:1:Z4029320098;15:01500:1:Z3373216110;
Cc1nc[nH]c1C,3176,15:01500:0:Z2892054302;15:01500:0:Z4100760187;15:01500:0:Z2442373938;
Oc1ccnc2c1CNCC2,133,15:01500:0:Z4249635823;15:01500:4:Z4249645916;15:01502:3:Z4249658603;
Cc1coc(C)n1,1657,15:01500:0:Z4935295761;15:01500:0:Z2716369561;15:01500:0:Z3633688117;
Fc1ccc(F)cc1,5946,15:01500:0:Z3840012459;15:01500:0:Z1582986592;15:01500:1:Z3519767106;
C1CC2CNC2C1,1172,15:01500:0:Z2947973876;15:01500:2:Z3586333424;15:01500:2:Z1363069761;
CC1CNCCS(=O)C1,487,15:01500:0:Z4115967657;15:01500:1:Z3197382380;15:01500:3:Z2637338209;
C1CNc2nn[nH]c2C1,269,15:01500:0:Z3297242477;15:01500:1:Z1753517198;15:01500:4:Z1204687554;
Cc1cccc(O)n1,950,15:01500:0:Z1609968262;15:01500:1:Z1609748572;15:01500:2:Z3711971693;
Fc1ccc2c(c1)CCCO2,668,15:01500:0:Z1167320725;15:01500:1:Z3791063434;15:01500:1:Z3531553689;
FC1(F)C2C3CCC(C3)C21,83,15:01500:0:Z3574656247;15:01500:6:Z4006836241;15:01501:4:Z4008670495;
Cc1cccnn1,6129,15:01500:0:Z4179222445;15:01500:0:Z3086547650;15:01500:0:Z4202744135;
CC1=NOCC1,2378,15:01500:0:Z2618011107;15:01500:0:Z2877361245;15:01500:1:Z4485997728;
CN1CCNC2CC21,675,15:01500:0:Z3833219259;15:01500:6:Z4109340462;15:01500:8:Z3809323163;
FC1CNC1,5365,15:01500:0:Z4293971751;15:01500:1:Z4961023192;15:01500:1:Z4395131159;
C1CC2(CCO1)CCOC2,674,15:01500:0:Z3843205807;15:01500:2:Z4018228165;15:01500:2:Z3851767862;
Cc1cccc(C)n1,3654,15:01500:0:Z4147969145;15:01500:0:Z3075353568;15:01500:0:Z3174931624;
C1CC2(C1)COC2,1172,15:01500:0:Z4147969145;15:01500:0:Z4285719333;15:01500:1:Z5054999658;
Cc1cnc2ccccn12,730,15:01500:0:Z2639195737;15:01500:2:Z4880323905;15:01500:7:Z4020364368;
Clc1cnn2c1NCCC2,91,15:01500:0:Z3086526271;15:01500:8:Z3086525860;15:01502:1:Z3294648124;
Clc1ccc2c(c1)CC1CC21,187,15:01500:0:Z4032032339;15:01500:4:Z2717609483;15:01500:4:Z2708912612;
C1CC2(CCN1)OCCO2,456,15:01500:0:Z4103820321;15:01500:0:Z1916069001;15:01500:2:Z1592764481;
OC1CCC2NC1CCC2O,211,15:01500:0:Z4274328085;15:01500:5:Z4269620110;15:01501:2:Z4269615557;
c1ccc2c(c1)CCNC2,6818,15:01500:0:Z2438272326;15:01500:0:Z2447001033;15:01500:0:Z4141113604;
Nc1ncccn1,1575,15:01500:0:Z4019375879;15:01500:0:Z4098596134;15:01500:0:Z4192256162;
O=S1(=O)CCC2CNCC21,801,15:01500:0:Z2977154274;15:01500:2:Z2977156385;15:01500:2:Z4541636735;
Clc1csc2ccccc12,351,15:01500:0:Z3060834458;15:01500:5:Z2446912050;15:01500:7:Z3344088919;
Cc1cc2ncccn2n1,819,15:01500:0:Z3470043603;15:01500:2:Z3620838847;15:01500:4:Z4449075081;
CC1CCSCCN1,631,15:01500:0:Z3470043603;15:01500:1:Z3845368431;15:01500:2:Z1843720512;
C1NCC2COCC12,1444,15:01500:0:Z2791354795;15:01500:1:Z2791344519;15:01500:1:Z2791642968;
c1cc2ccncn2c1,233,15:01500:0:Z2957336408;15:01500:3:Z2954489096;15:01500:9:Z4142510196;
C1CNC2(C1)CCNC2,649,15:01500:0:Z2378764092;15:01500:1:Z2996087467;15:01500:4:Z3518384372;
O=C1NCC2CC12,1259,15:01500:0:Z3819337419;15:01500:1:Z4198469208;15:01500:1:Z4212412421;
C1CC2CC1C1CC21,1390,15:01500:0:Z3009382323;15:01500:0:Z2960209813;15:01500:0:Z2803153331;
CC1CNc2ccccc2C(=O)N1,19,15:01500:0:Z1647872506;15:01501:2:Z1884970233;15:01508:5:Z1824148725;
Cc1cn[nH]n1,2558,15:01500:0:Z1927087934;15:01500:1:Z2911985089;15:01500:2:Z3505511324;
CC1=CCCO1,709,15:01500:0:Z3283696843;15:01500:4:Z3599808338;15:01500:5:Z3707902760;
Cc1ccc(C)o1,2832,15:01500:0:Z1569485618;15:01500:0:Z3509926935;15:01500:0:Z1440868289;
Cn1ncc2ccccc21,1471,15:01500:0:Z4062061575;15:01500:0:Z2187314486;15:01500:0:Z4934292566;
O=S1(=O)CC2(CNC2)C1,402,15:01500:0:Z2911913202;15:01500:2:Z3077360383;15:01500:6:Z2851311434;
O=S1(=O)CCC2(CCN2)C1,248,15:01500:0:Z4107374817;15:01500:0:Z4272371888;15:01500:1:Z4272359433;
O=c1[nH]cnc2sc3c(c12)CCNC3,9,15:01500:0:Z3497277358;15:01513:3:Z3497276842;15:01525:7:Z3497274924;
NC1CCCCCNC1,342,15:01500:0:Z2692235603;15:01500:2:Z4144551127;15:01500:2:Z3133325655;
CC12CNCCC1C2(F)F,407,15:01500:0:Z4276067385;15:01500:0:Z4272717449;15:01500:4:Z4244872960;
Cc1ccns1,2253,15:01500:0:Z4959537291;15:01500:1:Z3362212269;15:01500:1:Z4580868884;
CC1Cc2ccccc2N1,673,15:01500:0:Z3698625724;15:01500:0:Z4123186933;15:01500:2:Z2601112720;
N=S1(=O)CCCC1,1873,15:01500:0:Z2927194331;15:01500:1:Z4213698393;15:01500:1:Z4207341711;
Cc1cnc(C)cn1,648,15:01500:0:Z4271282541;15:01500:0:Z2976343428;15:01500:3:Z4271263441;
Cc1cccc(Cl)c1Cl,380,15:01500:0:Z3593935460;15:01500:1:Z4220342950;15:01500:1:Z4266973578;
C1CC2CC1CN2,7926,15:01500:0:Z3315762115;15:01500:0:Z3705679360;15:01500:0:Z4231619575;
C1CC2(C1)CCNCCS2,355,15:01500:0:Z2334897388;15:01501:3:Z4311521137;15:01501:3:Z2334892434;
c1ccc2nonc2c1,1774,15:01500:0:Z2371415311;15:01500:1:Z4313543473;15:01500:1:Z4387751209;
C1CN2CCN(C1)CC2,250,15:01500:0:Z2027254568;15:01500:1:Z1546080673;15:01500:2:Z4469539722;
O=S1(=O)CCCCC1,7534,15:01500:0:Z2034813634;15:01500:0:Z4035829711;15:01500:0:Z2859870922;
Cn1ccnc1Cl,1881,15:01500:0:Z2801647782;15:01500:0:Z2569580291;15:01500:1:Z4152724717;
CC1CN=CS1,401,15:01500:0:Z2408310044;15:01500:0:Z2408310183;15:01500:0:Z2408309405;
C1CC2COCC2O1,2252,15:01500:0:Z3581423032;15:01500:0:Z4487688604;15:01500:0:Z3567960414;
c1ncn2c1CCCC2,2142,15:01500:0:Z2691571587;15:01500:2:Z4055303694;15:01500:2:Z4055299944;
Cc1cccc2ncccc12,211,15:01500:0:Z2960210106;15:01501:1:Z3803218313;15:01501:6:Z2958206839;
Cc1cc2ccccc2cn1,345,15:01500:0:Z3522792795;15:01500:1:Z4234405602;15:01501:0:Z4129926768;
FC1CCNCC1,4419,15:01500:0:Z3522792795;15:01500:0:Z2849799724;15:01500:1:Z3519896366;
c1cn2c(n1)CCC2,4317,15:01500:0:Z3850200625;15:01500:0:Z3873236102;15:01500:0:Z4182168773;
Oc1nccc2cccnc12,75,15:01500:0:Z4128905597;15:01500:9:Z4128484757;15:01501:3:Z4126962954;
Fc1cccc2c1CCCC2,309,15:01500:0:Z3640102528;15:01500:0:Z3052219511;15:01500:8:Z2278086912;
FC1CNCC12COC2,287,15:01500:0:Z3833232627;15:01500:2:Z3391175345;15:01501:0:Z3883244575;
CC1CNCC(C)C1=O,258,15:01500:0:Z4051689466;15:01500:5:Z4051688055;15:01500:8:Z4034707938;
c1ccc2c(c1)CNCC21CCCC1,22,15:01500:0:Z2207261596;15:01516:0:Z3571601973;15:01516:0:Z2279355560;
CN1C(C)(C)CCS1(=O)=O,235,15:01500:0:Z3322059656;15:01500:1:Z3878418466;15:01500:2:Z3364804584;
O=C1CCc2ccccc21,1623,15:01500:0:Z4998094759;15:01500:0:Z4998247475;15:01500:1:Z2295490817;
O=S1(=O)CCNCCCCCN1,103,15:01500:0:Z3605434199;15:01500:0:Z3605419396;15:01500:0:Z3605449669;
CC12CCC(CC1)N2,488,15:01500:0:Z3562485535;15:01500:0:Z4639480550;15:01500:3:Z3598565455;
c1ccc2[nH]cnc2c1,5707,15:01500:0:Z3562485535;15:01500:0:Z3505672239;15:01500:0:Z1915807966;
Clc1cc2[nH]ccc2s1,237,15:01500:0:Z3641186313;15:01500:0:Z3650834565;15:01500:0:Z3838415997;
CC1(N)CCC1,494,15:01500:0:Z4175406316;15:01500:1:Z3385410276;15:01500:1:Z3365910522;
NC1CCNCC1(F)F,286,15:01500:0:Z4075234896;15:01500:1:Z4169463074;15:01500:4:Z3551132734;
c1cnc2occc2c1,418,15:01500:0:Z3630279945;15:01500:0:Z2899388314;15:01500:1:Z3299054799;
C1CC2CCNC2CN1,713,15:01500:0:Z2984195746;15:01500:0:Z2827323676;15:01500:0:Z2923042975;
CC1(C)CCC1O,3059,15:01500:0:Z2851114974;15:01500:0:Z2926827263;15:01500:0:Z3713451434;
C1CC2CCC1CC2,3711,15:01500:0:Z3515496542;15:01500:0:Z4598343696;15:01500:0:Z4099728434;
OC1CCCOC1,2810,15:01500:0:Z2710413305;15:01500:0:Z2839819816;15:01500:1:Z4228814302;
C1CNCOC1,470,15:01500:0:Z4328582510;15:01500:2:Z3200131691;15:01500:3:Z2964517873;
CC1CCCCC1C,1581,15:01500:0:Z1961236407;15:01500:1:Z3631738351;15:01500:2:Z1817299073;
c1ncn2c1CNCC2,820,15:01500:0:Z2184117628;15:01500:0:Z3829551092;15:01500:1:Z3354749982;
C1CC2(C1)CCOC2,3222,15:01500:0:Z4229971207;15:01500:0:Z5060704278;15:01500:1:Z3713696999;
OC1CCSCC1,1139,15:01500:0:Z3361463078;15:01500:1:Z1285018026;15:01500:1:Z4057181274;
