fragment_smiles,occurences,example_ligands
O=C1NCC2CNCCC12,423,44:04400:0:Z3776472802;44:04400:1:Z3006564603;44:04400:2:Z3007250136;
Cc1ccc2n1CCNC2C,119,44:04400:0:Z4198363492;44:04402:3:Z2724716869;44:04403:2:Z4329212276;
Clc1ncccn1,925,44:04400:0:Z3559483008;44:04400:0:Z5064716849;44:04400:0:Z3647868653;
O=S1(=O)CCNCC1,4995,44:04400:0:Z2718468993;44:04400:0:Z1824138210;44:04400:0:Z3520788412;
Cc1nccs1,14356,44:04400:0:Z2588327531;44:04400:0:Z1514009369;44:04400:0:Z1136153087;
CC1(C)CCCO1,4934,44:04400:0:Z2588327531;44:04400:1:Z1744640166;44:04400:1:Z1899277857;
O=c1[nH]cnc2ccccc12,3049,44:04400:0:Z1438194039;44:04400:1:Z3362109502;44:04400:2:Z2474252728;
CC1CNCCN1,12460,44:04400:0:Z3323325034;44:04400:0:Z5048604521;44:04400:0:Z5004319661;
C1CNCCNC1,18529,44:04400:0:Z3347487431;44:04400:0:Z3667277247;44:04400:0:Z4970850267;
c1ccn2ccnc2c1,8770,44:04400:0:Z237522494;44:04400:0:Z1900234810;44:04400:0:Z4266025972;
CC1CCC1,7320,44:04400:0:Z4437036145;44:04400:0:Z4253830439;44:04400:0:Z1478509547;
c1noc2c1COCC2,1584,44:04400:0:Z4066013691;44:04400:0:Z3054144373;44:04400:2:Z3774118275;
FC1CCNC1,12212,44:04400:0:Z4066013691;44:04400:0:Z3698989514;44:04400:0:Z4211122601;
O=c1cccc[nH]1,21612,44:04400:0:Z4403701750;44:04400:0:Z3168366012;44:04400:0:Z3667173828;
CC1CCCC(=O)N1,2328,44:04400:0:Z3210111624;44:04400:0:Z3821595367;44:04400:0:Z3080075573;
N=S1(=O)CCCC1,1203,44:04400:0:Z4451304630;44:04400:0:Z4055106000;44:04400:1:Z4066105539;
C1NC2CC3CC1C2C3,297,44:04400:0:Z2817276908;44:04400:4:Z3588663613;44:04400:5:Z3669905067;
c1ccc2occc2c1,12708,44:04400:0:Z3619677375;44:04400:0:Z3140627043;44:04400:0:Z2932691679;
Clc1cccnc1,20977,44:04400:0:Z2640605877;44:04400:0:Z4961574044;44:04400:0:Z2801466329;
c1nnn2c1CNCC2,674,44:04400:0:Z2494719671;44:04400:0:Z4132418035;44:04400:0:Z2234033074;
Cc1nnn[nH]1,1193,44:04400:0:Z3646362232;44:04400:1:Z3207350976;44:04400:1:Z2255332101;
FC1CC12CCC2,1430,44:04400:0:Z3646362232;44:04400:0:Z3646353118;44:04400:1:Z3701869970;
Clc1ccc2[nH]ncc2c1,364,44:04400:0:Z3707150272;44:04400:4:Z2303940888;44:04400:5:Z2046807681;
CC1CNc2ccccc21,607,44:04400:0:Z4112199381;44:04400:1:Z3599194323;44:04400:3:Z3471144498;
Cn1nccc1F,621,44:04400:0:Z4112199381;44:04400:1:Z4113947070;44:04400:1:Z4112167201;
NC12CCNCC1C2,147,44:04400:0:Z4453720127;44:04400:3:Z4453720745;44:04400:5:Z4444726857;
CC1(C)C2CCCC21,647,44:04400:0:Z4240269139;44:04400:0:Z4994783961;44:04400:0:Z4994784091;
c1nc2c(s1)CSCC2,141,44:04400:0:Z2089538861;44:04400:6:Z3549561510;44:04401:7:Z2068301691;
CC1(C)CCC1,10063,44:04400:0:Z3019392208;44:04400:0:Z3019383604;44:04400:0:Z2106960964;
c1ccc2scnc2c1,11436,44:04400:0:Z4031362619;44:04400:0:Z450359120;44:04400:0:Z3861400104;
CC1CCCNC1,19191,44:04400:0:Z2219139986;44:04400:0:Z2972816158;44:04400:0:Z3085787388;
C1COCC2(CCOC2)N1,237,44:04400:0:Z4395405815;44:04400:0:Z1998100102;44:04400:6:Z1995564874;
O=S1(=O)CCCNC1,211,44:04400:0:Z4265692969;44:04400:2:Z3384052482;44:04400:2:Z4278678062;
CC1(C)C(F)C1(C)C,156,44:04400:0:Z4265692969;44:04401:0:Z4476855280;44:04401:3:Z3667326423;
Cc1ccsc1C,2136,44:04400:0:Z2355394992;44:04400:0:Z806806596;44:04400:0:Z4481111779;
Cc1csc(C)c1,836,44:04400:0:Z2893648155;44:04400:1:Z2928077099;44:04400:1:Z3913158922;
OC1CCNCc2ccccc21,274,44:04400:0:Z2893648155;44:04400:1:Z2835058334;44:04400:3:Z3937490604;
CC1CCCC(C)NC1,190,44:04400:0:Z4005273632;44:04400:6:Z1260294237;44:04400:6:Z1260292918;
Cc1ncno1,6501,44:04400:0:Z2271792177;44:04400:0:Z3343704648;44:04400:0:Z2918014520;
CC1(O)CCNCC1,488,44:04400:0:Z4961574044;44:04400:0:Z3352107290;44:04400:1:Z4266933022;
Cn1cc2c(n1)CCNC2,678,44:04400:0:Z3629969103;44:04400:2:Z3654945437;44:04400:4:Z3797672618;
C1COC2(CCN1)CCSC2,357,44:04400:0:Z4112217806;44:04400:0:Z3910701522;44:04400:1:Z4638758190;
c1cc2c(cn1)NCCO2,288,44:04400:0:Z4112217806;44:04400:3:Z1882843043;44:04400:3:Z1882843514;
CN1CC23CCCC2(CNC3)C1,204,44:04400:0:Z4644078441;44:04400:0:Z3599959765;44:04401:0:Z3613921380;
CC1CNCC(C)O1,5594,44:04400:0:Z2494824615;44:04400:0:Z1397981479;44:04400:1:Z3642136564;
Cn1ccnc1,31790,44:04400:0:Z2917985731;44:04400:0:Z4139178348;44:04400:0:Z4272529175;
C1COCC2(C1)CCC2,2175,44:04400:0:Z3092709813;44:04400:0:Z2860961709;44:04400:2:Z3683421281;
O=C1CNC(=O)c2ccccc2N1,186,44:04400:0:Z2224699482;44:04400:1:Z5053601948;44:04401:4:Z5049303032;
C1COCOC1,2308,44:04400:0:Z3011242216;44:04400:0:Z2917711243;44:04400:0:Z5053509239;
C1CC2CNCC1C2,1950,44:04400:0:Z5058575955;44:04400:0:Z4004081823;44:04400:0:Z4004086899;
Fc1ccc2ocnc2c1,599,44:04400:0:Z5058575955;44:04400:1:Z3355837133;44:04400:3:Z4289844062;
