fragment_smiles,occurences,example_ligands
c1nn[nH]n1,21586,28:02800:0:Z4168574542;28:02800:0:Z2634343860;28:02800:0:Z4507447569;
CC1(C)C(F)C1(C)C,306,28:02800:0:Z3631132513;28:02800:0:Z3634857875;28:02800:8:Z3667328274;
Fc1ccc2c(c1)OCC2,533,28:02800:0:Z4424030759;28:02800:8:Z4490563594;28:02801:2:Z3057198642;
CC1CC(N)C1,1114,28:02800:0:Z5004979256;28:02800:0:Z3495921017;28:02800:1:Z3522632996;
c1nnc2n1CCCC2,3322,28:02800:0:Z2709429013;28:02800:0:Z4405979220;28:02800:0:Z3592614948;
OC1CCOCC1,5705,28:02800:0:Z3702341383;28:02800:0:Z3702388947;28:02800:0:Z1470604510;
CC1NCCc2ccccc21,219,28:02800:0:Z1991834272;28:02800:0:Z5017719508;28:02801:5:Z2833833036;
Cn1ccc(Cl)n1,1649,28:02800:0:Z2876751700;28:02800:0:Z2214612855;28:02800:0:Z3539500727;
Cn1ncc2ccsc21,420,28:02800:0:Z3354788598;28:02800:2:Z3583385055;28:02800:3:Z3353953188;
CC1OCCc2ccccc21,136,28:02800:0:Z2835124637;28:02800:6:Z2872290746;28:02802:0:Z2862084446;
FC1CCOC1,4819,28:02800:0:Z2175236355;28:02800:0:Z3703377853;28:02800:1:Z4391588887;
c1ccc2scnc2c1,6282,28:02800:0:Z3649957049;28:02800:0:Z5014007730;28:02800:0:Z2709332370;
CC1(C)CCC1O,2994,28:02800:0:Z3649957049;28:02800:0:Z3713434730;28:02800:0:Z3541876404;
FC1CCC1,19450,28:02800:0:Z3997213262;28:02800:0:Z2996856417;28:02800:0:Z2014334932;
Cc1cnccn1,9779,28:02800:0:Z4108427608;28:02800:0:Z2657079975;28:02800:0:Z4295404584;
Cc1ncccn1,8396,28:02800:0:Z4732845515;28:02800:0:Z1359601312;28:02800:0:Z1738350448;
Cc1nn(C)c2ncccc12,784,28:02800:0:Z4054430672;28:02800:3:Z4054950103;28:02800:3:Z4053770161;
NC1CNCC12CC2,470,28:02800:0:Z4054430672;28:02800:8:Z2452975000;28:02801:3:Z2448493604;
C1CC2(CC2)CO1,4445,28:02800:0:Z3819765434;28:02800:0:Z4451305181;28:02800:0:Z4262960051;
Clc1ccc(Cl)cc1,3617,28:02800:0:Z2878275402;28:02800:1:Z2330896762;28:02800:1:Z4014808165;
Oc1ccc2ncsc2n1,30,28:02800:0:Z4224369046;28:02801:6:Z4224365922;28:02801:9:Z4224365439;
NC1CNC2(CCOCC2)C1,127,28:02800:0:Z3519187906;28:02800:9:Z3385165176;28:02801:0:Z4079375753;
Fc1cccc2c1CCC2,1045,28:02800:0:Z2995583931;28:02800:3:Z3559543838;28:02800:3:Z3559543703;
O=c1[nH]cnc2sc3c(c12)CCC3,37,28:02800:0:Z1892302034;28:02802:3:Z1356052712;28:02803:0:Z28676785;
