fragment_smiles,occurences,example_ligands
O=C1COc2ccccc2CN1,203,140:14000:0:Z3782615761;140:14000:9:Z3289138894;140:14001:0:Z4106703838;
NC1CC2CC(C1)CS(=O)(=O)C2,103,140:14000:0:Z4859350180;140:14000:3:Z2354162899;140:14000:3:Z2394279223;
O=S1(=O)CCc2ccccc2C1,304,140:14000:0:Z2654838187;140:14000:6:Z2771074115;140:14000:8:Z3383253783;
O=C1CSC2=NCCN12,321,140:14000:0:Z4350809435;140:14000:2:Z4344921468;140:14000:3:Z4348194623;
Cc1cccc(=O)[nH]1,1082,140:14000:0:Z1941917125;140:14000:1:Z4032685113;140:14000:2:Z1728539193;
c1ccc2ncccc2c1,25029,140:14000:0:Z2017643691;140:14000:0:Z4646985392;140:14000:0:Z2194292137;
CC1(C)CCNC1,5503,140:14000:0:Z2700500059;140:14000:0:Z2496735124;140:14000:0:Z3637539448;
c1ccc2c(c1)ccc1occc12,279,140:14000:0:Z2055481792;140:14000:1:Z1506803544;140:14000:9:Z1171574628;
O=C1CCCCN1,36403,140:14000:0:Z2475881119;140:14000:0:Z3359551444;140:14000:0:Z2801114564;
CN1CCc2ccccc2C1=O,1444,140:14000:0:Z2569734682;140:14000:3:Z2646077996;140:14000:3:Z2837392643;
c1ncc2cn[nH]c2n1,1140,140:14000:0:Z1892284776;140:14000:1:Z4168728409;140:14000:2:Z397753112;
Cc1ccon1,11800,140:14000:0:Z1772272837;140:14000:0:Z2766805558;140:14000:0:Z2042568945;
Cn1nnc2ccccc21,2597,140:14000:0:Z4350301618;140:14000:0:Z2704208920;140:14000:0:Z3918378672;
Oc1cccc(F)c1,1343,140:14000:0:Z1614663608;140:14000:0:Z3646229695;140:14000:0:Z4642006304;
C1COC2(C1)CNC2,1642,140:14000:0:Z4116635945;140:14000:0:Z3593378338;140:14000:2:Z4591439602;
Cc1cn2c(n1)CCCC2,2019,140:14000:0:Z4880466071;140:14000:0:Z2977390798;140:14000:0:Z2700163356;
C1CCC2(CC1)OCCO2,4419,140:14000:0:Z4880466071;140:14000:0:Z1645596656;140:14000:0:Z4031338134;
