fragment_smiles,occurences,example_ligands
C1CCCNCC1,30072,199:19900:0:Z2707472197;199:19900:0:Z3712560244;199:19900:0:Z1359811987;
Cn1ccc(Cl)n1,632,199:19900:0:Z3599015070;199:19900:4:Z2215702694;199:19900:6:Z2219717145;
Cc1ccc(C)[nH]1,10364,199:19900:0:Z1119155739;199:19900:0:Z3569489684;199:19900:0:Z2637160429;
Clc1cccnc1,19574,199:19900:0:Z2283826495;199:19900:0:Z226213654;199:19900:0:Z2368657949;
FC1(F)CC1,10896,199:19900:0:Z4014558485;199:19900:0:Z3406798592;199:19900:0:Z3780858565;
CC1CNCC(C)N1,2238,199:19900:0:Z3842056725;199:19900:1:Z4304546503;199:19900:1:Z2457698050;
c1cn2nccc2cn1,844,199:19900:0:Z3842056725;199:19900:0:Z4601327407;199:19900:1:Z2971865589;
O=c1ccc2c([nH]1)CCCC2,1944,199:19900:0:Z2495739862;199:19900:1:Z2957115740;199:19900:1:Z2955951168;
c1scc2c1OCCO2,308,199:19900:0:Z2495739862;199:19900:0:Z2825155678;199:19900:2:Z2494368821;
O=C1CNCCCN1,2643,199:19900:0:Z1885143798;199:19900:0:Z1030689284;199:19900:1:Z4114448410;
Cc1cc2ccccc2[nH]1,2145,199:19900:0:Z4245522646;199:19900:1:Z2649978525;199:19900:2:Z3509836958;
c1cn2c(n1)CCC2,2046,199:19900:0:Z3842124103;199:19900:0:Z3364594568;199:19900:1:Z3724631042;
CC1COCCN1,5903,199:19900:0:Z1129657013;199:19900:0:Z3370044271;199:19900:0:Z4298623949;
Cn1ccn2nccc2c1=O,297,199:19900:0:Z3907187492;199:19900:0:Z3774563013;199:19901:1:Z3784852622;
C1CSCS1,924,199:19900:0:Z3907187492;199:19900:1:Z1536645476;199:19900:1:Z4998726973;
FC1CCCCCC1,65,199:19900:0:Z3805835189;199:19900:0:Z4214108705;199:19900:1:Z4048755854;
Cc1n[nH]c(C)n1,3186,199:19900:0:Z2383550340;199:19900:0:Z3708191006;199:19900:0:Z4998743979;
c1ccc2c(c1)CCCC2,15211,199:19900:0:Z2383550340;199:19900:0:Z2288553269;199:19900:0:Z2225041341;
CN1CCC2(CCCCC2)CC1,141,199:19900:0:Z4128306170;199:19900:2:Z4311433316;199:19900:2:Z2909252527;
C1CCC2(CC1)CCCOC2,343,199:19900:0:Z3318887614;199:19900:4:Z3624428869;199:19900:7:Z3571812220;
CC1OCCO1,3602,199:19900:0:Z5001545186;199:19900:0:Z1656298713;199:19900:0:Z1632417734;
c1cnc2[nH]ncc2c1,4403,199:19900:0:Z795555214;199:19900:0:Z1990616850;199:19900:0:Z2225530822;
Cc1ccnc(C)c1,2797,199:19900:0:Z3724630565;199:19900:0:Z2100287836;199:19900:0:Z3153243581;
C1CC2CCC(C1)N2,11019,199:19900:0:Z3724630565;199:19900:0:Z4477123711;199:19900:0:Z2837473276;
Fc1ccc2ncccc2c1,1434,199:19900:0:Z4223068579;199:19900:0:Z2594635622;199:19900:0:Z1527270038;
c1nnc2n1CCNC2,7532,199:19900:0:Z5049774029;199:19900:0:Z2474080806;199:19900:0:Z5049930799;
c1nc2cc3c(cc2s1)OCCO3,66,199:19900:0:Z2952148327;199:19900:0:Z1897632888;199:19901:4:Z2767478298;
O=C1CCNCC12CCOCC2,364,199:19900:0:Z3434796544;199:19900:2:Z3679936788;199:19900:2:Z3615302430;
Cc1ccn[nH]1,40234,199:19900:0:Z2910134360;199:19900:0:Z1903034450;199:19900:0:Z1903034406;
Fc1ccc(F)cc1,12761,199:19900:0:Z2910134360;199:19900:0:Z1576622496;199:19900:0:Z998632346;
Clc1ccncn1,1095,199:19900:0:Z2969775142;199:19900:0:Z3561107134;199:19900:1:Z3828306330;
c1ncc2c(n1)CCNC2,4449,199:19900:0:Z2690987191;199:19900:0:Z2839425283;199:19900:0:Z3584526588;
C1CC2CCC1C2,9477,199:19900:0:Z1137090090;199:19900:0:Z3919530007;199:19900:0:Z3795163018;
C1=NOCC1,8504,199:19900:0:Z1786416941;199:19900:0:Z3538456074;199:19900:0:Z3190394813;
c1ncc2c(n1)CCNCC2,458,199:19900:0:Z1786416941;199:19900:3:Z1787213978;199:19900:7:Z2929371800;
O=C1COc2ncccc2N1,534,199:19900:0:Z1576622496;199:19900:2:Z1576125170;199:19900:4:Z4151560689;
c1ccc2c(c1)CCNC2,34555,199:19900:0:Z3833445065;199:19900:0:Z3869405653;199:19900:0:Z3614777275;
C1COC2(C1)CCC2,2970,199:19900:0:Z3833445065;199:19900:0:Z3380347172;199:19900:0:Z4601176722;
Oc1ccncc1,574,199:19900:0:Z649178734;199:19900:1:Z4216664395;199:19900:2:Z4197251127;
c1nc2c(o1)CCSC2,158,199:19900:0:Z4907640185;199:19900:3:Z4907639766;199:19900:4:Z4909087218;
O=C1CC2(CCOCC2)CN1,288,199:19900:0:Z2925154530;199:19900:0:Z2878108057;199:19900:4:Z2861587255;
Cc1ccc2ccccc2n1,2956,199:19900:0:Z1272614940;199:19900:0:Z1478496710;199:19900:0:Z1274839953;
CC1CNCCN1,15674,199:19900:0:Z2294319598;199:19900:0:Z1903034450;199:19900:0:Z1903034406;
