fragment_smiles,occurences,example_ligands
Clc1cccnc1,20978,62:06200:0:Z4013645275;62:06200:0:Z4311846656;62:06200:0:Z1943352039;
CC1COc2ccnn2C1,218,62:06200:0:Z5006995710;62:06201:4:Z5008316469;62:06201:7:Z5006991048;
c1ncn2c1CCCC2,2729,62:06200:0:Z5006995710;62:06200:1:Z3352592954;62:06200:1:Z1545186224;
c1ccc2c(c1)CCCCS2,262,62:06200:0:Z4230940436;62:06200:3:Z4219451168;62:06200:9:Z3385201648;
OC1CCCNC1,9890,62:06200:0:Z3209209881;62:06200:0:Z4205797363;62:06200:0:Z4206101321;
OC1CCCCC1,18711,62:06200:0:Z3842600936;62:06200:0:Z2230647700;62:06200:0:Z2230645608;
Fc1cccc2ncccc12,581,62:06200:0:Z3842600936;62:06200:4:Z3504295710;62:06200:8:Z3050626762;
c1ccc2[nH]cnc2c1,13490,62:06200:0:Z4068644804;62:06200:0:Z4067898091;62:06200:0:Z1176451087;
CC1CNCCO1,15769,62:06200:0:Z4269244079;62:06200:0:Z4575091774;62:06200:0:Z4582099665;
c1ccc2c(c1)CC2,1917,62:06200:0:Z4269244079;62:06200:1:Z4271151598;62:06200:2:Z4003432131;
C1CCC2(CC1)CC2,3976,62:06200:0:Z2784308168;62:06200:0:Z4211128664;62:06200:0:Z3799663541;
Cc1ccccn1,29109,62:06200:0:Z3540447886;62:06200:0:Z3633005335;62:06200:0:Z3806780189;
C1CCSC1,9120,62:06200:0:Z4393756442;62:06200:0:Z2777476268;62:06200:0:Z1401321171;
Cc1cn2c(n1)C(C)NCC2,332,62:06200:0:Z3142551604;62:06200:0:Z2403142565;62:06200:3:Z2779259888;
CC1(C)CCCS1,335,62:06200:0:Z3142551604;62:06200:2:Z4879155469;62:06200:2:Z3585931693;
OC1CC2(CCNC2)C1,411,62:06200:0:Z4082138586;62:06200:4:Z4122463330;62:06200:5:Z4078543080;
