fragment_smiles,occurences,example_ligands
O=S1(=O)CCCc2ccccc21,1647,201:20100:0:Z2044013544;201:20100:0:Z3547152750;201:20100:1:Z3615432784;
CN1CCC(O)C1,992,201:20100:0:Z1995384996;201:20100:0:Z3205582439;201:20100:1:Z4076835751;
FC1CCNCC1,4443,201:20100:0:Z1983817225;201:20100:0:Z3585291161;201:20100:0:Z4178284360;
c1cc2c(cn1)N1CCC(C1)N2,88,201:20100:0:Z3583212976;201:20104:1:Z3583211949;201:20104:1:Z3618329127;
O=c1cccc[nH]1,31672,201:20100:0:Z4475937882;201:20100:0:Z2836293218;201:20100:0:Z3652614726;
Cc1cc(C)[nH]c(=O)n1,585,201:20100:0:Z1461808899;201:20100:3:Z3541450820;201:20100:9:Z1455130056;
c1cc2occc2[nH]1,391,201:20100:0:Z2968148435;201:20100:0:Z4929593625;201:20100:0:Z4929589500;
Cn1c(=O)c2[nH]cnc2n(C)c1=O,976,201:20100:0:Z1366322844;201:20100:1:Z3648927338;201:20100:2:Z1478748295;
C1CC2(C1)CNC2,5345,201:20100:0:Z2279555122;201:20100:0:Z3865889261;201:20100:0:Z4322132269;
c1ccn2cncc2c1,2537,201:20100:0:Z3800478880;201:20100:0:Z917389556;201:20100:1:Z3473273815;
c1ccc2c(c1)NCCO2,5818,201:20100:0:Z2881620426;201:20100:0:Z4055478668;201:20100:0:Z4349974086;
Cc1ccsn1,1277,201:20100:0:Z424432788;201:20100:1:Z5053236994;201:20100:1:Z3602321343;
c1ccc2c(c1)CCCC2,15498,201:20100:0:Z4012621541;201:20100:0:Z1584630894;201:20100:0:Z1894479970;
Cc1cc[nH]n1,32106,201:20100:0:Z3590540890;201:20100:0:Z3778316834;201:20100:0:Z3084498376;
CN1CCCCC1,26916,201:20100:0:Z3590540890;201:20100:0:Z2334910605;201:20100:0:Z3433381046;
O=C1CCC2(CCNC2)N1,346,201:20100:0:Z3590540890;201:20100:4:Z3592283786;201:20100:9:Z3302395134;
FC1(F)C2CNCC21,200,201:20100:0:Z4780881382;201:20100:3:Z3302786661;201:20100:7:Z2476612793;
c1cnccn1,32912,201:20100:0:Z4602848225;201:20100:0:Z1242281139;201:20100:0:Z4268071108;
C1CC2(C1)CCNCC2,3661,201:20100:0:Z3879069887;201:20100:0:Z5058892505;201:20100:0:Z4178575457;
Cc1cncnc1,2066,201:20100:0:Z3554707487;201:20100:0:Z2099005920;201:20100:0:Z1528823367;
CC1(C)CCCC1,1257,201:20100:0:Z3049445993;201:20100:0:Z4254889057;201:20100:2:Z3185447790;
CC1(O)CCNCC1O,283,201:20100:0:Z4962481660;201:20100:2:Z4963551756;201:20100:3:Z4964129985;
CN1CCOCC1,4408,201:20100:0:Z2646011667;201:20100:0:Z4350361990;201:20100:0:Z2484038499;
c1ccc2c(c1)CCCN2,20273,201:20100:0:Z3508771621;201:20100:0:Z2356466045;201:20100:0:Z3520903461;
O=S1(=O)CCc2ccccc21,3334,201:20100:0:Z3508771621;201:20100:0:Z3102310948;201:20100:0:Z4152993439;
OC1CCCCC1,14501,201:20100:0:Z2228597495;201:20100:0:Z3193213601;201:20100:0:Z1716338404;
NC1CCCC1,946,201:20100:0:Z2447563711;201:20100:0:Z3365070529;201:20100:0:Z2443056683;
Cc1cnco1,10462,201:20100:0:Z1161382448;201:20100:0:Z3313063823;201:20100:0:Z4264385299;
O=S1(=O)CCCC1,19336,201:20100:0:Z962750040;201:20100:0:Z2214691331;201:20100:0:Z2863115965;
O=c1[nH]nnc2ccccc12,750,201:20100:0:Z3706848860;201:20100:1:Z2595149868;201:20100:2:Z2312945801;
Fc1cccnc1,26164,201:20100:0:Z4396162555;201:20100:0:Z3725318647;201:20100:0:Z5058404465;
Cc1ncsn1,1139,201:20100:0:Z5037562655;201:20100:0:Z1517721696;201:20100:0:Z4000194544;
C1CNCCNC1,39827,201:20100:0:Z5037562655;201:20100:0:Z1731432752;201:20100:0:Z3628030475;
