fragment_smiles,occurences,example_ligands
CC1CCN(C)CC1,463,143:14300:0:Z3607004298;143:14300:6:Z1630198055;143:14300:6:Z1631161865;
C1CC2CC(CO2)N1,196,143:14300:1:Z3594278689;143:14300:7:Z3659321378;143:14300:9:Z3594280801;
CN1C(=O)CCOc2ccccc21,462,143:14300:1:Z3640834781;143:14300:1:Z3626831359;143:14300:1:Z3570037849;
Cc1cc(C)n2nc(O)cc2n1,162,143:14300:1:Z2232610143;143:14300:2:Z1798054695;143:14300:5:Z2230536413;
OC12CCCC(CCC1)C2,145,143:14300:1:Z3647430743;143:14300:4:Z4076999558;143:14301:3:Z4603136671;
O=C1CCNc2ncccc2N1,104,143:14300:1:Z4570066678;143:14301:0:Z4125683890;143:14302:9:Z4125688858;
CC1CC(F)(F)C1,722,143:14300:1:Z2854183688;143:14300:2:Z2854365575;143:14300:2:Z3726138905;
c1scc2c1OCCO2,413,143:14300:1:Z2493872535;143:14300:2:Z2829322273;143:14300:7:Z4402376446;
OC1CC2(CNC2)n2ccnc21,75,143:14300:1:Z4262989491;143:14300:9:Z4262993065;143:14301:7:Z4262984159;
CC12CCCCC1Nc1ccccc12,35,143:14300:1:Z3784573440;143:14301:6:Z3551094036;143:14304:7:Z3697270102;
CC1(C)CCNCC(C)(C)N1,162,143:14300:1:Z4126047399;143:14302:8:Z3207018079;143:14303:9:Z3207016053;
c1cnn2nnnc2c1,156,143:14300:1:Z1465222227;143:14300:2:Z220424802;143:14300:5:Z3705583924;
C1COCC2(CC2)N1,1301,143:14300:1:Z4422167887;143:14300:1:Z4156429164;143:14300:3:Z4175522391;
c1cc2n(c1)CCOC2,898,143:14300:1:Z4345018506;143:14300:3:Z4140015497;143:14300:6:Z4350150932;
CC1CCCC(C)NC1,110,143:14300:1:Z1282754459;143:14300:1:Z3608682105;143:14302:1:Z4769996385;
Cc1cnc2ccccc2n1,641,143:14300:1:Z3322276005;143:14300:1:Z2112551742;143:14300:3:Z2025654468;
O=C1CCOC2(CCNCC2)C1,400,143:14300:1:Z3390809598;143:14300:7:Z4489838459;143:14300:9:Z3176829646;
Cn1ncc2ccccc2c1=O,960,143:14300:1:Z3437630143;143:14300:1:Z2175361297;143:14300:2:Z3950523563;
Cc1ccc(O)cc1,1013,143:14300:1:Z4289363709;143:14300:3:Z3906591926;143:14300:4:Z1479831719;
c1cnc2ccoc2c1,436,143:14300:1:Z4641258651;143:14300:1:Z4485196891;143:14300:1:Z4445459295;
c1ccc2c(c1)NCCCN2,517,143:14300:1:Z3049194364;143:14300:3:Z4113311079;143:14300:3:Z2165465292;
Cc1nc2ccccc2cc1O,56,143:14300:1:Z4134446019;143:14303:4:Z4136264922;143:14305:4:Z4097619652;
CC1(C)C(=O)Nc2ccccc21,1043,143:14300:1:Z1672660726;143:14300:2:Z4565434578;143:14300:6:Z1452826372;
O=C1Cc2ccc(Cl)cc2N1,482,143:14300:1:Z1743148509;143:14300:3:Z4387696856;143:14300:3:Z1311479947;
c1ncc2c(n1)COCC2,214,143:14300:1:Z3843039013;143:14300:4:Z4172701067;143:14300:8:Z3606305162;
FC1(F)CCC2CCCC2C1,148,143:14300:1:Z4963527063;143:14300:7:Z3836184412;143:14300:9:Z4050707468;
CN1C2CCCC1CNC2,245,143:14300:1:Z4218457314;143:14300:2:Z4279563930;143:14300:2:Z4234320658;
CN1CCCC2(CCNCC2)C1,442,143:14300:1:Z4402470764;143:14300:3:Z4471370646;143:14300:4:Z4395338332;
Cc1nc2n(n1)CCCC2,888,143:14300:1:Z2772365968;143:14300:1:Z1274002333;143:14300:2:Z1363014175;
OC1CNCC(F)C1,415,143:14300:1:Z2646545440;143:14300:1:Z4612516395;143:14300:7:Z3705592468;
Cc1cccc2c1CCN2,493,143:14300:1:Z4065914887;143:14300:1:Z3191455313;143:14300:3:Z4064530138;
c1cc2scnc2cn1,214,143:14300:1:Z4065914887;143:14300:4:Z3366579768;143:14300:8:Z3726140691;
Cc1cc(C)c2cc[nH]c2c1C,135,143:14300:1:Z1344504696;143:14300:1:Z2350519758;143:14301:0:Z1529568900;
Cc1ccc(O)c2c1CCCN2,64,143:14300:1:Z3633732613;143:14300:8:Z5053767440;143:14304:0:Z3633735072;
c1cnc2cccnc2c1,614,143:14300:1:Z2179269105;143:14300:4:Z4124714972;143:14300:4:Z3830271167;
C1CCC2(C1)CCCO2,1559,143:14300:1:Z3041377420;143:14300:3:Z3570474730;143:14300:5:Z2496800111;
Cc1cc(C)cc(O)c1,214,143:14300:1:Z4913235800;143:14300:5:Z4912969420;143:14300:5:Z4913081054;
Fc1ccc2c(c1)CCO2,851,143:14300:1:Z1335588116;143:14300:1:Z2074011104;143:14300:3:Z1700729203;
C1CCC2(CC1)COCCO2,829,143:14300:1:Z3602926066;143:14300:1:Z3602942516;143:14300:3:Z4045741268;
CC1(C)CNCC(C)(C)C1O,271,143:14300:1:Z4575394916;143:14300:1:Z4599940593;143:14300:2:Z4601575735;
O=C1COCC2COCCN12,336,143:14300:1:Z3131861261;143:14300:4:Z2770528974;143:14300:5:Z2770529399;
C1CC2OCCOC2CN1,363,143:14300:1:Z3131861261;143:14300:3:Z3175179741;143:14300:5:Z3061014180;
OC1CC2(CCC2)C1,688,143:14300:1:Z3694029288;143:14300:9:Z4291471069;143:14300:9:Z3841884645;
CN1CCCN(C)CC1,756,143:14300:1:Z4243054253;143:14300:2:Z3384065729;143:14300:3:Z3788705671;
Cc1cc(C)cc(Cl)c1,669,143:14300:1:Z3692955308;143:14300:2:Z2837391768;143:14300:7:Z1510807045;
C1CC2NC1CC1CC12,163,143:14300:1:Z3660693084;143:14300:8:Z3583306179;143:14300:9:Z3584794402;
CC1COC(C)CN1,602,143:14300:1:Z2623370266;143:14300:5:Z4991741872;143:14300:7:Z2644075206;
C1CN2CCC1C2,664,143:14300:1:Z2906691956;143:14300:1:Z2893033386;143:14300:4:Z2891909056;
ClC1=CCCC1,31,143:14300:1:Z1522782622;143:14307:8:Z2332330640;143:14308:5:Z1551499946;
C1CC12CNC2,698,143:14300:1:Z4090339433;143:14300:1:Z4135644488;143:14300:2:Z3907813697;
OC1COC2(CCNCC2)CC1O,249,143:14300:1:Z4457481422;143:14300:8:Z4478371589;143:14301:2:Z4448653126;
CC1CCCc2nccn21,874,143:14300:1:Z4594630467;143:14300:4:Z4139781771;143:14300:4:Z4144112190;
CC1(C)CC(O)C(O)CN1,196,143:14300:1:Z4329915508;143:14301:0:Z4329907224;143:14301:3:Z4315087118;
O=C1C2CCCC1CSC2,296,143:14300:1:Z2909451262;143:14300:1:Z2910620033;143:14300:6:Z4183197510;
C1CC2COCCN2C1,1633,143:14300:1:Z2767818795;143:14300:1:Z1132341637;143:14300:1:Z3340795701;
O=C1CCNCCCCCN1,341,143:14300:1:Z2965249590;143:14300:1:Z2968848649;143:14300:2:Z2967658490;
Cn1cnc2c3c(ccc21)NCCC3,142,143:14300:1:Z4132825791;143:14300:6:Z4132826027;143:14300:7:Z4066234546;
O=C1CCCc2[nH]ccc21,209,143:14300:1:Z3668000115;143:14300:2:Z3668804698;143:14300:3:Z3649270191;
C1CC2(CCS1)CC2,492,143:14300:1:Z2373388308;143:14300:1:Z2641730624;143:14300:2:Z3568472041;
FC1CC2CNC1C2,362,143:14300:1:Z3913606380;143:14300:1:Z4095697316;143:14300:2:Z3834708452;
CN1C(=O)COc2ccccc21,1506,143:14300:1:Z3347206883;143:14300:3:Z1938314722;143:14300:3:Z3982944960;
c1ccc2c(c1)NCCS2,1217,143:14300:1:Z1882208513;143:14300:1:Z1369637797;143:14300:1:Z1022101578;
Clc1ccc2c(c1)NCC2,313,143:14300:1:Z2702694568;143:14300:3:Z2703860571;143:14300:3:Z2703859454;
C1CC2(C1)COC2,470,143:14300:1:Z4147983555;143:14300:2:Z4147980933;143:14300:6:Z4147985804;
CC1CCCC1(C)C,657,143:14300:1:Z4911709902;143:14300:2:Z4351196178;143:14300:2:Z4337461635;
Cc1ccc2c(c1)COCC2,224,143:14300:1:Z5007911787;143:14300:1:Z5006012001;143:14300:6:Z5006808902;
CN1CCCCC12CCNCC2,277,143:14300:1:Z5007911787;143:14300:4:Z4241441585;143:14300:7:Z4275853784;
C1CC2CCCC(C1)C2,568,143:14300:1:Z3788263264;143:14300:2:Z3379043641;143:14300:5:Z3908927089;
FC1CC2CCC1C2,104,143:14300:1:Z4256689543;143:14301:0:Z3508926331;143:14301:5:Z3587781616;
Clc1cccc2c1OCCC2,259,143:14300:1:Z822205346;143:14300:3:Z1452175929;143:14300:6:Z1796754714;
C1CC2(C1)CNC1COCC12,124,143:14300:1:Z3115368734;143:14300:4:Z3316896314;143:14303:6:Z3316898483;
FC1(F)C2CCCOC21,764,143:14300:1:Z2879289482;143:14300:2:Z4436199625;143:14300:2:Z2602099460;
Cc1n[nH]c2c1CNCC2,191,143:14300:1:Z4180763438;143:14300:5:Z4111725593;143:14301:9:Z4112126307;
Clc1cc[nH]c1,895,143:14300:1:Z744035098;143:14300:2:Z2580413827;143:14300:3:Z4869765055;
C1CC2CNC2C1,402,143:14300:1:Z3586339110;143:14300:1:Z3586342140;143:14300:1:Z3181252852;
O=S1(=O)NC=Nc2cccc(F)c21,75,143:14300:1:Z3654214649;143:14300:5:Z3309678321;143:14303:3:Z3312324013;
CC1CCCC(C)C1,732,143:14300:1:Z1334336855;143:14300:2:Z1159007783;143:14300:5:Z1247092632;
Cc1cc(C)n2cncc2n1,76,143:14300:1:Z1637975058;143:14305:1:Z3497454809;143:14305:8:Z1433452931;
Cc1cncc(F)c1,271,143:14300:1:Z4825766540;143:14300:3:Z3806166909;143:14300:8:Z4860053845;
C1CCC2(C1)CNC2,1242,143:14300:1:Z2649826110;143:14300:1:Z2615134656;143:14300:1:Z2926194849;
Cc1ccc2ncn(C)c(=O)c2c1,13,143:14300:1:Z2769143558;143:14300:5:Z1796660358;143:14302:8:Z441400696;
c1ccc2nsnc2c1,1459,143:14300:1:Z5053293017;143:14300:1:Z3529568939;143:14300:1:Z2218818808;
C1CCC2(CC1)CC2,2540,143:14300:1:Z1874462518;143:14300:1:Z3366609203;143:14300:2:Z1875309826;
Cc1ccnnc1C,644,143:14300:1:Z391758684;143:14300:2:Z3838672281;143:14300:3:Z1482417912;
O=C1CCC2(CCNCC2)N1,360,143:14300:1:Z3607208401;143:14300:3:Z3598927383;143:14301:0:Z3440741792;
CC1COC1,2124,143:14300:1:Z3577202564;143:14300:1:Z4236670893;143:14300:1:Z1677085979;
CC1(C)CCc2[nH]c(=O)ccc2C1,293,143:14300:1:Z2457969867;143:14300:2:Z4055392701;143:14300:8:Z2912136786;
CC1CCC(=O)NC1,794,143:14300:1:Z2457969867;143:14300:3:Z4507584000;143:14300:3:Z4614067182;
Cc1cccc2c1ccn2C,151,143:14300:1:Z3641796019;143:14300:2:Z3474266628;143:14301:5:Z4859739425;
C1CNCCSC1,1368,143:14300:1:Z2911417968;143:14300:1:Z2911417606;143:14300:2:Z2964683429;
CC1CNCC2(CCNC2)O1,160,143:14300:1:Z3383593149;143:14300:1:Z3383590379;143:14300:3:Z2842338409;
C1CCC2CCNCC2CC1,77,143:14300:1:Z4773443055;143:14300:6:Z4304886519;143:14303:1:Z3607301112;
Cc1ccc2c(c1C)OCC2,278,143:14300:1:Z1098474966;143:14301:5:Z1100115986;143:14302:1:Z1367926379;
Cc1ccc(C)s1,2692,143:14300:1:Z1998074587;143:14300:1:Z3892912844;143:14300:2:Z846982300;
CC1CN(C)C(=O)CN1,370,143:14300:1:Z3153407206;143:14300:5:Z3372933526;143:14300:7:Z1778916203;
O=C1NCC2CNCCN12,725,143:14300:1:Z3875812467;143:14300:1:Z2879337113;143:14300:1:Z1905625156;
Cc1ccc2c(c1)CCS2(=O)=O,215,143:14300:1:Z3351446183;143:14300:3:Z3702264099;143:14300:4:Z3611576101;
CC1CC2CCC1C2,640,143:14300:1:Z4314830028;143:14300:4:Z4023604211;143:14300:5:Z4314358824;
Cn1cnc2ncncc21,122,143:14300:1:Z3829082986;143:14301:5:Z4338918067;143:14302:4:Z3829937003;
Cn1ncc2c1CC(C)(C)CNC2,356,143:14300:1:Z3870288600;143:14300:4:Z3359482506;143:14300:7:Z2851558926;
c1cc2c(s1)CCSC2,632,143:14300:1:Z1426090806;143:14300:2:Z2189645555;143:14300:4:Z1522981820;
C1CC2(CCO1)CCO2,716,143:14300:1:Z4216072119;143:14300:3:Z4265951210;143:14300:3:Z4236524728;
CC1(C)CCNCCS1=O,290,143:14300:1:Z2297937858;143:14301:9:Z4266426215;143:14302:2:Z2297938913;
Cc1cc(=O)[nH]c2ccccc12,503,143:14300:1:Z5053803664;143:14301:1:Z5050352143;143:14301:3:Z2613853105;
C1CC2CNCC2CN1,1005,143:14300:1:Z3555699591;143:14300:2:Z3313935885;143:14300:3:Z3555688028;
Cn1ncc2c1CCC(C)(C)C2,254,143:14300:1:Z5034292495;143:14300:1:Z5033350511;143:14300:6:Z5034901918;
Cc1cc(N)[nH]n1,508,143:14300:1:Z4105719595;143:14300:3:Z2967004557;143:14300:3:Z4212495738;
C1CC2(CC2)CO1,1539,143:14300:1:Z3782926229;143:14300:2:Z3873546853;143:14300:2:Z3610160280;
CC1(C)CC(=O)c2cccnc2C1,47,143:14300:1:Z3647823322;143:14300:7:Z3648598654;143:14302:1:Z3870387891;
Cc1cc(O)ncn1,229,143:14300:1:Z1415882301;143:14300:6:Z1448258579;143:14301:0:Z1929918069;
c1ccc2c(c1)COC21CCCCC1,163,143:14300:1:Z4169828163;143:14300:1:Z4170368361;143:14300:3:Z4341776619;
c1ncn2c1NCCC2,76,143:14300:1:Z4365347950;143:14300:9:Z4365345462;143:14301:2:Z4365349790;
Cc1cnc(O)s1,68,143:14300:1:Z2774963100;143:14304:8:Z2763782206;143:14305:9:Z2775697576;
C1CSC2(CCOCC2)CN1,436,143:14300:1:Z1718446529;143:14300:3:Z1716997312;143:14300:8:Z1718466302;
Cc1cccc(C)c1Cl,202,143:14300:1:Z1438702217;143:14300:8:Z1998555254;143:14301:6:Z1996016252;
O=C1NCCCc2occc21,524,143:14300:1:Z2907958119;143:14300:3:Z3519819378;143:14300:7:Z4263738236;
Clc1cccc2[nH]ccc12,419,143:14300:1:Z1669699358;143:14300:3:Z2213619660;143:14300:5:Z1072695626;
c1ccc2c3c(oc2c1)CCNC3,85,143:14300:1:Z3437863594;143:14300:1:Z3637173795;143:14300:6:Z3637171865;
FC1CC2CCC(C1)N2,191,143:14300:1:Z4466141775;143:14300:9:Z4466140112;143:14301:0:Z4407307170;
Cc1n[nH]c2ncncc12,67,143:14300:1:Z3555901542;143:14301:8:Z3558533431;143:14303:8:Z3557931502;
NC12CCCC(CC1)C2,125,143:14300:1:Z4923528199;143:14300:3:Z4923539191;143:14300:3:Z4923519611;
CC1CC2NCCC2O1,386,143:14300:1:Z3516534297;143:14300:3:Z3517964771;143:14300:3:Z3888406201;
Cc1cccc2c1CCOC2,213,143:14300:1:Z5006853740;143:14301:3:Z5007876891;143:14301:3:Z5007742060;
Cc1cc(=O)cc(C)[nH]1,392,143:14300:1:Z2196660936;143:14300:3:Z4353004942;143:14300:3:Z3712121474;
Fc1ccc2ccoc2c1,582,143:14300:1:Z4491703097;143:14300:1:Z2046451748;143:14300:4:Z4083016813;
O=C1CCC2(CC1)NCCNC2=O,130,143:14300:1:Z4238590710;143:14301:0:Z4238625425;143:14301:1:Z4278188250;
FC1Cc2ccccc2C1,270,143:14300:1:Z2478312974;143:14300:1:Z2475457119;143:14300:5:Z2478279875;
C1CCC2(CC1)CCCNCC2,106,143:14300:1:Z1818323839;143:14301:0:Z4916119441;143:14301:2:Z1817973049;
FC1(F)CCC2(CCNC2)CC1,196,143:14300:1:Z3255694645;143:14301:5:Z4178213711;143:14301:7:Z3439230311;
C1CCC2CCC2C1,498,143:14300:1:Z2870918965;143:14300:2:Z3618235570;143:14300:4:Z3828416242;
O=c1cncc[nH]1,713,143:14300:1:Z1672548551;143:14300:3:Z2868877915;143:14300:3:Z1583362180;
c1ccc2c(c1)COCO2,516,143:14300:1:Z1824294663;143:14300:2:Z5052129838;143:14300:4:Z4352502282;
O=c1cc[nH]c2cc(F)c(F)cc12,122,143:14300:1:Z3648264653;143:14300:2:Z3140317854;143:14300:5:Z4421574096;
c1cc2n(n1)CCCNC2,1275,143:14300:1:Z4272956542;143:14300:3:Z3614884193;143:14300:3:Z3506199148;
c1ccc2c(c1)CCCS2,723,143:14300:1:Z1264317165;143:14300:1:Z1803995911;143:14300:5:Z977591128;
O=C1CCC12CCC2,450,143:14300:1:Z4110887767;143:14300:6:Z4473529481;143:14300:6:Z4311444407;
c1nc2c([nH]1)COCC2,117,143:14300:1:Z3528646214;143:14300:9:Z3642686633;143:14301:4:Z3363913861;
Nc1cccnc1,1345,143:14300:1:Z2852402929;143:14300:1:Z4146574386;143:14300:5:Z4147752174;
Cc1cn2nccc(C)c2n1,501,143:14300:1:Z4018038104;143:14300:2:Z3844623240;143:14300:4:Z4019133853;
Cn1ccc2c(c1=O)CCCC2,390,143:14300:1:Z3610532327;143:14300:2:Z1904017854;143:14301:1:Z2882602597;
Cc1cccc(O)n1,516,143:14300:1:Z1609533166;143:14300:4:Z3136438286;143:14300:5:Z1897932537;
Nc1cnc[nH]1,161,143:14300:1:Z4265243488;143:14300:2:Z2143067001;143:14300:2:Z2312037046;
CC1(C)CNc2ccccc2O1,227,143:14300:1:Z4328873039;143:14300:6:Z3844428922;143:14300:8:Z4112431940;
CC1NC(C)C(C)NC1=O,131,143:14300:1:Z2917541954;143:14300:2:Z2838165432;143:14300:8:Z2913119857;
c1ncn2c1COCC2,156,143:14300:1:Z4078846458;143:14300:2:Z4448942311;143:14303:5:Z2975393047;
c1ccn2cccc2c1,506,143:14300:1:Z4261709752;143:14300:5:Z4270624262;143:14300:6:Z1203114174;
Clc1cncs1,677,143:14300:1:Z2794130497;143:14300:1:Z4304249764;143:14300:4:Z1959974395;
C1CCC2(CC1)CNC2,704,143:14300:1:Z2911167680;143:14300:3:Z3507226119;143:14300:7:Z3196900056;
Cn1ccc(O)n1,198,143:14300:1:Z4140912741;143:14300:6:Z3579502096;143:14301:0:Z3846335408;
O=C1NCNC12CCNCC2,178,143:14300:1:Z4225679487;143:14300:6:Z4272190578;143:14301:0:Z4225681177;
Fc1cc2[nH]cnc2cc1Cl,134,143:14300:1:Z4413230350;143:14300:8:Z4421537681;143:14301:1:Z4421538097;
OC1CC2(CC2)C1,284,143:14300:1:Z3784636549;143:14300:1:Z3709685021;143:14300:7:Z2964989019;
Cc1nn2cnnc2nc1O,23,143:14300:1:Z1209500116;143:14300:8:Z2442248143;143:14303:0:Z3513054860;
O=S1(=O)CC2CCCC2C1,785,143:14300:1:Z3839125463;143:14300:1:Z3841179815;143:14300:3:Z4023252408;
Cc1n[nH]c2ccccc12,451,143:14300:1:Z2630460961;143:14300:2:Z1569924937;143:14300:2:Z1571963149;
Cc1cccc2c1CCCO2,268,143:14300:1:Z4447805140;143:14300:5:Z2717707443;143:14300:9:Z2710550389;
c1cc2c(cn1)OCO2,345,143:14300:1:Z1697472222;143:14300:8:Z2719764468;143:14301:0:Z1696478957;
C1CC2OC1C1CNCC21,326,143:14300:1:Z4476341107;143:14300:1:Z4466059455;143:14300:7:Z3174915853;
Cn1ncc2ccccc21,3819,143:14300:1:Z4503495258;143:14300:1:Z3625194256;143:14300:2:Z4503889774;
c1cc2sccn2c1,51,143:14300:1:Z3555517224;143:14303:5:Z3581996157;143:14304:6:Z3475534782;
CC1CNCCC1N,135,143:14300:1:Z2440353566;143:14300:3:Z2440353494;143:14300:9:Z4053334724;
CC1CCC(C)(C)N1,124,143:14300:1:Z2876164523;143:14301:4:Z2326080891;143:14302:1:Z2922318449;
CN1CCCCCC1,439,143:14300:1:Z4110757975;143:14300:2:Z4964296132;143:14300:4:Z2952836377;
Cc1ccc(C)nn1,751,143:14300:1:Z1660161776;143:14300:3:Z4077332315;143:14300:5:Z1975284005;
Cc1n[nH]c(=O)o1,205,143:14300:1:Z2917376997;143:14300:3:Z2917170383;143:14300:8:Z2835817983;
c1ccc2c(c1)NCC21CCCC1,90,143:14300:1:Z2917376997;143:14300:5:Z1364121140;143:14301:1:Z3706869535;
O=S1(=O)CC2CCN1CC2,74,143:14300:1:Z3644135959;143:14300:2:Z3668141383;143:14300:3:Z3644137595;
c1ccc2c(c1)CCC1(CCOCC1)O2,170,143:14300:1:Z2853583972;143:14300:2:Z3363117867;143:14300:2:Z2852209149;
Cc1n[nH]cc1Cl,244,143:14300:1:Z3652761130;143:14300:5:Z1933255696;143:14301:1:Z3351758453;
Fc1cccc2scc(Cl)c12,31,143:14300:1:Z2837074344;143:14302:4:Z2876861562;143:14302:6:Z3140263848;
Cc1nn(C)cc1Cl,426,143:14300:1:Z3175885946;143:14300:2:Z2873588541;143:14300:3:Z4390267002;
O=c1[nH]ccc2occc12,124,143:14300:1:Z2442490048;143:14302:9:Z2824991189;143:14303:2:Z2769378953;
Oc1ccc2c(c1)OCCNC2,300,143:14300:1:Z2094467460;143:14300:6:Z4128151498;143:14300:6:Z2110138157;
C1CC2CSCC2CN1,214,143:14300:1:Z2802880124;143:14300:3:Z2839561850;143:14300:8:Z3154062882;
Cn1ccc2cncnc21,492,143:14300:1:Z3093464099;143:14300:1:Z3391437990;143:14300:2:Z4089813619;
CC1=CCCC(C)(C)C1,78,143:14300:1:Z3584463183;143:14301:0:Z2288031439;143:14302:6:Z2270532023;
Cn1cnc2c1CCC1NCCCC21,140,143:14300:1:Z3584463183;143:14300:2:Z3584468989;143:14300:4:Z4269164293;
O=S1(=O)CCNC2CCCN21,162,143:14300:1:Z3590666946;143:14303:2:Z3590189474;143:14303:9:Z3591657561;
Cc1cn2c(n1)CCCC2,2093,143:14300:1:Z3133099189;143:14300:2:Z1600444286;143:14300:2:Z4074769985;
C1CCN2CCSCC2C1,278,143:14300:1:Z3133099189;143:14300:8:Z2926144125;143:14301:2:Z2931705970;
Cc1cccc(O)c1,1200,143:14300:1:Z2722706990;143:14300:3:Z3705783066;143:14300:4:Z1323067763;
FC1(F)C2CCCC1CNC2,94,143:14300:1:Z4635290635;143:14300:8:Z4635297811;143:14303:1:Z4623161214;
c1ccc2c(c1)NCC21CCC1,140,143:14300:1:Z1887216874;143:14300:3:Z4114802193;143:14301:6:Z1841458538;
O=S1(=O)NCCN1,638,143:14300:1:Z3314882939;143:14300:5:Z4018070629;143:14300:6:Z2614236967;
C1=NCCN1,280,143:14300:1:Z4263034165;143:14300:1:Z4211663919;143:14300:3:Z2883453338;
Cc1nnc2cnccn12,228,143:14300:1:Z1927854556;143:14300:6:Z3079465660;143:14302:2:Z2774049875;
C1OC2CC1C2,3381,143:14300:1:Z3646805621;143:14300:2:Z4276512595;143:14300:2:Z4278810115;
CC1NCCC1O,430,143:14300:1:Z2960209219;143:14300:1:Z3613008868;143:14300:1:Z2960182653;
O=S1(=O)CCc2ncsc2C1,213,143:14300:1:Z3842162318;143:14302:5:Z2851256034;143:14303:0:Z3595931070;
Cc1cnoc1C,147,143:14300:1:Z3842043549;143:14301:5:Z2295304226;143:14301:5:Z2295301764;
C1CNC2(C1)CC2,1039,143:14300:1:Z3842043549;143:14300:1:Z4060220736;143:14300:2:Z3775489248;
C1CCC2(C1)CCOCC2,1931,143:14300:1:Z4303740602;143:14300:1:Z3047630370;143:14300:1:Z2277591634;
CC1COc2cc(Cl)ccc2N1,28,143:14300:1:Z4128067509;143:14301:1:Z4666926154;143:14317:7:Z4128062353;
O=c1[nH]cnc2cc(Cl)ccc12,448,143:14300:1:Z2967540558;143:14300:3:Z4416372985;143:14300:5:Z1562459223;
O=C1CC2CCCC2CN1,82,143:14300:1:Z3639677421;143:14300:5:Z3781597342;143:14301:1:Z3639753416;
Cc1cccc2cccnc12,780,143:14300:1:Z741902594;143:14300:6:Z4127871135;143:14300:6:Z300574868;
OC1CC2(CCNCC2)C1,512,143:14300:1:Z5059001650;143:14300:3:Z4142462228;143:14300:4:Z4142443549;
Nc1cn[nH]c1,1279,143:14300:1:Z4325610929;143:14300:1:Z3519733186;143:14300:1:Z4062693292;
CC1CNCC2(CCC2)O1,302,143:14300:1:Z4132281421;143:14300:3:Z2433361596;143:14300:8:Z3574278467;
O=S1(=O)CCCNc2ccccc21,142,143:14300:1:Z4132281421;143:14300:4:Z4132281262;143:14301:1:Z4132280942;
Nc1csc2cccnc12,54,143:14300:1:Z4291134436;143:14300:5:Z4639775422;143:14301:8:Z4295974618;
Clc1ccc2c(c1)OCO2,535,143:14300:1:Z3645791869;143:14300:3:Z4651597291;143:14300:8:Z1425806811;
Cc1ccc(Cl)cn1,228,143:14300:1:Z4417663047;143:14301:9:Z4138205680;143:14302:8:Z4081939719;
CC1CCC(O)CC1,1199,143:14300:1:Z1997581474;143:14300:2:Z4245714528;143:14300:5:Z1997992062;
O=c1[nH]cnc2sc3c(c12)CCC3,311,143:14300:1:Z3799462489;143:14300:1:Z1354847547;143:14300:4:Z1838236940;
FC1(F)CCOCC1,1420,143:14300:1:Z3799462489;143:14300:1:Z4270243669;143:14300:1:Z3876375838;
Cc1cc2ccccc2n(C)c1=O,425,143:14300:1:Z4370046851;143:14300:3:Z2205291809;143:14300:4:Z2960934568;
O=C1CCCCn2nccc21,326,143:14300:1:Z2960058981;143:14300:2:Z2956579956;143:14300:9:Z2960334986;
CC1CNc2ccccc2O1,492,143:14300:1:Z3091059629;143:14300:2:Z1883953502;143:14300:3:Z1265492887;
c1cnc2nn[nH]c2c1,187,143:14300:1:Z2722934041;143:14300:1:Z2357812797;143:14301:3:Z2296873707;
O=C1CC2(CCC2)CN1,536,143:14300:1:Z3179703233;143:14300:6:Z3138381146;143:14300:7:Z3058862685;
C1CC2(C1)CNCCOC2,316,143:14300:1:Z1678398609;143:14300:3:Z1675401290;143:14300:4:Z2709748140;
C1CC2NCCOC2C1,536,143:14300:1:Z4005278468;143:14300:2:Z4005311475;143:14300:7:Z4208494243;
N=S1(=O)CCNc2ccccc21,76,143:14300:1:Z3618154791;143:14302:6:Z3368765129;143:14302:6:Z3368765338;
O=C1CC2(CCCCC2)CN1,954,143:14300:1:Z4154081601;143:14300:2:Z4073859254;143:14300:3:Z3629279339;
Cn1cc2ccccc2n1,1740,143:14300:1:Z1724654176;143:14300:3:Z4508394284;143:14300:3:Z3474102081;
c1ccc2c(c1)NCC21CC1,141,143:14300:1:Z4112610663;143:14300:3:Z1618114893;143:14301:9:Z2187358188;
Cc1nccc2nncn12,64,143:14300:1:Z2347643607;143:14303:6:Z2347076634;143:14306:3:Z3560923610;
CC1OCCC1O,400,143:14300:1:Z2363975027;143:14300:3:Z2218536842;143:14300:7:Z1930417046;
Cc1cccc2[nH]ncc12,551,143:14300:1:Z1639596226;143:14300:2:Z1557592493;143:14300:2:Z2108810198;
Cc1cccc2c(=O)[nH]cnc12,686,143:14300:1:Z1102874297;143:14300:2:Z421627874;143:14300:5:Z2440366398;
Fc1ccc2c(c1)OCO2,356,143:14300:1:Z2843850760;143:14300:5:Z3008680090;143:14300:6:Z4608656630;
Cc1ccn2cnnc2c1,420,143:14300:1:Z4293471357;143:14300:3:Z4288184333;143:14300:3:Z2972266828;
c1cc2n(c1)CCCC2,1137,143:14300:1:Z2633175064;143:14300:1:Z2762767834;143:14300:2:Z2443082275;
Cc1cccc(C)n1,2733,143:14300:1:Z3808434655;143:14300:2:Z4268360335;143:14300:2:Z4088279896;
O=S1(=O)Cc2ccoc2C1,218,143:14300:1:Z3363841934;143:14300:1:Z3363843961;143:14300:6:Z3361968753;
C1CNC2CCNC2C1,214,143:14300:1:Z4029397679;143:14300:7:Z4312479590;143:14301:2:Z4312480982;
