fragment_smiles,occurences,example_ligands
Oc1cccnc1,2666,56:05600:0:Z4326489956;56:05600:0:Z4289514259;56:05600:1:Z1178039264;
CN1CCOc2ccccc21,1300,56:05600:0:Z5048898213;56:05600:0:Z3625016763;56:05600:0:Z4505546390;
O=S1CC2CNC(C2)C1,314,56:05600:0:Z5048898213;56:05600:4:Z5060418323;56:05600:7:Z5048933985;
FC1(F)CCCCC1,10369,56:05600:0:Z3838427313;56:05600:0:Z4256972318;56:05600:0:Z2010173514;
C1COCO1,9167,56:05600:0:Z3838427313;56:05600:0:Z3364253594;56:05600:0:Z2952854454;
Fc1ccc2c(c1)OCCC2,814,56:05600:0:Z2714337856;56:05600:1:Z2645790169;56:05600:2:Z2707161209;
C1CC2CNCC2C1,6027,56:05600:0:Z3358767693;56:05600:0:Z3620759516;56:05600:0:Z2720429705;
Clc1ccccc1,176653,56:05600:0:Z4240295994;56:05600:0:Z4312515873;56:05600:0:Z2483457962;
Cc1ccccc1F,12478,56:05600:0:Z5039902550;56:05600:0:Z2838196726;56:05600:0:Z3621104122;
c1ccn2nccc2c1,4931,56:05600:0:Z4209382443;56:05600:0:Z2966539885;56:05600:1:Z3475064444;
O=C1CCCC1,2794,56:05600:0:Z4484107238;56:05600:0:Z5001473717;56:05600:0:Z4123121228;
NC1CCCNC1,2003,56:05600:0:Z4194034383;56:05600:0:Z4081630429;56:05600:0:Z2394198406;
Cc1cncs1,11394,56:05600:0:Z4021115028;56:05600:0:Z5007702216;56:05600:0:Z4063159785;
CC1NCCN(C)C1=O,470,56:05600:0:Z1748678094;56:05600:1:Z4297700076;56:05600:4:Z1748679955;
Cn1ncc2c1CCCNC2,392,56:05600:0:Z3553234961;56:05600:0:Z2330488492;56:05601:1:Z2334879708;
C1CCC2(CCC2)OC1,3825,56:05600:0:Z3553234961;56:05600:0:Z1952514983;56:05600:0:Z3434804881;
NC1c2ccccc2CC12CCNCC2,41,56:05600:0:Z4910664695;56:05603:4:Z4907791845;56:05603:7:Z4910657870;
c1nnco1,25735,56:05600:0:Z2086830635;56:05600:0:Z1260073726;56:05600:0:Z2622142479;
c1cn2c(n1)CCCC2,9359,56:05600:0:Z2086830635;56:05600:0:Z3627014228;56:05600:0:Z3509753320;
Cc1cccc(=O)[nH]1,854,56:05600:0:Z2210119775;56:05600:0:Z4314542627;56:05600:2:Z3553546869;
C1CC2(C1)CCNC2,5959,56:05600:0:Z2071202630;56:05600:0:Z4887992391;56:05600:0:Z3610569116;
O=c1[nH][nH]c(=O)c2ccccc12,178,56:05600:0:Z1784780737;56:05600:0:Z1529861952;56:05600:4:Z2349873811;
Cn1ncc2ccccc2c1=O,447,56:05600:0:Z1323798597;56:05600:3:Z3362522502;56:05600:7:Z1529417731;
C1CSCCS1,1104,56:05600:0:Z2691217237;56:05600:0:Z1552986661;56:05600:0:Z2785271322;
C1CC2CNCC2CCN1,447,56:05600:0:Z2441383366;56:05600:2:Z4062492981;56:05601:6:Z3621048201;
Fc1ccccc1Cl,16179,56:05600:0:Z3202252397;56:05600:0:Z3619684531;56:05600:0:Z2819932980;
Cc1ccc(C)s1,3593,56:05600:0:Z1260073726;56:05600:0:Z1695768126;56:05600:0:Z2963610861;
Cc1cc(C)c(C)o1,330,56:05600:0:Z1564099718;56:05600:7:Z3875742391;56:05601:3:Z3179747852;
O=S1(=O)Cc2ccccc2C1,375,56:05600:0:Z3294861415;56:05600:3:Z2841833099;56:05600:7:Z2480663168;
N=S1(=O)CCCCC1,607,56:05600:0:Z3294861415;56:05600:4:Z4156811305;56:05600:6:Z4505913344;
c1ccc2ccccc2c1,10614,56:05600:0:Z2606363735;56:05600:0:Z2905303734;56:05600:0:Z2606363723;
C1CC2CC(C2)O1,1634,56:05600:0:Z4312515873;56:05600:0:Z4077766858;56:05600:0:Z4097259022;
c1ccc2c(c1)CNC1(CC1)C2,73,56:05600:0:Z4350930321;56:05601:7:Z3715748153;56:05603:0:Z3715744732;
Clc1cccc(Cl)c1,17428,56:05600:0:Z1948428469;56:05600:0:Z1951838999;56:05600:0:Z51977299;
c1cn2nccc2cn1,1270,56:05600:0:Z1948428469;56:05600:0:Z2969653922;56:05600:0:Z3919035500;
C1CC2CNCC1C2,1904,56:05600:0:Z3831032549;56:05600:0:Z2615010356;56:05600:0:Z2647914725;
CC1CCNC(C)C1,851,56:05600:0:Z2394478822;56:05600:2:Z3181483756;56:05600:2:Z2369562218;
Cc1ccc(F)c2occc12,172,56:05600:0:Z2961242129;56:05600:1:Z3057126196;56:05600:6:Z2961433628;
OC1CCNC1,24007,56:05600:0:Z2961242129;56:05600:0:Z4026532061;56:05600:0:Z4309572253;
Cc1cccn2ccnc12,2103,56:05600:0:Z2438469365;56:05600:1:Z2771100243;56:05600:1:Z3345716723;
C1CCCNCC1,23471,56:05600:0:Z2438469365;56:05600:0:Z3808381678;56:05600:0:Z2656372272;
c1cc2c(cn1)NCCC2,467,56:05600:0:Z4377770050;56:05600:3:Z4228704384;56:05600:8:Z4228721470;
O=c1cccn[nH]1,4708,56:05600:0:Z4377770050;56:05600:0:Z3293403144;56:05600:0:Z1467131068;
c1ncc2nc[nH]c2n1,5376,56:05600:0:Z4773264726;56:05600:0:Z4773264766;56:05600:0:Z1642524173;
CC12CNC(CO1)C2,333,56:05600:0:Z4773264726;56:05600:0:Z4773264766;56:05600:6:Z3139675753;
Cc1ccn[nH]1,30320,56:05600:0:Z1239643204;56:05600:0:Z2709795386;56:05600:0:Z4257715668;
CC1CSCCN1,631,56:05600:0:Z1239643204;56:05600:1:Z3181174834;56:05600:1:Z3098004684;
Cc1ncc2ccccn12,853,56:05600:0:Z4289693685;56:05600:0:Z2045413759;56:05600:2:Z3614687903;
CN1CCC1,1455,56:05600:0:Z4879266572;56:05600:0:Z4215934832;56:05600:0:Z3371246929;
CC1(C)CCC(=O)N1,1243,56:05600:0:Z4879266572;56:05600:0:Z4880280182;56:05600:2:Z3610929623;
FC1(F)CCCC1,5507,56:05600:0:Z1960296404;56:05600:0:Z4210845016;56:05600:0:Z4392266540;
Cn1ncc2cncnc21,519,56:05600:0:Z1328616249;56:05600:4:Z4391050904;56:05600:5:Z3203223375;
CN1CC2CC(C1)N2,82,56:05600:0:Z4221148219;56:05600:9:Z4221142872;56:05602:5:Z4221132213;
Cc1ccnnc1,1641,56:05600:0:Z2975501529;56:05600:2:Z4155642736;56:05600:4:Z4459053022;
CN1CCCC1=O,9280,56:05600:0:Z2975501529;56:05600:0:Z1291592321;56:05600:0:Z2875955449;
CN1C(=O)c2cccc3cccc1c23,16,56:05600:0:Z57618420;56:05602:6:Z2278643519;56:05602:6:Z2278618866;
c1ccc2occc2c1,12592,56:05600:0:Z2276620719;56:05600:0:Z4206111670;56:05600:0:Z1639907083;
Nc1ncncn1,1501,56:05600:0:Z2477852808;56:05600:0:Z2792421151;56:05600:0:Z4025809494;
Clc1cccs1,10799,56:05600:0:Z1780286915;56:05600:0:Z3725158648;56:05600:0:Z3095157191;
Cc1cc(C)c2c(C)csc2n1,143,56:05600:0:Z1030693202;56:05601:1:Z4577585864;56:05601:1:Z1584596602;
O=C1CNCCCN1,2846,56:05600:0:Z1030693202;56:05600:1:Z3353226248;56:05600:1:Z1030697690;
Cc1cccc(F)c1,11428,56:05600:0:Z3105312287;56:05600:0:Z4231699614;56:05600:0:Z1466380345;
C1CCC2CNCCC2C1,1635,56:05600:0:Z3293403144;56:05600:0:Z3497822202;56:05600:1:Z4451864804;
Cc1cc(=O)[nH]cn1,2249,56:05600:0:Z1619132989;56:05600:0:Z3867928693;56:05600:1:Z4268301653;
Cn1cnc2ccccc21,4910,56:05600:0:Z3367011294;56:05600:0:Z3866009150;56:05600:0:Z4140303408;
C1CCC2OCCC2C1,2241,56:05600:0:Z3367011294;56:05600:0:Z4572866139;56:05600:1:Z3590143998;
CC1CNCC(O)C1,743,56:05600:0:Z4412475002;56:05600:0:Z4412473431;56:05600:0:Z4098138305;
Cc1cc(C)n2ncnc2n1,880,56:05600:0:Z1961192448;56:05600:3:Z1501121929;56:05600:3:Z2846225290;
FC1CCC1,11132,56:05600:0:Z1961192448;56:05600:0:Z2881210691;56:05600:0:Z4060917136;
