fragment_smiles,occurences,example_ligands
CC1CCC1,54207,76:07600:0:PV-002416601098;76:07600:0:PV-003397967628;76:07600:0:PV-003397968312;
c1ccc2c(c1)CC2,2377,76:07600:0:PV-002845967438;76:07600:0:PV-002845967439;76:07600:0:PV-003397971771;
Cc1cnsc1,7168,76:07600:0:PV-003397966955;76:07600:0:PV-003397966956;76:07600:0:PV-003397966957;
Cc1ncco1,17150,76:07600:0:PV-003397966967;76:07600:0:PV-001630027350;76:07600:0:PV-001621325764;
Oc1ncccc1F,800,76:07600:0:PV-003397967009;76:07600:0:PV-003397967010;76:07600:0:PV-003397967011;
C1CCCNCCC1,7141,76:07600:0:PV-003397967037;76:07600:0:PV-005198247333;76:07600:0:PV-003397974083;
C1=NOCC1,4846,76:07600:0:PV-003397967088;76:07600:0:PV-003397967089;76:07600:0:PV-003397967090;
c1cncnc1,52345,76:07600:0:PV-002845967476;76:07600:0:PV-002845967545;76:07600:0:PV-002845967929;
Cc1ncn[nH]1,5500,76:07600:0:PV-002845967478;76:07600:0:PV-002845968934;76:07600:0:PV-003397977671;
CC1=CCCO1,7269,76:07600:0:PV-002845967479;76:07600:0:PV-005198282442;76:07600:0:PV-005198282443;
Cc1cccc2nccn12,496,76:07600:0:PV-002416601110;76:07600:1:PV-002845979317;76:07600:1:PV-002313101498;
Cc1cnn(C)c1,7333,76:07600:0:PV-003397967151;76:07600:0:PV-003397967835;76:07600:0:PV-005198365295;
FC1CCNC1,54267,76:07600:0:PV-003397967151;76:07600:0:PV-003397967698;76:07600:0:PV-003397968414;
C1CNCC2(C1)CCCN2,827,76:07600:0:PV-003397967246;76:07600:6:PV-003398190206;76:07600:7:PV-003398202562;
Cc1ccn(C)n1,9519,76:07600:0:PV-003397967246;76:07600:0:PV-002845969314;76:07600:0:PV-005198250012;
Cn1ccc(Cl)n1,3189,76:07600:0:PV-003397967276;76:07600:0:PV-003397967277;76:07600:0:PV-003397977001;
CC1(F)CCC1,9068,76:07600:0:PV-003397967283;76:07600:0:PV-005198353633;76:07600:0:PV-003397977037;
C1CC2(C1)CCOCC2,1498,76:07600:0:PV-003397967291;76:07600:2:PV-003398056015;76:07600:2:PV-003398056016;
C1CC2CC2CN1,8354,76:07600:0:PV-003397967299;76:07600:0:PV-005198236566;76:07600:0:PV-005198302157;
c1cn2c(n1)CCC2,4056,76:07600:0:PV-001587092306;76:07600:0:PV-005198322905;76:07600:0:PV-005198360847;
Oc1ccncn1,3453,76:07600:0:PV-003397967350;76:07600:0:PV-003397968338;76:07600:0:PV-002845968576;
Fc1ccsc1,15506,76:07600:0:PV-003397967350;76:07600:0:PV-005198270808;76:07600:0:PV-005198346387;
c1ccn2nncc2c1,1878,76:07600:0:PV-003397967362;76:07600:0:PV-003397970972;76:07600:1:PV-005198408398;
O=S1(=O)CCNCCCCN1,67,76:07600:0:PV-003397967367;76:07602:9:PV-005201226778;76:07604:6:PV-003399535644;
O=C1CCCC1,3776,76:07600:0:PV-002845967577;76:07600:0:PV-005198246048;76:07600:0:PV-005198270055;
C1COC2(C1)CCNCC2,816,76:07600:0:PV-003397967376;76:07600:6:PV-005198988411;76:07600:6:PV-003398192049;
Cc1ccco1,29851,76:07600:0:PV-003397967390;76:07600:0:PV-002845968038;76:07600:0:PV-002209597461;
CC1CC2CC2C1,1879,76:07600:0:PV-003397967390;76:07600:2:PV-003398046919;76:07600:2:PV-002209602163;
O=c1cccco1,5522,76:07600:0:PV-002845967587;76:07600:0:PV-002845974797;76:07600:0:PV-002845974798;
CC1CCCC(C)(C)C1,1061,76:07600:0:PV-003397967415;76:07600:0:PV-003397991873;76:07600:3:PV-002846014107;
CS(C)(=N)=O,5958,76:07600:0:PV-002364852463;76:07600:0:PV-002571845761;76:07600:0:PV-003397975844;
c1ccc2scnc2c1,4955,76:07600:0:PV-002364852463;76:07600:0:PV-003397985560;76:07600:0:PV-002845975082;
Clc1ccc(Cl)cc1,3522,76:07600:0:PV-002845967615;76:07600:0:PV-004004825056;76:07600:0:PV-002845974864;
Cc1cc(Cl)on1,817,76:07600:0:PV-003397967477;76:07600:2:PV-002845996934;76:07600:2:PV-001639655742;
O=S1(=O)CCC1,13530,76:07600:0:PV-003397967479;76:07600:0:PV-000595194694;76:07600:0:PV-002845968338;
Cc1cccnn1,9780,76:07600:0:PV-002845967647;76:07600:0:PV-002845967648;76:07600:0:PV-003397971135;
c1n[nH]c2c1CCC2,1838,76:07600:0:PV-003397967516;76:07600:0:PV-001660300949;76:07600:0:PV-003397975000;
Cn1ccc2ccncc21,257,76:07600:0:PV-002416601141;76:07600:1:PV-003398016368;76:07600:8:PV-002846075248;
O=c1cc[nH]c(=O)[nH]1,3005,76:07600:0:PV-002416601141;76:07600:0:PV-005198346134;76:07600:1:PV-005198466969;
CC1CCNCC1,26140,76:07600:0:PV-003397967566;76:07600:0:PV-002845968720;76:07600:0:PV-003397972432;
C1CC2CNC2CN1,6326,76:07600:0:PV-003397967585;76:07600:0:PV-003397967681;76:07600:0:PV-003397974161;
Cn1cc[nH]c1=O,4897,76:07600:0:PV-003397967613;76:07600:0:PV-001628302202;76:07600:0:PV-001413092165;
Clc1ccnc2c1NCC2,119,76:07600:0:PV-003397967614;76:07600:5:PV-005198830595;76:07601:2:PV-003398384703;
Oc1cccnc1,10040,76:07600:0:PV-003397967620;76:07600:0:PV-003397967621;76:07600:0:PV-002845969523;
Clc1ccc2[nH]ncc2c1,427,76:07600:0:PV-002845967707;76:07600:2:PV-002313104497;76:07600:2:PV-003398063739;
C1CC2(C1)CCC2,13658,76:07600:0:PV-002416601151;76:07600:0:PV-003397972587;76:07600:0:PV-003397972588;
C1CCC2(CC1)CCCO2,440,76:07600:0:PV-002416601151;76:07600:1:PV-002845986364;76:07600:1:PV-003398015263;
C1CSCCS1,5991,76:07600:0:PV-004004824079;76:07600:0:PV-005198321401;76:07600:0:PV-005198353444;
c1cnc2ccoc2c1,1901,76:07600:0:PV-002845967747;76:07600:0:PV-005198311616;76:07600:0:PV-005198372607;
