fragment_smiles,occurences,example_ligands
O=C1CCNCCN1,1022,510:51000:0:Z908579020;510:51000:0:Z2967970913;510:51000:2:Z1167163574;
c1cc2c(s1)CCCC2,3126,510:51000:0:Z363411856;510:51000:0:Z1613326394;510:51000:0:Z1215269659;
c1ccc2[nH]cnc2c1,44837,510:51000:0:Z2584484511;510:51000:0:Z2584399226;510:51000:0:Z2600543248;
c1ccc2ncncc2c1,4850,510:51000:0:Z238066886;510:51000:0:Z2273056877;510:51000:0:Z3707623378;
Cn1ncc2c1CCCC2,1411,510:51000:0:Z1199559450;510:51000:0:Z1486528751;510:51000:0:Z1488473523;
O=c1[nH]cnc2ccc(F)cc12,1120,510:51000:0:Z1841693082;510:51000:0:Z740521980;510:51000:1:Z336785820;
Cc1nc2ccccc2n1C,938,510:51000:0:Z1645636627;510:51000:0:Z968987392;510:51000:0:Z1951014036;
Cc1cc(C)on1,17119,510:51000:0:Z4107011897;510:51000:0:Z1550276807;510:51000:0:Z1523607640;
C1CNC2(C1)CCNCC2,86,510:51000:0:Z4107011897;510:51001:4:Z3886176187;510:51001:7:Z3607350190;
O=C1CCOC2(CCNCC2)C1,96,510:51000:0:Z3174353674;510:51000:6:Z3187044698;510:51001:5:Z3390806023;
C1CC2(CN1)OCCO2,156,510:51000:0:Z1733422009;510:51000:1:Z1276857384;510:51000:5:Z3695645105;
O=c1[nH]c2nncn2c2ccccc12,661,510:51000:0:Z2215792550;510:51000:1:Z652408750;510:51000:2:Z1241472254;
Cc1ccc2cn[nH]c2n1,3576,510:51000:0:Z1102521666;510:51000:0:Z1165755118;510:51000:0:Z1067530164;
CC1CNCCO1,14162,510:51000:0:Z982579590;510:51000:0:Z2080714002;510:51000:0:Z4478335924;
Cc1cnn[nH]1,34355,510:51000:0:Z1264979344;510:51000:0:Z1182421591;510:51000:0:Z2198772535;
Cc1[nH]c(=O)sc1C,486,510:51000:0:Z1903813396;510:51000:7:Z1197837584;510:51000:7:Z1919777977;
CC1(C)CC(=O)c2ccc(=O)[nH]c2C1,963,510:51000:0:Z1838162433;510:51000:1:Z1334597793;510:51000:2:Z1145651661;
c1ccc2c(c1)CCOC2,5868,510:51000:0:Z2366221770;510:51000:0:Z2181064861;510:51000:0:Z1210128984;
NC1CCn2nccc2C1,28,510:51000:0:Z3102240950;510:51003:3:Z3716973842;510:51004:9:Z4062092773;
c1ccn2cnnc2c1,11226,510:51000:0:Z1724931993;510:51000:0:Z279555176;510:51000:0:Z752910552;
OC1CNC1,2832,510:51000:0:Z1874760477;510:51000:0:Z3724103238;510:51000:1:Z2669725858;
Cc1cc(C)c2c(C)nn(C)c2n1,2295,510:51000:0:Z466831502;510:51000:0:Z442458246;510:51000:0:Z1787306323;
C1CCC2(CCNCC2)OC1,264,510:51000:0:Z4578445811;510:51000:2:Z4421631905;510:51000:3:Z3870342638;
Cc1cccc2[nH]ccc12,1582,510:51000:0:Z1318742603;510:51000:0:Z1118632922;510:51000:1:Z1318619266;
c1ccc2[nH]ccc2c1,64684,510:51000:0:Z1268324487;510:51000:0:Z1303154932;510:51000:0:Z1466198269;
O=C1COc2ccccc2N1,14470,510:51000:0:Z1268324487;510:51000:0:Z3140616995;510:51000:0:Z1715488122;
c1nnn2c1CNCC2,112,510:51000:0:Z2836681280;510:51000:3:Z2227359821;510:51001:3:Z2234951111;
c1cc2n(n1)CCC2,531,510:51000:0:Z2254789267;510:51000:1:Z3716793671;510:51000:2:Z2255691398;
Cc1ccno1,19600,510:51000:0:Z167211056;510:51000:0:Z1337743932;510:51000:0:Z3724432204;
Cc1cc(C)n2ncnc2n1,4598,510:51000:0:Z167211056;510:51000:0:Z272952690;510:51000:0:Z61298040;
CC1CCCCC1O,184,510:51000:0:Z2644310571;510:51001:3:Z1362158928;510:51001:8:Z1408546436;
c1nc2c([nH]1)CCNC2,2281,510:51000:0:Z1635518518;510:51000:1:Z1635513624;510:51000:2:Z1652266701;
c1cc2n(n1)CCCC2,3762,510:51000:0:Z2077223573;510:51000:0:Z1851528451;510:51000:0:Z1849151296;
C1CC2CCC2N1,324,510:51000:0:Z3805496018;510:51000:4:Z2997593621;510:51000:5:Z2964918720;
C1CCC2(CC1)CCNCC2,480,510:51000:0:Z3898781340;510:51000:1:Z1726142954;510:51001:2:Z4089513875;
O=c1[nH]ccc2ccccc12,3288,510:51000:0:Z3898781340;510:51000:0:Z2204468044;510:51000:1:Z1815551646;
Cc1ncoc1C,2987,510:51000:0:Z2615211649;510:51000:0:Z1237044592;510:51000:0:Z1289423464;
O=C1NCC2CCCCN12,91,510:51000:0:Z2615211649;510:51000:1:Z4985476810;510:51003:5:Z2618921062;
C1CC2CCCN2C1,114,510:51000:0:Z4230430686;510:51001:3:Z4317304943;510:51002:2:Z3723757425;
Cn1nnc2cccnc21,934,510:51000:0:Z2010152327;510:51000:0:Z1665857097;510:51000:1:Z1666487207;
Cn1cncn1,8735,510:51000:0:Z2290307352;510:51000:0:Z1581579063;510:51000:0:Z1564521928;
c1ccc2ncccc2c1,35583,510:51000:0:Z2018691653;510:51000:0:Z1641029718;510:51000:0:Z3726300758;
Cc1cc2nc[nH]c2cc1C,900,510:51000:0:Z2018691653;510:51000:0:Z1381754603;510:51000:0:Z1582735100;
Cn1ncc2c(=O)[nH]cnc21,4515,510:51000:0:Z942314076;510:51000:0:Z333722428;510:51000:0:Z875643572;
O=C1Cc2cccc3c2N1CCC3,241,510:51000:0:Z1693185139;510:51000:3:Z1693135758;510:51001:0:Z1693178480;
Cc1cc(C)[nH]c(=O)c1,2271,510:51000:0:Z1018787212;510:51000:1:Z1311165574;510:51000:1:Z1314060931;
c1n[nH]c2c1CCCC2,7490,510:51000:0:Z1259652568;510:51000:0:Z1695457544;510:51000:0:Z1546627825;
c1ccc2c(c1)OCO2,35006,510:51000:0:Z1818891648;510:51000:0:Z1282341239;510:51000:0:Z3390622160;
Fc1cccnc1,14264,510:51000:0:Z1626093538;510:51000:0:Z1443345361;510:51000:0:Z1530472602;
Cc1nnc[nH]1,6680,510:51000:0:Z67734362;510:51000:0:Z2025524558;510:51000:0:Z1550909569;
CC1CCC(C)N1,1556,510:51000:0:Z1134190235;510:51000:1:Z3559506479;510:51000:1:Z1902604297;
Cc1csc2ccccc12,592,510:51000:0:Z1533726100;510:51000:0:Z1255985637;510:51000:1:Z1984067220;
Cc1cc(C)ncn1,11943,510:51000:0:Z1648925575;510:51000:0:Z1357270525;510:51000:0:Z1648151720;
