fragment_smiles,occurences,example_ligands
Oc1ccncc1,6206,69:06900:0:PV-003158269642;69:06900:0:PV-004486609191;69:06900:0:PV-004486609192;
Cc1ccnnc1,5815,69:06900:0:PV-003158269663;69:06900:0:PV-003158269664;69:06900:0:PV-004486485267;
Nc1ccn[nH]1,857,69:06900:0:PV-003158269672;69:06900:0:PV-004486539674;69:06900:0:PV-002753063379;
C1CNC2(C1)CCC2,6899,69:06900:0:PV-003158269714;69:06900:0:PV-003158269715;69:06900:0:PV-004486490014;
CC1CC(F)(F)C1,3406,69:06900:0:PV-002753055756;69:06900:0:PV-004486594777;69:06900:0:PV-002753057068;
c1nc2nc3c(cn2n1)CCC3,17,69:06900:0:PV-002091760390;69:06903:0:PV-002557568477;69:06907:1:PV-002247151900;
c1cncnc1,52647,69:06900:0:PV-001639610604;69:06900:0:PV-003158269808;69:06900:0:PV-000579154776;
Cc1ccc(F)cc1,5415,69:06900:0:PV-003158269768;69:06900:0:PV-003158286193;69:06900:1:PV-003158299839;
Cc1ccsc1,31786,69:06900:0:PV-003158269777;69:06900:0:PV-004486476588;69:06900:0:PV-004486525018;
Oc1ccnc2ccccc12,363,69:06900:0:PV-003158269780;69:06900:1:PV-001867465611;69:06900:5:PV-002753127375;
Cn1ccnc1,31920,69:06900:0:PV-003158269785;69:06900:0:PV-003158269786;69:06900:0:PV-004486463861;
CC1CCCOC1,3393,69:06900:0:PV-001744050074;69:06900:0:PV-003158272597;69:06900:0:PV-001499738488;
CC1CCCCC1,20348,69:06900:0:PV-003158269863;69:06900:0:PV-003158269974;69:06900:0:PV-004486480393;
c1ccc2c(c1)CC1CC21,77,69:06900:0:PV-003158269877;69:06901:4:PV-002402288388;69:06902:9:PV-004489542289;
Cc1csc2nccn12,763,69:06900:0:PV-002454006647;69:06900:1:PV-002454009199;69:06900:3:PV-002753101768;
Cc1ccno1,21258,69:06900:0:PV-000260630521;69:06900:0:PV-003158270930;69:06900:0:PV-003158270931;
CC1CCCN1,78137,69:06900:0:PV-000260630521;69:06900:0:PV-001084514786;69:06900:0:PV-003158270178;
Cc1cscn1,17869,69:06900:0:PV-000260630521;69:06900:0:PV-003158270105;69:06900:0:PV-003158270344;
Cc1ccoc1,29087,69:06900:0:PV-003158269913;69:06900:0:PV-000510103516;69:06900:0:PV-000505891347;
C1CSCCN1,5780,69:06900:0:PV-003158269913;69:06900:0:PV-003158270864;69:06900:0:PV-004486602505;
CC1(C)CCNC1,17690,69:06900:0:PV-003158269914;69:06900:0:PV-003158269915;69:06900:0:PV-002753056458;
Nc1ncco1,2954,69:06900:0:PV-003158269926;69:06900:0:PV-004486498080;69:06900:0:PV-002753056721;
C1CCCNCC1,43850,69:06900:0:PV-000579154776;69:06900:0:PV-001747193749;69:06900:0:PV-004486477413;
c1ccsc1,136668,69:06900:0:PV-000579154776;69:06900:0:PV-001504628046;69:06900:0:PV-001981552004;
c1ccn2ccnc2c1,6782,69:06900:0:PV-002298756979;69:06900:0:PV-004486509028;69:06900:0:PV-004486526662;
Clc1ccco1,21546,69:06900:0:PV-002753055837;69:06900:0:PV-002753055838;69:06900:0:PV-002753055839;
Cc1cccs1,30045,69:06900:0:PV-001504628046;69:06900:0:PV-004486517778;69:06900:0:PV-004486517779;
C1CC2CCC1C2,14425,69:06900:0:PV-003158270086;69:06900:0:PV-003158275042;69:06900:0:PV-003158276647;
C1CC2CC(CN2)N1,2085,69:06900:0:PV-003158270087;69:06900:0:PV-003158282093;69:06900:0:PV-003158282786;
Cc1cnn[nH]1,1592,69:06900:0:PV-003158270087;69:06900:0:PV-004486527196;69:06900:0:PV-003158294188;
Fc1ccc2[nH]ncc2c1,433,69:06900:0:PV-002753055876;69:06900:3:PV-003158384711;69:06900:4:PV-003158405010;
O=S1(=O)CCC1,12922,69:06900:0:PV-001502025477;69:06900:0:PV-004486522444;69:06900:0:PV-000269765584;
OC1CCC1,46507,69:06900:0:PV-003158270178;69:06900:0:PV-000350517251;69:06900:0:PV-003158270179;
CC1CNCCN1,65729,69:06900:0:PV-003158270191;69:06900:0:PV-003158270192;69:06900:0:PV-003158270193;
c1cnsc1,68461,69:06900:0:PV-003158270191;69:06900:0:PV-003158270192;69:06900:0:PV-003158270193;
CC1CCNC1,123745,69:06900:0:PV-002753055937;69:06900:0:PV-003158271286;69:06900:0:PV-003158271287;
OC1CCCCC1,12889,69:06900:0:PV-002753055937;69:06900:0:PV-004486602421;69:06900:0:PV-004486602422;
Cc1ncc[nH]1,13937,69:06900:0:PV-001756654460;69:06900:0:PV-004486463972;69:06900:0:PV-004486467490;
CC1CNc2ccccc2O1,138,69:06900:0:PV-002454006675;69:06900:3:PV-002753100672;69:06900:3:PV-002753103315;
Clc1ccc2c(c1)OCO2,597,69:06900:0:PV-002753055964;69:06900:0:PV-004486493596;69:06900:0:PV-003158274383;
Cc1cccnn1,9807,69:06900:0:PV-002753055965;69:06900:0:PV-002753055966;69:06900:0:PV-000521018099;
FC1(F)CC1,32686,69:06900:0:PV-002753055965;69:06900:0:PV-002753055966;69:06900:0:PV-000521018099;
c1ccc2occc2c1,7069,69:06900:0:PV-002753055969;69:06900:0:PV-004486569441;69:06900:0:PV-004486579964;
C1CC2(C1)CNC2,17171,69:06900:0:PV-003158270310;69:06900:0:PV-003158270846;69:06900:0:PV-004486491579;
Oc1ccccc1F,4558,69:06900:0:PV-003158270321;69:06900:0:PV-004486468596;69:06900:0:PV-004486611434;
FC1CC1(F)F,1222,69:06900:0:PV-003158270321;69:06900:0:PV-004486611434;69:06900:1:PV-003158303241;
Cc1cn[nH]c1C,2977,69:06900:0:PV-002753055976;69:06900:0:PV-002753055977;69:06900:0:PV-002753055978;
Cc1ncsc1C,2569,69:06900:0:PV-003158270331;69:06900:0:PV-004486526249;69:06900:0:PV-003158276272;
Oc1ccccc1,21788,69:06900:0:PV-002402258779;69:06900:0:PV-004486467911;69:06900:0:PV-004486512960;
Cc1ncccn1,4879,69:06900:0:PV-003158270341;69:06900:0:PV-002753060094;69:06900:0:PV-002753061828;
Cc1cnc[nH]1,11718,69:06900:0:PV-000510103516;69:06900:0:PV-000505891347;69:06900:0:PV-000464336104;
CC1CC(C)(C)C1,2779,69:06900:0:PV-002753055997;69:06900:0:PV-002753055998;69:06900:0:PV-002753055999;
C1CC2(C1)CNCCN2,3481,69:06900:0:PV-003158270422;69:06900:0:PV-002617309160;69:06900:0:PV-003158286033;
C1CC2CC2C1,32730,69:06900:0:PV-003158270422;69:06900:0:PV-004486463593;69:06900:0:PV-004486495654;
CN1C(=O)COc2ccccc21,235,69:06900:0:PV-003158270449;69:06900:5:PV-003158461321;69:06900:6:PV-002143521076;
Cc1coc(C)c1,5459,69:06900:0:PV-003158270453;69:06900:0:PV-002753056965;69:06900:0:PV-003158272745;
C1CC2CNC2CN1,6419,69:06900:0:PV-003158270453;69:06900:0:PV-003158273892;69:06900:0:PV-003158277224;
Clc1cccc(Cl)c1,13974,69:06900:0:PV-003939795675;69:06900:0:PV-004486464625;69:06900:0:PV-004486476732;
C1CNCC2(C1)CNC2,3961,69:06900:0:PV-003158270456;69:06900:0:PV-003158270457;69:06900:0:PV-000252977023;
CC1CCNCCN1,6784,69:06900:0:PV-003158270514;69:06900:0:PV-004486574551;69:06900:0:PV-004486574552;
CC1CC1(F)F,10078,69:06900:0:PV-002753056059;69:06900:0:PV-002753056060;69:06900:0:PV-004486594685;
CC1CCN(C)CC1,877,69:06900:0:PV-002753056064;69:06900:5:PV-002753122670;69:06900:5:PV-003158452644;
FC1CCC1,51592,69:06900:0:PV-003158270559;69:06900:0:PV-003158270561;69:06900:0:PV-004486480374;
Oc1cccnc1,10023,69:06900:0:PV-002753056085;69:06900:0:PV-002753056086;69:06900:0:PV-002753056087;
