fragment_smiles,occurences,example_ligands
c1ccc2c(c1)CCO2,12529,49:04900:0:Z2277902675;49:04900:0:Z3391977561;49:04900:0:Z3597310458;
NC1CCNCC1,2900,49:04900:0:Z4055596275;49:04900:0:Z2927546672;49:04900:0:Z3136245188;
CC1CCOCC1,2782,49:04900:0:Z2922664925;49:04900:0:Z3102028194;49:04900:1:Z3404814135;
Cc1ccsn1,2777,49:04900:0:Z1636210292;49:04900:0:Z1433171522;49:04900:1:Z1667177585;
CC1CNC(C)CN1,620,49:04900:0:Z1636210292;49:04900:1:Z2503879015;49:04900:1:Z2923311595;
Cc1cccc(C)n1,3212,49:04900:0:Z3495942515;49:04900:0:Z3606931830;49:04900:0:Z3627719782;
CC1CCCC1=O,359,49:04900:0:Z4948613747;49:04900:6:Z4948555327;49:04901:2:Z4948602861;
Cc1cn[nH]c1,11798,49:04900:0:Z4062012306;49:04900:0:Z3193358663;49:04900:0:Z2627356255;
C1CCC2NCCC2C1,2977,49:04900:0:Z4062012306;49:04900:0:Z4575148480;49:04900:0:Z3595363843;
CC1CCNC2C(=O)NCC12,212,49:04900:0:Z3809495518;49:04900:7:Z3911126342;49:04901:0:Z3833508175;
c1cnc2ccnn2c1,3433,49:04900:0:Z298872736;49:04900:0:Z1259868530;49:04900:0:Z4224843987;
O=S1(=O)CCNCC1,4966,49:04900:0:Z4471269584;49:04900:0:Z5049018532;49:04900:0:Z3795934390;
O=C1CCC2CNCCC2N1,480,49:04900:0:Z2628776150;49:04900:0:Z2645265913;49:04900:2:Z4451085612;
Cc1ccc2c(c1)CNC(C)(C)C2,67,49:04900:0:Z2219650242;49:04900:2:Z2283335492;49:04902:3:Z4448149563;
OC1CCNCC1,16405,49:04900:0:Z4249806603;49:04900:0:Z4490292342;49:04900:0:Z2279579654;
CN1C2CCCC1CC2,1332,49:04900:0:Z2662024794;49:04900:0:Z4215479187;49:04900:0:Z2297850174;
Fc1ccc(F)cc1,10521,49:04900:0:Z1129696520;49:04900:0:Z4007764027;49:04900:0:Z4341608573;
FC1CCNC1,12271,49:04900:0:Z2919118485;49:04900:0:Z2001528204;49:04900:0:Z4593753903;
c1ccc2c(c1)OCCO2,11230,49:04900:0:Z2478004836;49:04900:0:Z2092325686;49:04900:0:Z1176981421;
Clc1cn2ccsc2n1,808,49:04900:0:Z1515574974;49:04900:0:Z804895240;49:04900:3:Z3378384307;
Cc1cccc(Cl)c1,6181,49:04900:0:Z4351333523;49:04900:0:Z4351328159;49:04900:0:Z2358858642;
C1CNC2(C1)CCCSC2,260,49:04900:0:Z3320521431;49:04900:1:Z3784460270;49:04900:4:Z3590517652;
Fc1ccccc1Cl,16252,49:04900:0:Z2636334911;49:04900:0:Z3356516757;49:04900:0:Z3641418422;
C1CC2CCC1CO2,2427,49:04900:0:Z4613711529;49:04900:0:Z2980440442;49:04900:0:Z4455614516;
Cn1ccnc1,32169,49:04900:0:Z2493299302;49:04900:0:Z3618909835;49:04900:0:Z4250101649;
C1CCC2(CC1)CCCN2,683,49:04900:0:Z1531869416;49:04900:1:Z3374624692;49:04900:1:Z1756214315;
CC1(C)CCCC(C)(C)N1,477,49:04900:0:Z3640982378;49:04900:2:Z2473844043;49:04900:9:Z4034861148;
CC1CCCCN1,14931,49:04900:0:Z1889088211;49:04900:0:Z1627671982;49:04900:0:Z4055945831;
FC1(F)CC1,14362,49:04900:0:Z4478236269;49:04900:0:Z3552857925;49:04900:0:Z3583325031;
Clc1ccc2ccoc2c1,444,49:04900:0:Z4478236269;49:04900:0:Z4223822476;49:04900:5:Z2705369866;
Cc1cc(=O)[nH]cn1,2189,49:04900:0:Z1332995191;49:04900:0:Z1626772932;49:04900:0:Z2915362295;
CC1(C)CCCCC1,3785,49:04900:0:Z2175320215;49:04900:0:Z4472689329;49:04900:0:Z2294903162;
CC1(C)CCC(=O)N1,1165,49:04900:0:Z3540568388;49:04900:0:Z3535887754;49:04900:0:Z3540621585;
CN1CCCCC1=O,3922,49:04900:0:Z2785542916;49:04900:0:Z2804819575;49:04900:0:Z1345904296;
C1CC2CCC(CN1)N2,1246,49:04900:0:Z1303452479;49:04900:2:Z2186567943;49:04900:3:Z2956221132;
Cc1ncon1,11655,49:04900:0:Z1323820744;49:04900:0:Z402322746;49:04900:0:Z4251631426;
Cc1cnc2ccccn12,1124,49:04900:0:Z3841207868;49:04900:0:Z4021377241;49:04900:1:Z3853696882;
C1CNC2CCCNC2C1,415,49:04900:0:Z2394864031;49:04900:0:Z4622172634;49:04900:3:Z4113316278;
FC1(F)CCc2oncc2C1,545,49:04900:0:Z3380136980;49:04900:3:Z3384103832;49:04900:3:Z4663916794;
CC1CCCNC1,19320,49:04900:0:Z3616568239;49:04900:0:Z4105001496;49:04900:0:Z4206748717;
C1=CCCCC1,756,49:04900:0:Z4999753608;49:04900:0:Z4286317349;49:04900:1:Z3497451467;
O=C1CCOc2ncccc21,6,49:04900:0:Z4999753608;49:04902:4:Z3777251549;49:04906:4:Z4224094701;
C1CCC2(CC1)CC2,4046,49:04900:0:Z2105391554;49:04900:0:Z4111106847;49:04900:0:Z2635100598;
CC1CCOC1,6563,49:04900:0:Z3467812478;49:04900:0:Z4252481996;49:04900:0:Z3685566719;
c1ccc2c(c1)CCC2,19637,49:04900:0:Z1507130682;49:04900:0:Z3187651720;49:04900:0:Z4043531894;
Cc1nc2c(s1)NCCCC2,126,49:04900:0:Z3603893571;49:04900:1:Z3603906676;49:04900:2:Z3603899673;
