fragment_smiles,occurences,example_ligands
Cc1cccc2cncn12,489,347:34700:0:Z1644048868;347:34700:3:Z4578210695;347:34700:7:Z1641666638;
c1c[nH]nn1,95409,347:34700:0:Z3091835566;347:34700:0:Z929234462;347:34700:0:Z3589853122;
CC1(C)CNCCO1,6054,347:34700:0:Z1920273392;347:34700:0:Z3532871831;347:34700:0:Z1212012655;
FC1(F)CCCC2CNCC21,148,347:34700:0:Z4978528558;347:34700:7:Z4980358479;347:34702:6:Z4978562436;
Cc1ccno1,15176,347:34700:0:Z2454464902;347:34700:0:Z2026085892;347:34700:0:Z2718093654;
CC1CNC(C)C(C)N1,136,347:34700:0:Z2454464902;347:34700:2:Z2715238921;347:34701:3:Z2454464558;
CC1Cc2ccccc2N1,3229,347:34700:0:Z1144628666;347:34700:0:Z909364490;347:34700:0:Z3368111411;
CC1(C)CCCNCC1,136,347:34700:0:Z1293054643;347:34700:0:Z1569983625;347:34700:1:Z3169573372;
CN1CCCNCC1,2257,347:34700:0:Z3175811639;347:34700:0:Z3187573954;347:34700:0:Z2360448853;
C1COCC2(C1)CCC2,1053,347:34700:0:Z4349594652;347:34700:0:Z4349661748;347:34700:0:Z4665126147;
c1cn[nH]n1,7964,347:34700:0:Z1840358291;347:34700:0:Z1442224977;347:34700:0:Z1321349677;
c1nnc[nH]1,114088,347:34700:0:Z3169803580;347:34700:0:Z3169803445;347:34700:0:Z2021477551;
O=c1cccn[nH]1,8760,347:34700:0:Z3169803580;347:34700:0:Z3169803445;347:34700:0:Z4394705763;
Cn1c(=O)cc(N)[nH]c1=O,163,347:34700:0:Z2101466965;347:34700:1:Z2955813377;347:34700:3:Z1575492681;
Cn1cnnc1,34060,347:34700:0:Z3094141308;347:34700:0:Z1986131129;347:34700:0:Z2218339256;
Cn1cncc1Cl,1458,347:34700:0:Z3094141308;347:34700:0:Z4020993480;347:34700:0:Z4770615906;
NC12CCCC(C1)C2,2,347:34700:0:Z2824895194;347:34779:8:Z2824668177;
Cc1nn(C)c2ncccc12,2695,347:34700:0:Z2931574366;347:34700:0:Z3832921154;347:34700:0:Z1958395939;
CC1CCCCC1,13083,347:34700:0:Z826204422;347:34700:0:Z3842249823;347:34700:0:Z2284799743;
O=c1[nH]ncc2ccccc12,6331,347:34700:0:Z3849693772;347:34700:0:Z854883568;347:34700:0:Z4150240658;
FC1CCCCC1,3363,347:34700:0:Z3849693772;347:34700:0:Z2433553576;347:34700:0:Z4285862965;
c1cc[nH]c1,26561,347:34700:0:Z2021477551;347:34700:0:Z3277979967;347:34700:0:Z4235985478;
CC1(C)CCNC1,4182,347:34700:0:Z3588588626;347:34700:0:Z1990730038;347:34700:0:Z3154203827;
Nc1cn[nH]c1,1203,347:34700:0:Z4325128979;347:34700:0:Z4325186548;347:34700:0:Z3864913902;
c1ccc2c(c1)CCO2,13304,347:34700:0:Z4325128979;347:34700:0:Z4325186548;347:34700:0:Z2155364188;
c1cocn1,47467,347:34700:0:Z1528358439;347:34700:0:Z1414230654;347:34700:0:Z2292886362;
C1COC2(C1)CCNCC2,2902,347:34700:0:Z4155880967;347:34700:0:Z3639148441;347:34700:1:Z3572339664;
c1ccc2scnc2c1,13085,347:34700:0:Z4155880967;347:34700:0:Z2067966781;347:34700:0:Z2962397793;
Cn1c(=O)[nH]c(=O)c2cccnc21,908,347:34700:0:Z3898584774;347:34700:1:Z284186598;347:34700:1:Z1085619818;
FC1(F)CCC2(CC1)CC2,460,347:34700:0:Z3898584774;347:34700:1:Z3778847856;347:34700:6:Z3898580928;
c1ccn2ccnc2c1,11466,347:34700:0:Z1579421592;347:34700:0:Z2803284890;347:34700:0:Z2170895713;
CC1CCS(=O)(=O)C1,464,347:34700:0:Z1579421592;347:34700:2:Z2068749048;347:34700:7:Z1563013943;
C1CC2(C1)CCOC2,1277,347:34700:0:Z3666866599;347:34700:0:Z4365341779;347:34700:1:Z3405329947;
Cc1cccs1,9327,347:34700:0:Z2959519196;347:34700:0:Z3720590668;347:34700:0:Z2841060405;
c1cc2ncncc2cn1,158,347:34700:0:Z2959519196;347:34700:2:Z3011335562;347:34700:5:Z1509583638;
Cc1cc(C)ncn1,6939,347:34700:0:Z2719868135;347:34700:0:Z2909048330;347:34700:0:Z1096978441;
CC1CC(C)C(C)O1,266,347:34700:0:Z2719868135;347:34700:4:Z3598418086;347:34701:8:Z2709466278;
Cc1ccn[nH]1,41882,347:34700:0:Z4419544154;347:34700:0:Z4298391698;347:34700:0:Z3175872106;
C1CC2CCNC2N1,76,347:34700:0:Z4419544154;347:34700:4:Z3176099829;347:34705:3:Z3586353568;
Clc1ccc(Cl)cc1,2378,347:34700:0:Z2100958642;347:34700:0:Z1329995362;347:34700:0:Z1702501301;
c1cn2c(n1)CNCCC2,1071,347:34700:0:Z4271035773;347:34700:0:Z4264877303;347:34700:0:Z4264874280;
c1cn2c(n1)CCCC2,12198,347:34700:0:Z1864917995;347:34700:0:Z2478507685;347:34700:0:Z2965495327;
C1CC2(CCO1)OCCO2,574,347:34700:0:Z3050502415;347:34700:0:Z3102953965;347:34700:1:Z1734959674;
OC1CCC1,9521,347:34700:0:Z1787063585;347:34700:0:Z3555382954;347:34700:0:Z3198355926;
Cn1ccc2c(=O)n3ccccc3nc21,276,347:34700:0:Z1787063585;347:34700:1:Z1787448831;347:34700:6:Z66894168;
Cc1ccncn1,16112,347:34700:0:Z1983711041;347:34700:0:Z795671632;347:34700:0:Z4236621360;
C1CC2CCC1CO2,1104,347:34700:0:Z3570062114;347:34700:0:Z3514775463;347:34700:2:Z3845289395;
C1CCC2(C1)CCOCC2,1427,347:34700:0:Z3899071993;347:34700:1:Z3049124172;347:34700:1:Z2004497763;
