fragment_smiles,occurences,example_ligands
CC1CCCCN1,16642,506:50600:0:Z1607212965;506:50600:0:Z645835844;506:50600:0:Z1630411133;
c1ccn2ccnc2c1,10693,506:50600:0:Z1607212965;506:50600:0:Z3726567956;506:50600:0:Z1345697193;
Cc1cccs1,7302,506:50600:0:Z2008532613;506:50600:0:Z1503992754;506:50600:0:Z1635467692;
Cn1cnnc1,28324,506:50600:0:Z2008532613;506:50600:0:Z2167325108;506:50600:0:Z2008719447;
Cn1c(=O)ccc2ccccc21,2162,506:50600:0:Z852264780;506:50600:0:Z2202190423;506:50600:0:Z3361312298;
Cc1ccc2[nH]ncc2c1,334,506:50600:0:Z1128996667;506:50600:2:Z1128996810;506:50600:3:Z1322769838;
O=C1CNCN1,1632,506:50600:0:Z3290740639;506:50600:1:Z1850127733;506:50600:1:Z4129254491;
Cc1cc[nH]c(=O)c1,1081,506:50600:0:Z3722028101;506:50600:0:Z2200114694;506:50600:1:Z1932794112;
Cc1ccn2ncnc2n1,1846,506:50600:0:Z1964078608;506:50600:0:Z970779110;506:50600:0:Z1886775191;
CC1(C)CCC1,2997,506:50600:0:Z1964078608;506:50600:0:Z2200114694;506:50600:1:Z1771750916;
O=C1CNCCCN1,3486,506:50600:0:Z1703311983;506:50600:0:Z1699202540;506:50600:0:Z1823312948;
c1cc2c(s1)CCCC2,3197,506:50600:0:Z1703311983;506:50600:0:Z1162658920;506:50600:0:Z2016807889;
Cc1cccc2nccc(=O)n12,418,506:50600:0:Z1333072227;506:50600:0:Z2215828504;506:50600:0:Z794086630;
FC1CCNC1,14007,506:50600:0:Z1333072227;506:50600:0:Z2045717251;506:50600:0:Z1608231815;
O=c1[nH]c(=O)c2ccccc2[nH]1,6126,506:50600:0:Z806993444;506:50600:0:Z1170605385;506:50600:0:Z822770528;
C1CCC2(CCOCC2)OC1,721,506:50600:0:Z3367568355;506:50600:2:Z1452160725;506:50600:3:Z1450506079;
c1cnc2cnccc2c1,682,506:50600:0:Z2406490209;506:50600:3:Z2080153170;506:50600:3:Z3722096132;
c1cnc2nccnc2c1,779,506:50600:0:Z3724816284;506:50600:2:Z2408084494;506:50600:4:Z1675894378;
Fc1ccc2ncccc2c1,1273,506:50600:0:Z2027195744;506:50600:1:Z2096021323;506:50600:1:Z1618974344;
Cn1nnc2cccnc21,897,506:50600:0:Z2015029308;506:50600:1:Z3725454177;506:50600:1:Z3723288778;
Cn1nccc1O,183,506:50600:0:Z5035310588;506:50600:0:Z5035305312;506:50600:8:Z5043822764;
O=C1CCNC(=O)N1,14903,506:50600:0:Z3535079106;506:50600:0:Z4388492002;506:50600:0:Z3531336180;
Cc1ccc2ccccc2n1,4217,506:50600:0:Z1185596505;506:50600:0:Z2353815675;506:50600:0:Z1260939287;
Cc1cc(C)on1,17093,506:50600:0:Z647680234;506:50600:0:Z2008719447;506:50600:0:Z3720972143;
Cc1nc2ccccc2[nH]1,4658,506:50600:0:Z1822953129;506:50600:0:Z3467076771;506:50600:0:Z2073333955;
CC1NCCCNC1=O,121,506:50600:0:Z1823155737;506:50601:0:Z1832841598;506:50602:2:Z1823153004;
Cc1nn(C)c2sccc12,1013,506:50600:0:Z2002252272;506:50600:0:Z1265781339;506:50600:1:Z929592694;
c1ccc2[nH]ccc2c1,64856,506:50600:0:Z2002252272;506:50600:0:Z1802477201;506:50600:0:Z3724346876;
c1ccc2sccc2c1,4356,506:50600:0:Z1273816658;506:50600:0:Z1409885674;506:50600:1:Z406621796;
Cc1nnco1,4799,506:50600:0:Z1412633920;506:50600:0:Z3552808853;506:50600:0:Z1901805823;
c1cc2n(n1)CCNC2,1195,506:50600:0:Z2845940239;506:50600:1:Z3809362536;506:50600:2:Z5004085945;
CC1(C)CNCCN1,3598,506:50600:0:Z4421173139;506:50600:0:Z1558122129;506:50600:0:Z1941020117;
CN1CCCCC1=O,4769,506:50600:0:Z1843133664;506:50600:0:Z3625307261;506:50600:0:Z1238151180;
C1CC2(CCN1)CCNC2,2217,506:50600:0:Z1583646238;506:50600:0:Z2212103036;506:50600:0:Z3138430406;
Cc1ncc2ccccn12,1108,506:50600:0:Z3916853595;506:50600:1:Z2032900190;506:50600:1:Z3719542233;
C1CCC2CNCC2C1,2345,506:50600:0:Z3916853595;506:50600:0:Z2157446680;506:50600:0:Z2146043282;
Cn1c(=O)c2[nH]cnc2n(C)c1=O,3651,506:50600:0:Z2818476878;506:50600:0:Z770618608;506:50600:0:Z2158094406;
O=c1[nH]cnc2ccccc12,23811,506:50600:0:Z200116752;506:50600:0:Z1282007353;506:50600:0:Z1890507264;
CC1COc2ccccc2O1,494,506:50600:0:Z200116752;506:50600:0:Z847420830;506:50600:1:Z3113047756;
Cc1nc2ncccn2n1,1343,506:50600:0:Z1118847416;506:50600:0:Z1660014018;506:50600:0:Z1660014123;
c1ccc2c(c1)CCOC2,6046,506:50600:0:Z2180081235;506:50600:0:Z4113663008;506:50600:0:Z2177996337;
C1Cc2[nH]nnc2CN1,959,506:50600:0:Z2230501812;506:50600:2:Z2231370166;506:50600:4:Z2231374381;
Cc1ncccn1,7654,506:50600:0:Z1231549828;506:50600:0:Z2066129932;506:50600:0:Z4776685214;
C1CC2CCC(C1)N2,6991,506:50600:0:Z1231549828;506:50600:0:Z1173262737;506:50600:0:Z1175470781;
O=c1[nH]c2ccccc2[nH]1,13255,506:50600:0:Z1373149652;506:50600:0:Z1441530366;506:50600:0:Z192702970;
Cc1ccncc1,11415,506:50600:0:Z3609176993;506:50600:0:Z1954229390;506:50600:0:Z1021096480;
C1COCC2(CCOCC2)CN1,440,506:50600:0:Z1657557294;506:50600:4:Z1653686065;506:50600:4:Z1654306900;
c1ccc2c(c1)CCCC2,19550,506:50600:0:Z1745572560;506:50600:0:Z1745568914;506:50600:0:Z1639018010;
FC1CCC1,625,506:50600:0:Z2206326435;506:50600:1:Z4200719877;506:50600:8:Z3369739953;
CC1CNC(=O)CO1,778,506:50600:0:Z2228160217;506:50600:2:Z2157033081;506:50600:2:Z2646091026;
Clc1ccccc1Cl,6944,506:50600:0:Z1561226621;506:50600:0:Z1609637168;506:50600:1:Z753424396;
CC1NCCc2cc(O)ccc21,158,506:50600:0:Z4113663008;506:50600:4:Z5023871229;506:50601:1:Z3187704371;
Fc1cccc2c1CNCC2,340,506:50600:0:Z3513411044;506:50600:9:Z1561251444;506:50601:6:Z1751686042;
O=C1CCc2cc(F)ccc2N1,1582,506:50600:0:Z1259564363;506:50600:0:Z2077621557;506:50600:0:Z1260764411;
O=C1CSCCN1,474,506:50600:0:Z1450345621;506:50600:0:Z298662880;506:50600:1:Z1617068564;
O=C1COc2ccccc2N1,14577,506:50600:0:Z1629707508;506:50600:0:Z993536532;506:50600:0:Z1385707112;
C1CC2(C1)CCOCC2,1002,506:50600:0:Z2104244419;506:50600:1:Z1716069832;506:50600:1:Z2113486272;
O=c1cc[nH][nH]1,2691,506:50600:0:Z1262363276;506:50600:0:Z3842641552;506:50600:0:Z766748086;
O=c1[nH]ccs1,967,506:50600:0:Z227540034;506:50600:0:Z757662386;506:50600:0:Z1174656416;
O=c1[nH]ncc2ccccc12,14134,506:50600:0:Z342458886;506:50600:0:Z1433067021;506:50600:0:Z1919737520;
Cc1ccn(C)n1,14956,506:50600:0:Z1764382092;506:50600:0:Z2206782569;506:50600:0:Z1745812429;
O=S1(=O)CCNCC1,6139,506:50600:0:Z1311424087;506:50600:0:Z3333433615;506:50600:0:Z1624217891;
Cc1ccccn1,27805,506:50600:0:Z2270472603;506:50600:0:Z2091169992;506:50600:0:Z2708017191;
Nc1ccn[nH]1,2131,506:50600:0:Z2217652329;506:50600:1:Z2222622389;506:50600:1:Z2218527071;
