fragment_smiles,occurences,example_ligands
C1CCC2(CCOC2)OC1,1138,55:05500:0:Z1576454065;55:05500:0:Z4226581768;55:05500:1:Z3142588317;
c1ccc2c(c1)CCN2,14875,55:05500:0:Z1844280222;55:05500:0:Z1639011964;55:05500:0:Z1541220752;
c1c[nH]cn1,71928,55:05500:0:Z2647268330;55:05500:0:Z3203653351;55:05500:0:Z3716088750;
OC1CCCOC1,2258,55:05500:0:Z2647268330;55:05500:0:Z4247802436;55:05500:0:Z3192133344;
Cn1ccnc1,32204,55:05500:0:Z3049774011;55:05500:0:Z1362420313;55:05500:0:Z1913915535;
Cc1cc(=O)cc2n1CCC2,36,55:05500:0:Z3368044488;55:05504:4:Z2878793802;55:05508:5:Z3368044383;
CC1(C)CC1(F)F,933,55:05500:0:Z3368044488;55:05500:0:Z3357968039;55:05500:0:Z3820578656;
c1ccn2ncnc2c1,2286,55:05500:0:Z4638722098;55:05500:0:Z3045487239;55:05500:0:Z4645212180;
FC1CCC1,11058,55:05500:0:Z2874971661;55:05500:0:Z2862071294;55:05500:0:Z3060830792;
Cc1ncccn1,7427,55:05500:0:Z3380945879;55:05500:0:Z2474264121;55:05500:0:Z4224205831;
NC1CCCc2ccccc21,564,55:05500:0:Z3380945879;55:05500:0:Z3380234106;55:05500:2:Z4156489055;
Cc1ccccc1F,12469,55:05500:0:Z1716656585;55:05500:0:Z4177125443;55:05500:0:Z1352057223;
FC1(F)CCNCC1,3197,55:05500:0:Z4869983030;55:05500:0:Z3622055457;55:05500:0:Z3492894775;
c1nnc2n1CCCC2,6018,55:05500:0:Z3008848819;55:05500:0:Z4216986839;55:05500:0:Z3643758978;
O=C1CCCCC1,4256,55:05500:0:Z3008848819;55:05500:0:Z4137630546;55:05500:0:Z3599350247;
c1cc2c(nn1)CCOC2,310,55:05500:0:Z4022625679;55:05500:8:Z4021409959;55:05500:9:Z4021767706;
OC1CCC2CCNC12,717,55:05500:0:Z3203653351;55:05500:0:Z3716088750;55:05501:1:Z3844315476;
c1nc2c([nH]1)CCNC2,1073,55:05500:0:Z2950659222;55:05500:1:Z4266880208;55:05500:1:Z2963426551;
Cc1ccncc1,14856,55:05500:0:Z2950659222;55:05500:0:Z4643245109;55:05500:0:Z3087662347;
Fc1cccc(F)c1,46647,55:05500:0:Z3345009994;55:05500:0:Z1427769869;55:05500:0:Z2093587234;
C1COCCN1,117861,55:05500:0:Z2975820898;55:05500:0:Z3515342615;55:05500:0:Z2217556535;
Clc1cscn1,3050,55:05500:0:Z2784773261;55:05500:0:Z2217556535;55:05500:0:Z4340216135;
O=C1NCCC12CCC2,461,55:05500:0:Z4210407901;55:05500:0:Z4206554856;55:05500:0:Z4043336800;
Clc1cccc2c1CC2,227,55:05500:0:Z2706201027;55:05500:3:Z3055568824;55:05500:7:Z3799242089;
Cn1nccc1Cl,3967,55:05500:0:Z2264292092;55:05500:0:Z3653670694;55:05500:0:Z2874915082;
Fc1cc(F)cc(Cl)c1,283,55:05500:0:Z4869830845;55:05500:1:Z3841341044;55:05500:1:Z3175268668;
Cc1ncon1,11565,55:05500:0:Z4487014226;55:05500:0:Z3046453661;55:05500:0:Z4405232851;
c1cocn1,51577,55:05500:0:Z4487014226;55:05500:0:Z4264035127;55:05500:0:Z1741141349;
c1cnccn1,30290,55:05500:0:Z4340217469;55:05500:0:Z3566852567;55:05500:0:Z2801926932;
Cc1cccc(C)n1,3272,55:05500:0:Z4340217469;55:05500:0:Z1724109770;55:05500:0:Z2706004831;
CC1COCCN1,7291,55:05500:0:Z1538028127;55:05500:0:Z2481329541;55:05500:0:Z3821322232;
Cn1ccnn1,14059,55:05500:0:Z2143687563;55:05500:0:Z3870445226;55:05500:0:Z4469233594;
Cc1ccccc1,173910,55:05500:0:Z1127068035;55:05500:0:Z3597784624;55:05500:0:Z4187744078;
c1nnn[nH]1,24133,55:05500:0:Z1127068035;55:05500:0:Z1318780603;55:05500:0:Z2224938381;
CC1OC2(C)CC1C2,246,55:05500:0:Z3622515426;55:05500:4:Z3440008917;55:05500:5:Z3437568162;
O=c1cc[nH]cn1,523,55:05500:0:Z2850878303;55:05500:1:Z4341693707;55:05500:2:Z4194287095;
c1ccc2[nH]cnc2c1,13862,55:05500:0:Z2850878303;55:05500:0:Z2804382914;55:05500:0:Z1528281935;
CN1CCC2NCCCC21,355,55:05500:0:Z4186017974;55:05500:1:Z4271190322;55:05500:2:Z4157290882;
Cn1cc2c(n1)CCC2,1069,55:05500:0:Z2971558690;55:05500:0:Z3472158047;55:05500:1:Z3294501165;
CC1CCCCC1,17326,55:05500:0:Z1667828734;55:05500:0:Z1680739925;55:05500:0:Z4611489450;
Cc1ccncn1,17734,55:05500:0:Z3647212526;55:05500:0:Z4403796251;55:05500:0:Z4403796257;
CC1(C)CCCCC1O,407,55:05500:0:Z3647212526;55:05500:2:Z3701955186;55:05500:3:Z3570709973;
C1CNCCOC1,13696,55:05500:0:Z3318167156;55:05500:0:Z4643245109;55:05500:0:Z3532035852;
O=c1cc[nH]c2ccnn12,287,55:05500:0:Z3318167156;55:05500:8:Z3343415149;55:05500:9:Z1588706428;
