fragment_smiles,occurences,example_ligands
C1CCCOCC1,1789,47:04700:0:Z1765256276;47:04700:0:Z1603504505;47:04700:1:Z3652328327;
CC1(C)CC2CCCOC21,449,47:04700:0:Z4412440324;47:04700:0:Z1665805444;47:04700:0:Z1678030162;
Clc1cnn[nH]1,221,47:04700:0:Z4282316506;47:04700:2:Z3845210656;47:04700:7:Z3794388498;
Cc1coc2ccccc12,2001,47:04700:0:Z4051585290;47:04700:0:Z65835735;47:04700:1:Z1796387684;
C1CC2CC2CO1,2283,47:04700:0:Z4051585290;47:04700:1:Z3843851184;47:04700:1:Z5064799206;
OC1CCC12CCNCC2,1259,47:04700:0:Z4279492382;47:04700:0:Z4272789946;47:04700:0:Z4272860057;
CC1(C)CNCCCN1,125,47:04700:0:Z3555054144;47:04700:5:Z3694638392;47:04700:7:Z3593593313;
c1ccc2c(c1)CCC1CC21,311,47:04700:0:Z3555054144;47:04700:4:Z1461382066;47:04701:1:Z1523320194;
C1OC2CC1C2,5764,47:04700:0:Z4075227675;47:04700:0:Z3559704165;47:04700:0:Z4405778449;
CC1(C)CCC1N,637,47:04700:0:Z4175652960;47:04700:1:Z3136632627;47:04700:2:Z3135444960;
FC(F)=C1CCNCC1,327,47:04700:0:Z2881554669;47:04700:0:Z3683495705;47:04700:6:Z4870013905;
CN1CCNc2cncnc21,100,47:04700:0:Z4132908786;47:04700:1:Z4132917714;47:04701:8:Z4929290403;
c1cnsn1,1569,47:04700:0:Z810430598;47:04700:1:Z3381817755;47:04700:1:Z756807498;
CC1CCC2(CCNC2)C1,257,47:04700:0:Z3382779870;47:04700:5:Z3998553740;47:04700:8:Z2378606399;
Cc1cnc(C)c(C)n1,1010,47:04700:0:Z3503703519;47:04700:0:Z4295466297;47:04700:1:Z3656754020;
c1ccc2c(c1)CCCCO2,1300,47:04700:0:Z3503703519;47:04700:0:Z3198109524;47:04700:0:Z2920024140;
OC1CCC2CCNC1C2,173,47:04700:0:Z4261856591;47:04700:0:Z4274244845;47:04702:3:Z3584999745;
C1CNCC2(C1)CCO2,379,47:04700:0:Z3624379068;47:04700:2:Z4246704211;47:04701:1:Z3440562662;
Cc1ccsn1,2870,47:04700:0:Z3599333187;47:04700:0:Z1334283684;47:04700:1:Z3340635913;
O=C1CC2(CCCCC2)C1,377,47:04700:0:Z4577526678;47:04700:0:Z4422380703;47:04700:1:Z3612425179;
Cc1ccc2nccc(C)c2c1,147,47:04700:0:Z2033480225;47:04700:0:Z2044449266;47:04700:1:Z2077357150;
Fc1ccc2occc2c1,1571,47:04700:0:Z4305412114;47:04700:0:Z4240396158;47:04700:0:Z4876661200;
O=S1CCCC1,313,47:04700:0:Z2455770604;47:04700:0:Z1572214852;47:04700:8:Z2837700599;
Oc1ccnc2c(F)c(F)ccc12,39,47:04700:0:Z2455770604;47:04705:4:Z2456414145;47:04705:4:Z2456796842;
Cc1ccc2c(c1)OCCN2,229,47:04700:0:Z4400668265;47:04700:0:Z1952278311;47:04700:5:Z1883352964;
CN1CCCCC1,18789,47:04700:0:Z1873250465;47:04700:0:Z2878761761;47:04700:0:Z1931589708;
O=C1CCCc2occc2N1,253,47:04700:0:Z3641148569;47:04700:4:Z3909004910;47:04700:4:Z3874383693;
Cn1nnc2ccccc21,2812,47:04700:0:Z4775932066;47:04700:0:Z3365126994;47:04700:1:Z3576358886;
O=c1ccc2c([nH]1)CCCCC2,182,47:04700:0:Z1239986114;47:04700:3:Z2014417300;47:04701:5:Z3855458879;
C1COC2(C1)CCOC2,1662,47:04700:0:Z3307888217;47:04700:2:Z3873043931;47:04700:2:Z3588409643;
c1ccc2c(c1)NCC21CC1,185,47:04700:0:Z1249306750;47:04700:1:Z3819805415;47:04700:5:Z1883389788;
c1cc2c(cn1)CCC2,1620,47:04700:0:Z2295317747;47:04700:1:Z3175776088;47:04700:1:Z3366361668;
C1CNOC1,2081,47:04700:0:Z2715030109;47:04700:0:Z3356714428;47:04700:2:Z4218449506;
c1cc2c(s1)CCC2,1211,47:04700:0:Z3702214652;47:04700:0:Z1696014753;47:04700:0:Z4732667123;
FC1(F)CCNCC1,3252,47:04700:0:Z3627427329;47:04700:0:Z3831099879;47:04700:0:Z3831099998;
CN1CCNCC1=O,2940,47:04700:0:Z3055137339;47:04700:1:Z4591041974;47:04700:1:Z2998042531;
c1cn2cncc2s1,344,47:04700:0:Z3055137339;47:04700:1:Z1889662980;47:04700:3:Z3497563701;
CC1CCC(O)CC1,1595,47:04700:0:Z4169707230;47:04700:3:Z2711798231;47:04700:3:Z3362337566;
c1cnn2nccc2c1,882,47:04700:0:Z4169707230;47:04700:0:Z1695772732;47:04700:1:Z4232561120;
CC1CCOC1,6665,47:04700:0:Z2932894670;47:04700:0:Z3538625657;47:04700:0:Z1674689076;
Cc1nn(C)cc1Cl,771,47:04700:0:Z4024015634;47:04700:0:Z3596221204;47:04700:3:Z3937959268;
CC1(C)OC2C3CNC(C3)C2O1,189,47:04700:0:Z4024015634;47:04700:4:Z4024013046;47:04701:1:Z3996997767;
Fc1cccc2ccoc12,1097,47:04700:0:Z3356549271;47:04700:0:Z3295160745;47:04700:1:Z1280875557;
C1CC2(CCN1)COCCN2,233,47:04700:0:Z3701469120;47:04700:0:Z3701466737;47:04700:4:Z3701472620;
Nc1ncsn1,275,47:04700:0:Z3198945700;47:04700:4:Z2438696074;47:04700:4:Z3192360484;
c1cnc2oncc2c1,1149,47:04700:0:Z2012588667;47:04700:2:Z4387262374;47:04700:3:Z4424274929;
C1CC2CCC1O2,6634,47:04700:0:Z2347942934;47:04700:0:Z2925236214;47:04700:0:Z4770780497;
OC1CC2(CCC2)C1,1059,47:04700:0:Z3898653859;47:04700:0:Z4294310460;47:04700:0:Z3644029182;
Cn1ncc2c1CCCC2,2307,47:04700:0:Z3361910021;47:04700:0:Z2266872227;47:04700:1:Z1527193328;
Cc1cc(F)c2ncccc2c1,130,47:04700:0:Z3506541124;47:04700:2:Z3528590215;47:04701:3:Z4085228050;
c1ccc2c(c1)COCCN2,575,47:04700:0:Z4166724768;47:04700:6:Z4250423002;47:04700:7:Z3353725617;
c1ccc2snnc2c1,189,47:04700:0:Z4487311000;47:04700:5:Z4485167993;47:04700:8:Z4486918102;
Cc1ccccc1C,13243,47:04700:0:Z1928750356;47:04700:0:Z2899400664;47:04700:0:Z4335753537;
Cc1ccc2c(c1)COCC2,236,47:04700:0:Z5012351978;47:04700:2:Z5006406452;47:04700:5:Z5012973218;
CC1NCCNC1C,218,47:04700:0:Z3104555868;47:04700:5:Z2451672418;47:04700:5:Z4204176108;
Fc1ccc2c(c1)CC1CC21,217,47:04700:0:Z2615860085;47:04700:3:Z2815828304;47:04700:7:Z2648059337;
CC1CNCC(C)NC1,349,47:04700:0:Z3639351952;47:04700:1:Z3520062714;47:04700:2:Z3700122687;
c1ncc2ncsc2n1,622,47:04700:0:Z4466771893;47:04700:1:Z4274275065;47:04700:4:Z4272336119;
O=c1[nH]ncc2c[nH]nc12,4,47:04700:0:Z1689271371;47:04706:9:Z4150945531;47:04708:9:Z3064940616;
Cc1c2ccccc2nn1C,213,47:04700:0:Z2193777676;47:04700:0:Z2713625295;47:04700:0:Z3085373810;
Clc1ccco1,1668,47:04700:0:Z4051491373;47:04700:0:Z3470199898;47:04700:1:Z1499314502;
FC1(F)CCC2(CCCO2)CC1,87,47:04700:0:Z4459840370;47:04701:1:Z4460090527;47:04704:1:Z4451087373;
Cc1cnc2n1CCCC2,1955,47:04700:0:Z4481208211;47:04700:1:Z4242117716;47:04700:1:Z4176620233;
c1ncn2c1CCC2,833,47:04700:0:Z2691733405;47:04700:2:Z4608654160;47:04700:4:Z2691744535;
Cc1nc[nH]c(=O)c1C,82,47:04700:0:Z1838435091;47:04702:2:Z1838424537;47:04702:8:Z1838426666;
c1ccc2c(c1)OCCCO2,3233,47:04700:0:Z1838435091;47:04700:0:Z4483989221;47:04700:0:Z3555992504;
CC1Cc2ccccc2C1,948,47:04700:0:Z1461222839;47:04700:0:Z4109763386;47:04700:1:Z3552427516;
Cc1ccc2c(c1)CCC2,618,47:04700:0:Z3514207460;47:04700:0:Z1825011585;47:04700:2:Z2011970232;
NC1CC2CCC1C2,1097,47:04700:0:Z3798251313;47:04700:2:Z3634687937;47:04700:2:Z3698582616;
CN1CCNCCC1(C)C,291,47:04700:0:Z4000534248;47:04700:2:Z2815490759;47:04701:1:Z2784788161;
Fc1cccc2c1NCCC2,234,47:04700:0:Z3554351072;47:04700:4:Z4379927705;47:04700:5:Z278142522;
Oc1cccc2occc12,340,47:04700:0:Z3058254807;47:04700:7:Z2350523880;47:04701:0:Z2079764520;
C1COC2(C1)CNC2,1650,47:04700:0:Z3383149621;47:04700:1:Z4207294955;47:04700:1:Z4591106494;
c1cnc2c(c1)OCCNC2,293,47:04700:0:Z2791290495;47:04702:1:Z3137606661;47:04702:5:Z3818990353;
O=C1CSc2ccccc2N1,1734,47:04700:0:Z2877647343;47:04700:2:Z3173605859;47:04700:3:Z1431571251;
CC12CCCNC1CCC2,169,47:04700:0:Z3309140421;47:04700:1:Z3613939758;47:04701:5:Z3613936397;
NC1CNCC12CCC2,224,47:04700:0:Z3138955388;47:04700:7:Z3044417890;47:04702:2:Z4055119861;
c1ccc2[nH]nnc2c1,3325,47:04700:0:Z4326772652;47:04700:0:Z4264003836;47:04700:0:Z3878558398;
c1cc2c(cn1)CCCC2,1987,47:04700:0:Z4467563694;47:04700:0:Z2010960589;47:04700:0:Z3077901784;
CC12CCC(CO1)C2,2080,47:04700:0:Z4642860898;47:04700:0:Z4732667123;47:04700:0:Z4276400625;
O=c1[nH]c2ccccc2o1,3975,47:04700:0:Z2920483668;47:04700:0:Z4273650253;47:04700:0:Z2178143157;
CC1CCCC1C,411,47:04700:0:Z2457875530;47:04700:7:Z2928811486;47:04701:0:Z4006313480;
Clc1ccncn1,1792,47:04700:0:Z4223536254;47:04700:1:Z2861092234;47:04700:2:Z2969885074;
C1CC2CC1C1CC21,732,47:04700:0:Z3357158504;47:04700:0:Z4491501442;47:04700:0:Z4304368208;
Fc1cccc2cccnc12,1218,47:04700:0:Z2913023120;47:04700:0:Z4231126626;47:04700:2:Z3588725703;
CC1CC2CCC(C1)S2,450,47:04700:0:Z3591501106;47:04700:3:Z3053124640;47:04700:5:Z4572320477;
CN1C(=O)CSC12CCNCC2,266,47:04700:0:Z1645643975;47:04700:6:Z2712734105;47:04700:7:Z4268615063;
Oc1cccc(Cl)c1,1054,47:04700:0:Z1645643975;47:04700:0:Z2076525084;47:04700:0:Z4885203110;
CC1CCCCCCN1,132,47:04700:0:Z4025886641;47:04700:1:Z4004406211;47:04700:8:Z4042441314;
O=c1occc2ccccc12,413,47:04700:0:Z4025886641;47:04700:1:Z3639767255;47:04701:0:Z2407091699;
CN1CCn2nccc2C1=O,425,47:04700:0:Z3672871014;47:04700:7:Z3091341234;47:04700:7:Z3842764474;
Fc1ccn[nH]1,382,47:04700:0:Z2715582213;47:04700:2:Z2714234335;47:04700:6:Z4504282525;
C1CC2(C1)CCNC2,6159,47:04700:0:Z3524247333;47:04700:0:Z1883108885;47:04700:1:Z3322916355;
c1cc2[nH]ccc2cn1,737,47:04700:0:Z3524247333;47:04700:0:Z4240166330;47:04700:0:Z4343657374;
O=C1COCCN1,2202,47:04700:0:Z2698990595;47:04700:0:Z1333766000;47:04700:0:Z5048350506;
c1ccc2c(c1)CNCCO2,2683,47:04700:0:Z3009621464;47:04700:0:Z3137131987;47:04700:0:Z3295770429;
Oc1cccnc1,2779,47:04700:0:Z4294620765;47:04700:0:Z3652035550;47:04700:1:Z1928038968;
CC1(C)CNCCO1,7335,47:04700:0:Z3344716543;47:04700:0:Z4886343820;47:04700:0:Z1928690294;
CC1CCCCO1,5877,47:04700:0:Z2335088812;47:04700:0:Z4350249731;47:04700:1:Z2928954601;
C1CNC2(C1)CCNC2,444,47:04700:0:Z3045989740;47:04700:3:Z3365229859;47:04701:1:Z4156679832;
Clc1ccc2ncncc2c1,91,47:04700:0:Z3830158375;47:04701:1:Z4343909359;47:04702:4:Z3830163353;
NC1CC2(CCOCC2)C1,142,47:04700:0:Z4062525206;47:04701:3:Z3830598289;47:04701:6:Z3380680839;
Cc1ccc2ccccc2c1,403,47:04700:0:Z2773309826;47:04700:3:Z3553632560;47:04701:1:Z2774316794;
CC12COC(C1)C2,450,47:04700:0:Z3872404434;47:04700:2:Z3914766866;47:04700:4:Z3179865871;
CC1CNC2CCCCC2O1,205,47:04700:0:Z1616400930;47:04701:0:Z1208171109;47:04703:3:Z2269086699;
CN1CCC1,1501,47:04700:0:Z2645170279;47:04700:3:Z3204608073;47:04700:4:Z3177285571;
N=S1(=O)CCCC1,1247,47:04700:0:Z3620792170;47:04700:1:Z4166367030;47:04700:2:Z4206614899;
C1CCC2(CC1)COCCO2,604,47:04700:0:Z3620792170;47:04700:0:Z3602926264;47:04700:3:Z3357379887;
CC1OC2CC1C2,701,47:04700:0:Z4485708644;47:04700:2:Z4349881288;47:04701:4:Z4351846354;
Oc1ccc2c(n1)NCCC2,150,47:04700:0:Z3579534394;47:04700:0:Z3534715186;47:04700:9:Z4352531333;
OC1CNC2(CCC2)C1,281,47:04700:0:Z3475634539;47:04700:1:Z3628543396;47:04701:0:Z3408414999;
Cc1cc(Cl)cc2[nH]ccc12,118,47:04700:0:Z4173813499;47:04700:1:Z4224500185;47:04701:1:Z3388464976;
C1CC2SCCSC2C1,353,47:04700:0:Z2271571459;47:04700:3:Z2331513938;47:04700:3:Z2206740560;
CC1(C)CNCC(O)C(O)C1,261,47:04700:0:Z3912802339;47:04700:0:Z3822890532;47:04700:4:Z3818089123;
C1COCO1,9025,47:04700:0:Z3595849876;47:04700:0:Z3321000808;47:04700:0:Z3619974527;
CC1(C)CCCO1,4888,47:04700:0:Z3595849876;47:04700:0:Z2274087509;47:04700:0:Z2710527868;
CC1CCC(C)O1,1398,47:04700:0:Z2783027743;47:04700:0:Z2353066586;47:04700:0:Z2335134145;
FC1(F)CC12CCNCC2,395,47:04700:0:Z2483862793;47:04700:0:Z2481127026;47:04700:0:Z4410317254;
CC1(O)CCCCC1,1308,47:04700:0:Z2955507487;47:04700:0:Z1906037313;47:04700:2:Z1905222776;
c1nnc2n1CCCCC2,2177,47:04700:0:Z744343350;47:04700:0:Z1575223646;47:04700:0:Z1920245820;
CC1CNCCC(F)(F)C1,311,47:04700:0:Z3694637519;47:04700:2:Z3597782551;47:04700:3:Z4272252180;
Cn1ccc2cncnc21,314,47:04700:0:Z3393941271;47:04700:4:Z4648059480;47:04700:7:Z4467510657;
Fc1cccc2sccc12,462,47:04700:0:Z2911529692;47:04700:2:Z435298120;47:04700:4:Z3593569095;
CC1CC1(F)F,3081,47:04700:0:Z4669803687;47:04700:0:Z3310871613;47:04700:0:Z3434186940;
FC1(F)CC2CCC(C1)N2,332,47:04700:0:Z2717472138;47:04700:0:Z3575386344;47:04700:6:Z2705535366;
FC1CCCCC1,6939,47:04700:0:Z2776186492;47:04700:0:Z2406804293;47:04700:0:Z4204262471;
C1CC2CCOC2C1,3070,47:04700:0:Z2794789254;47:04700:0:Z2931679190;47:04700:0:Z3606506330;
Fc1ccc2cnccc2c1,800,47:04700:0:Z2794789254;47:04700:1:Z3795760057;47:04700:1:Z3795724828;
Cc1ncoc1C,1327,47:04700:0:Z4352212753;47:04700:3:Z3193241353;47:04700:3:Z1173819891;
O=c1cc[nH]c2ccccc12,886,47:04700:0:Z2225290437;47:04700:0:Z2615934292;47:04700:1:Z1175911380;
Cc1cc(F)n(C)n1,446,47:04700:0:Z2960730582;47:04700:1:Z3010843474;47:04700:2:Z2955946354;
Cc1ccc(C)s1,3702,47:04700:0:Z738280594;47:04700:0:Z4582138152;47:04700:1:Z3438099967;
Clc1cccc2[nH]cnc12,127,47:04700:0:Z3538094180;47:04700:0:Z4623157930;47:04700:7:Z3172540833;
Cc1csc2ccccc12,706,47:04700:0:Z1445479125;47:04700:0:Z4980313062;47:04700:3:Z4975630669;
NC12CCC(CC1)CC2,94,47:04700:0:Z4058978477;47:04700:0:Z3517680967;47:04701:0:Z3513172070;
O=C1Cc2ccccc2N1,2920,47:04700:0:Z4492802052;47:04700:1:Z3794294196;47:04700:2:Z3597782551;
C1CC2CNCC1N2,887,47:04700:0:Z2872775822;47:04700:2:Z2607430226;47:04700:3:Z2731845979;
CC1(C)CCO1,226,47:04700:0:Z4319988867;47:04701:1:Z4352746954;47:04702:0:Z4319638326;
Cc1ncn(C)n1,115,47:04700:0:Z3293298190;47:04700:1:Z2010221353;47:04702:2:Z1667553390;
C1CCC2(CC1)CNC2,799,47:04700:0:Z4600205840;47:04700:0:Z4484942768;47:04700:0:Z4473481541;
c1nc2c(s1)CCCC2,3996,47:04700:0:Z4284514995;47:04700:0:Z3509471239;47:04700:0:Z3351951832;
NC1CCNC1,4149,47:04700:0:Z3134372507;47:04700:0:Z4157137223;47:04700:0:Z4029512114;
Clc1cccc2nonc12,98,47:04700:0:Z2792514825;47:04700:4:Z4279246250;47:04701:7:Z2214078517;
CC1(C)CCCN1,8575,47:04700:0:Z3196167405;47:04700:0:Z4273650253;47:04700:0:Z3655107919;
CC1CCCC(C)(C)C1,855,47:04700:0:Z1316026043;47:04700:0:Z1732030476;47:04700:1:Z1173970570;
C1CCC2(C1)CNC2,1462,47:04700:0:Z2605625116;47:04700:2:Z4145214854;47:04700:2:Z1748489217;
FC1(F)CNCCNC1,237,47:04700:0:Z3384471681;47:04700:1:Z3364546434;47:04700:2:Z3319595947;
OC1CC2CCC1C2,2122,47:04700:0:Z2228245721;47:04700:1:Z4643939689;47:04700:2:Z3056166455;
O=c1[nH]c2ccc(Cl)cc2o1,124,47:04700:0:Z1685116028;47:04700:5:Z1817913788;47:04700:5:Z1786416154;
C1COC2CC2N1,855,47:04700:0:Z4116400732;47:04700:2:Z4520621060;47:04700:4:Z3372994164;
Clc1nccs1,1717,47:04700:0:Z3571092293;47:04700:0:Z2046476577;47:04700:0:Z1715284833;
C1CCC2OCCC2C1,2367,47:04700:0:Z3696900373;47:04700:1:Z3583958249;47:04700:2:Z4406903569;
O=c1[nH]ccc2ccccc12,1751,47:04700:0:Z2919813659;47:04700:0:Z2115384402;47:04700:0:Z2330513404;
c1noc2c1CSCC2,123,47:04700:0:Z4579742017;47:04702:2:Z4389256223;47:04703:1:Z4389033200;
O=C1CCCNCC1,152,47:04700:0:Z3633072577;47:04701:2:Z3622374878;47:04701:4:Z4503828047;
NC1CCC1,7029,47:04700:0:Z4447605629;47:04700:0:Z2447549592;47:04700:1:Z4447713052;
NC1CNCC(F)C1,177,47:04700:0:Z3831974681;47:04701:6:Z3831997620;47:04701:7:Z3836487720;
Cc1cc2ccoc2cc1C,597,47:04700:0:Z2911988111;47:04700:1:Z1719933395;47:04700:2:Z1715713430;
Cc1ccc(=O)n(C)c1,353,47:04700:0:Z1441641332;47:04700:2:Z1441647980;47:04700:9:Z1441648149;
c1cc2n(n1)NCCC2,310,47:04700:0:Z4295011117;47:04700:3:Z4290595783;47:04700:5:Z4294262144;
CN1CCN(C)CC1,927,47:04700:0:Z3196926654;47:04700:0:Z1885280516;47:04700:0:Z4269553603;
NC1CC2CCCC2C1,139,47:04700:0:Z4422380703;47:04700:8:Z4422387207;47:04701:0:Z4422387318;
Cc1csc2nc[nH]c(=O)c12,307,47:04700:0:Z46178786;47:04701:3:Z4000153944;47:04701:5:Z4129619951;
O=c1[nH]cnc2sc3c(c12)CCCC3,90,47:04700:0:Z3511467459;47:04700:3:Z3790510096;47:04704:5:Z2904204955;
CC1COC1,2777,47:04700:0:Z4172788282;47:04700:0:Z3611876322;47:04700:0:Z2790326783;
O=C1NCCCN1,1331,47:04700:0:Z4172788282;47:04700:0:Z1492883839;47:04700:0:Z2850386401;
Cc1nn(C)c2ncccc12,1618,47:04700:0:Z3819643009;47:04700:1:Z1411087973;47:04700:3:Z3357273488;
CC1CC2(CNC2)CO1,342,47:04700:0:Z3819643009;47:04700:2:Z3898442605;47:04700:3:Z3819642567;
C1CCC2CC2CC1,1148,47:04700:0:Z4106373835;47:04700:0:Z4137970652;47:04700:0:Z4577506914;
Cn1ncc2cncnc21,547,47:04700:0:Z1627624031;47:04700:2:Z1498356279;47:04700:2:Z729095364;
Cc1cc(C)n2ncnc2n1,855,47:04700:0:Z3612069868;47:04700:2:Z4471042290;47:04700:2:Z144445542;
O=C1CNCC2(CC2)N1,458,47:04700:0:Z3612069868;47:04700:1:Z3310930949;47:04700:3:Z3597409173;
CC1CCS(=O)(=O)N1C,344,47:04700:0:Z3578629182;47:04700:0:Z3819596753;47:04700:3:Z3570776034;
C1CCN2CCNCC2C1,451,47:04700:0:Z3578629182;47:04700:1:Z1337798662;47:04700:4:Z4302540539;
Cc1cc(C)c2c(c1)CNCC2,216,47:04700:0:Z4507099071;47:04700:8:Z3300241349;47:04700:9:Z4504603535;
O=C1CCNCC1,823,47:04700:0:Z4264684139;47:04700:0:Z5034660000;47:04700:1:Z4478088700;
OC1CCC2CNCCC2C1,294,47:04700:0:Z3471394113;47:04700:0:Z2580677791;47:04700:3:Z2714205613;
Fc1ccc2nn[nH]c2c1,260,47:04700:0:Z3655107919;47:04700:4:Z4182593386;47:04700:6:Z3599747315;
Cc1cc2ccccc2n(C)c1=O,167,47:04700:0:Z4062291535;47:04702:8:Z3624154324;47:04703:1:Z3011222113;
CC1CC(N)C1,417,47:04700:0:Z4062291535;47:04700:3:Z3522632431;47:04700:6:Z3793936757;
Cc1[nH]nc2ncccc12,257,47:04700:0:Z1576638992;47:04701:9:Z3590479727;47:04701:9:Z1166364479;
C1CCC2(CCC2)OC1,3878,47:04700:0:Z3508289445;47:04700:0:Z3659900845;47:04700:1:Z3408906936;
C1CCC2(C1)CCCO2,2259,47:04700:0:Z3516818061;47:04700:1:Z3681389990;47:04700:1:Z2877001837;
C1CC2(CCN1)CCN2,268,47:04700:0:Z2376799885;47:04700:0:Z4054316726;47:04700:4:Z3113589494;
Fc1cccc2c1CNCCO2,250,47:04700:0:Z4270558124;47:04701:5:Z2013125374;47:04701:9:Z4152448410;
C1CC2(CCO1)CCO2,727,47:04700:0:Z4240396158;47:04700:0:Z4267477884;47:04700:0:Z4240272630;
CC1(C)CNCCC(=O)C1,218,47:04700:0:Z2718587275;47:04700:6:Z2718586256;47:04700:9:Z2883585253;
CN1C(C)(C)CCS1(=O)=O,268,47:04700:0:Z3685658071;47:04700:4:Z3605587558;47:04700:5:Z3685654369;
Clc1ccc2c(c1)CCO2,2531,47:04700:0:Z1666860954;47:04700:0:Z1902003984;47:04700:0:Z1852368342;
Fc1ccc2ccoc2c1,786,47:04700:0:Z1382642916;47:04700:0:Z2475895396;47:04700:1:Z1333371306;
CC1(C)CCC(=O)N1,1280,47:04700:0:Z3567898726;47:04700:1:Z4880288775;47:04700:1:Z3503617364;
Cc1cccc2scc(Cl)c12,98,47:04700:0:Z3058149947;47:04700:8:Z2720123550;47:04701:1:Z281042080;
C1CSCCS1,1160,47:04700:0:Z3180182450;47:04700:0:Z4318217945;47:04700:0:Z1391254778;
O=S1C2CCNCC1CC2,371,47:04700:0:Z2720050091;47:04700:3:Z2915634207;47:04700:6:Z4112133564;
O=C1NCCn2cnnc21,223,47:04700:0:Z3204499699;47:04700:1:Z2870769615;47:04700:3:Z3833572868;
c1nc2c(s1)CCC2,2397,47:04700:0:Z4315409695;47:04700:0:Z2919468762;47:04700:0:Z3054104213;
CC1CCCC(=O)N1,2261,47:04700:0:Z3173977761;47:04700:0:Z2662225699;47:04700:0:Z3679321396;
Cn1cnc2c1c(=O)[nH]c(=O)n2C,143,47:04700:0:Z900165310;47:04700:2:Z1465161079;47:04701:4:Z1217948572;
Cc1cc(=O)cn[nH]1,365,47:04700:0:Z2019999429;47:04701:1:Z2019992101;47:04701:1:Z4771583019;
Cc1ccn2nc(C)cc2n1,371,47:04700:0:Z3093325700;47:04700:0:Z3344198875;47:04700:5:Z3710681021;
C1COC2CCC2C1,989,47:04700:0:Z3093325700;47:04700:0:Z3344198875;47:04700:0:Z3683531519;
Fc1cncc(Cl)c1,384,47:04700:0:Z2051981418;47:04700:1:Z2409720511;47:04700:2:Z3558636220;
c1nc2c([nH]1)CCCC2,2612,47:04700:0:Z2051981418;47:04700:0:Z4387055921;47:04700:1:Z3344945766;
Cc1cnn2cccnc12,484,47:04700:0:Z3177549497;47:04700:1:Z4473760027;47:04700:2:Z3557603814;
C1CC2CNC2C1,668,47:04700:0:Z3177549497;47:04700:4:Z3586337837;47:04700:5:Z1240560561;
c1ncc2sccc2n1,579,47:04700:0:Z646276722;47:04700:1:Z2590285375;47:04700:2:Z4225947172;
C1CCC2NCCNC2C1,142,47:04700:0:Z3493714260;47:04700:1:Z3522133990;47:04700:7:Z3829652092;
Cc1cccc2c1NC(=O)CC2,10,47:04700:0:Z3340268350;47:04712:3:Z4187811977;47:04729:0:Z3340271126;
Cc1c[nH]nn1,1038,47:04700:0:Z3052916446;47:04700:2:Z3828656283;47:04700:3:Z2882891196;
CN1C(=O)CNc2ccccc21,194,47:04700:0:Z4113504997;47:04700:9:Z4113499467;47:04701:7:Z4113496422;
c1cnc2cncn2c1,240,47:04700:0:Z3626703526;47:04700:2:Z2696269665;47:04701:2:Z2696260814;
C1CCC2(CC1)CCCCNC2,83,47:04700:0:Z3626703526;47:04701:0:Z3532046511;47:04701:3:Z3626702809;
CC1CCC(=O)NC1,877,47:04700:0:Z2368834006;47:04700:1:Z4344488082;47:04700:2:Z2457970110;
Clc1ccc2cc[nH]c2c1,1329,47:04700:0:Z365141612;47:04700:1:Z2500661851;47:04700:1:Z4054144819;
CC1(C)CCCCC1O,406,47:04700:0:Z4611687224;47:04700:4:Z4883307689;47:04700:6:Z3647212183;
Cc1cc[nH]c1,1673,47:04700:0:Z3841131429;47:04700:0:Z5019060866;47:04700:1:Z3577115905;
C1CCC2(C1)CNCCO2,599,47:04700:0:Z3671055110;47:04700:1:Z4578521663;47:04700:1:Z1440163227;
O=c1ccc2c([nH]1)CCCC2,1174,47:04700:0:Z1168999111;47:04700:1:Z2605723917;47:04700:1:Z3613939758;
C1CC2CCC2N1,2523,47:04700:0:Z4773486605;47:04700:0:Z2850643624;47:04700:0:Z3520908510;
O=S1(=O)CCC2(CCCN2)CC1,262,47:04700:0:Z3587180091;47:04700:4:Z4771093043;47:04700:7:Z3093853083;
CC12CNCC1C2,1112,47:04700:0:Z3831845640;47:04700:1:Z3056358372;47:04700:2:Z3644550060;
FC1(F)CC12CC1CCC(C2)N1,187,47:04700:0:Z2918605681;47:04701:0:Z3671128174;47:04701:4:Z3949005038;
Cc1cc(Cl)on1,657,47:04700:0:Z2506505628;47:04700:1:Z4055152842;47:04700:6:Z3657399295;
O=c1ccnc2scnn12,638,47:04700:0:Z2179861016;47:04700:4:Z2199642896;47:04700:6:Z1212721516;
c1ccc2[nH]ncc2c1,8251,47:04700:0:Z2991478608;47:04700:0:Z3058468595;47:04700:0:Z1223965152;
Oc1ccncn1,2302,47:04700:0:Z1411684822;47:04700:0:Z1521590182;47:04700:1:Z3615697247;
Cc1ccc2nonc2c1,198,47:04700:0:Z5058223168;47:04700:3:Z4274658416;47:04700:6:Z4079325784;
c1cnc2[nH]nnc2c1,248,47:04700:0:Z2710527868;47:04700:7:Z4883788753;47:04701:3:Z3815041269;
Cn1ccn(C)c1=O,347,47:04700:0:Z4472863888;47:04701:1:Z2903046171;47:04701:3:Z4475943211;
Cc1noc2ncncc12,176,47:04700:0:Z2093419294;47:04700:3:Z1999980465;47:04700:3:Z3562306105;
C1COCC2(COC2)N1,189,47:04700:0:Z4537868783;47:04700:1:Z4594842354;47:04700:5:Z4594844215;
