fragment_smiles,occurences,example_ligands
Cc1cc[nH]c(=O)c1,1656927,193:19300:0:PV-006644527079;193:19300:0:PV-000522622356;193:19300:0:PV-003034698404;;
C1CC2(CCNC2)CN1,1610345,193:19300:0:PV-006644527123;193:19300:0:PV-006644535730;193:19300:0:PV-003034698414;;
C1CC2CC2C1,10700606,193:19300:0:PV-006644527131;193:19300:0:PV-006644527132;193:19300:0:PV-006644527133;;
C1CCOC1,64582970,193:19300:0:PV-006644527137;193:19300:0:PV-006644527138;193:19300:0:PV-006644529954;;
Cc1cc(Cl)on1,602593,193:19300:0:PV-006644527177;193:19300:0:PV-006644527178;193:19300:0:PV-006644558479;;
CC1CCC1,19201332,193:19300:0:PV-006644527177;193:19300:0:PV-006644527178;193:19300:0:PV-006644551835;;
c1cnc2ccncc2c1,1423586,193:19300:0:PV-006644527202;193:19300:0:PV-006644527203;193:19300:0:PV-003034703411;;
C1NCC2CC1C2,470709,193:19300:0:PV-006644527238;193:19300:1:PV-003884917134;193:19300:2:PV-006644615957;;
CC1CCCCN1,22526351,193:19300:0:PV-006644527281;193:19300:0:PV-006644527282;193:19300:0:PV-006644532390;;
Cc1cncs1,3967405,193:19300:0:PV-006644527281;193:19300:0:PV-006644527282;193:19300:0:PV-006644544233;;
Cc1csc(C)n1,2217085,193:19300:0:PV-006644527365;193:19300:0:PV-006644527366;193:19300:0:PV-004136961225;;
c1cc2c(s1)CCCC2,1196689,193:19300:0:PV-006644527373;193:19300:0:PV-006644560493;193:19300:0:PV-006644560494;;
CC1=CCCCO1,1250630,193:19300:0:PV-006644527385;193:19300:0:PV-006644555032;193:19300:0:PV-003884908194;;
Fc1ccc(Cl)cc1,2173940,193:19300:0:PV-006644527385;193:19300:0:PV-006644560281;193:19300:0:PV-004136962977;;
C1CC2CCC2N1,3267665,193:19300:0:PV-006644527418;193:19300:0:PV-006644541283;193:19300:0:PV-003884893277;;
Cc1nncs1,1821638,193:19300:0:PV-006644527418;193:19300:0:PV-006644556485;193:19300:0:PV-006644556486;;
C1CC2CNCC2C1,5400732,193:19300:0:PV-006644527444;193:19300:0:PV-006644530519;193:19300:0:PV-006644546512;;
CC1(C)CCCO1,2359314,193:19300:0:PV-006644527541;193:19300:0:PV-006644527542;193:19300:0:PV-006644527543;;
Cc1ccccn1,20002364,193:19300:0:PV-006644527665;193:19300:0:PV-006644531778;193:19300:0:PV-006644531779;;
CC1(C)CC1,11256342,193:19300:0:PV-006644527665;193:19300:0:PV-006644528949;193:19300:0:PV-006644530519;;
c1cnc2nccnc2c1,522352,193:19300:0:PV-006644527733;193:19300:0:PV-006644527734;193:19300:0:PV-003884897434;;
C1CC2(CCO1)CC2,850627,193:19300:0:PV-006644527749;193:19300:0:PV-003884910161;193:19300:0:PV-003884910162;;
C1=CSCS1,889518,193:19300:0:PV-006644527790;193:19300:0:PV-006644528130;193:19300:0:PV-006644535251;;
O=C1CSCCN1,829162,193:19300:0:PV-006644527791;193:19300:1:PV-004136970093;193:19300:1:PV-004136970094;;
CC1(C)CCCCO1,3376901,193:19300:0:PV-006644527978;193:19300:0:PV-006644540225;193:19300:0:PV-003884896600;;
c1cnc2cc[nH]c2c1,3555747,193:19300:0:PV-006644528011;193:19300:0:PV-006644528012;193:19300:0:PV-006644544191;;
c1nnc[nH]1,11036341,193:19300:0:PV-006644528035;193:19300:0:PV-003884892514;193:19300:0:PV-003034697505;;
c1cnn2ccnc2c1,1440248,193:19300:0:PV-006644528035;193:19300:0:PV-003884905052;193:19300:0:PV-003034704088;;
C1CNC2(C1)CCNC2,2170513,193:19300:0:PV-006644528143;193:19300:0:PV-003034700507;193:19300:0:PV-003034702594;;
Cn1ccnc1,17960962,193:19300:0:PV-006644528206;193:19300:0:PV-006644531812;193:19300:0:PV-006644533266;;
CC1(C)CCCNC1,8752276,193:19300:0:PV-006644528206;193:19300:0:PV-006644538560;193:19300:0:PV-000591448875;;
Cc1ccsc1C,3121038,193:19300:0:PV-006644528210;193:19300:0:PV-006644528211;193:19300:0:PV-006644528212;;
FC1CCC1,19619181,193:19300:0:PV-006644528210;193:19300:0:PV-006644528211;193:19300:0:PV-006644528212;;
CC1(C)CC1(F)F,1173710,193:19300:0:PV-006644528228;193:19300:0:PV-006644528229;193:19300:0:PV-003884898489;;
Clc1ccn2cncc2c1,139592,193:19300:0:PV-006644528271;193:19300:0:PV-006644528272;193:19300:3:PV-003884955032;;
O=c1[nH]ccs1,3533962,193:19300:0:PV-006644528307;193:19300:0:PV-006644533093;193:19300:0:PV-006644533094;;
