fragment_smiles,occurences,example_ligands
Cc1ncc2n1CCCC2,696,1:00100:0:Z2195026943;1:00100:0:Z4387119770;1:00100:4:Z3092343297;
Fc1ccccc1Cl,13280,1:00100:0:Z2195026943;1:00100:0:Z1931931191;1:00100:0:Z4256368695;
c1nc2n(n1)CCNC2,514,1:00100:0:Z2448368613;1:00100:2:Z1719626882;1:00100:3:Z2114411361;
Fc1ccccc1F,12596,1:00100:0:Z1815472372;1:00100:0:Z4203753657;1:00100:0:Z4203753646;
Cc1cccs1,19162,1:00100:0:Z1815472372;1:00100:0:Z2225722188;1:00100:0:Z4208058737;
Cc1ccccc1,94877,1:00100:0:Z1325538198;1:00100:0:Z2186193527;1:00100:0:Z4448827241;
Cc1cscn1,28981,1:00100:0:Z4234108421;1:00100:0:Z4328745222;1:00100:0:Z4328792062;
Fc1ccc2[nH]ccc2c1,844,1:00100:0:Z3800839905;1:00100:0:Z307656778;1:00100:1:Z2410971211;
FC1CCC1,19511,1:00100:0:Z3785850127;1:00100:0:Z4325637666;1:00100:0:Z3052926338;
C1CC2(CN1)COC2,1326,1:00100:0:Z3785850127;1:00100:1:Z2647661158;1:00100:1:Z2647660068;
C1CC2(C1)CCC2,13422,1:00100:0:Z4963514490;1:00100:0:Z4350237454;1:00100:0:Z3701484847;
c1occ2c1CCC2,453,1:00100:0:Z3174256811;1:00100:0:Z3174063303;1:00100:0:Z2910753616;
OC1CCCC1,20273,1:00100:0:Z2650291888;1:00100:0:Z3695737007;1:00100:0:Z4601245578;
Cc1cnc(C)cn1,639,1:00100:0:Z1687439297;1:00100:1:Z4328910679;1:00100:3:Z4425860885;
O=C1CCCCN1,20226,1:00100:0:Z4197520668;1:00100:0:Z3382313972;1:00100:0:Z4109472143;
Cc1cccnc1C,1116,1:00100:0:Z1751185302;1:00100:0:Z3056855377;1:00100:1:Z1436899830;
O=c1cccc[nH]1,13602,1:00100:0:Z4055190384;1:00100:0:Z3560180403;1:00100:0:Z3620031131;
c1cc2n(n1)CCCN2,1161,1:00100:0:Z2851617374;1:00100:1:Z4286689155;1:00100:2:Z4292247635;
CC1(N)CCC1,493,1:00100:0:Z3365910534;1:00100:4:Z3365910977;1:00101:0:Z4212889283;
CN1CCCCC1,16640,1:00100:0:Z2147429195;1:00100:0:Z4071597455;1:00100:0:Z3703982451;
c1cocn1,50711,1:00100:0:Z4199749451;1:00100:0:Z3527098893;1:00100:0:Z3602129147;
O=S1(=O)CCNCC1,3776,1:00100:0:Z4199749451;1:00100:0:Z4401537302;1:00100:0:Z2002034487;
NC1CCCCC1,10386,1:00100:0:Z3679869655;1:00100:0:Z3514858233;1:00100:0:Z3102008887;
C1CCC2(C1)CCOC2,1147,1:00100:0:Z3679869655;1:00100:1:Z3568714086;1:00100:1:Z3873536337;
Cc1cnc(C)[nH]1,717,1:00100:0:Z3367782059;1:00100:0:Z4293986964;1:00100:0:Z2659237077;
C1CSCCN1,11411,1:00100:0:Z1732975217;1:00100:0:Z1276137756;1:00100:0:Z3312341413;
CC1CCCNC1,19149,1:00100:0:Z2680731448;1:00100:0:Z3339709610;1:00100:0:Z2376804382;
Cc1ncccn1,8305,1:00100:0:Z4390838580;1:00100:0:Z3650004536;1:00100:0:Z3626701088;
C1CC2CCC1CO2,2636,1:00100:0:Z4482915920;1:00100:0:Z4401162883;1:00100:0:Z2966883426;
C1COCOC1,4040,1:00100:0:Z1742964198;1:00100:0:Z4573372190;1:00100:1:Z4349404409;
CN1CCC(O)C1,2191,1:00100:0:Z2121866658;1:00100:0:Z3587168702;1:00100:0:Z3587142367;
Cn1ccnc1,27404,1:00100:0:Z2121866658;1:00100:0:Z4146218271;1:00100:0:Z2159703688;
FC1(F)CC12CCCC2,1377,1:00100:0:Z3815694005;1:00100:0:Z3499884975;1:00100:0:Z3950726894;
C1CC2CNCC2C1,5531,1:00100:0:Z3093682424;1:00100:0:Z3173137343;1:00100:0:Z4055634811;
C1COCO1,8676,1:00100:0:Z3344233945;1:00100:0:Z2905397848;1:00100:0:Z4013838976;
Cn1cnc2ccccc21,2639,1:00100:0:Z4109769096;1:00100:0:Z1599144017;1:00100:0:Z2007126366;
CC1(C)CCCCO1,5838,1:00100:0:Z5045277307;1:00100:0:Z3048768331;1:00100:0:Z3877262229;
FC1(F)C2CCNCCC21,349,1:00100:0:Z5045277307;1:00100:0:Z3533411733;1:00100:1:Z3640882310;
Cn1nc[nH]c1=O,650,1:00100:0:Z3654350330;1:00100:0:Z4490811183;1:00100:3:Z4295054708;
O=S1(=O)CCNC2CCCCCN21,30,1:00100:0:Z3654350330;1:00102:5:Z3715402715;1:00104:3:Z4030950538;
CC1CCNCC1,15291,1:00100:0:Z4155465585;1:00100:0:Z3105687161;1:00100:0:Z2925182272;
Clc1ccncc1,4278,1:00100:0:Z4155465585;1:00100:0:Z4525060965;1:00100:0:Z3603610225;
CN1CCCC1=O,11403,1:00100:0:Z2962038997;1:00100:0:Z3855697058;1:00100:0:Z3529124228;
c1ncc2sccc2n1,697,1:00100:0:Z2962038997;1:00100:2:Z196135518;1:00100:2:Z2636245607;
FC1CNC1,5258,1:00100:0:Z3845661855;1:00100:0:Z3595928309;1:00100:0:Z1657856885;
C1CC2CNCC12,8375,1:00100:0:Z3418814247;1:00100:0:Z3059050642;1:00100:0:Z4213104017;
O=c1[nH]nco1,828,1:00100:0:Z3343882250;1:00100:4:Z4236552514;1:00100:5:Z2662353182;
FC1CCCC1,8857,1:00100:0:Z3343882250;1:00100:0:Z3791909495;1:00100:0:Z3791909735;
O=C1CCC2CNc3cccc1c32,40,1:00100:0:Z3300050431;1:00103:8:Z3514836161;1:00105:5:Z2042939543;
C1CCC2(C1)CNCCOC2,229,1:00100:0:Z3196526946;1:00100:1:Z1734200411;1:00100:3:Z4109632201;
CN1CCCC12CCOCC2,144,1:00100:0:Z4229468385;1:00100:2:Z3521657277;1:00100:4:Z3579254287;
FC(F)=C1CCCCC1,781,1:00100:0:Z4229468385;1:00100:1:Z4310594974;1:00100:2:Z3638650278;
Cc1ccon1,16262,1:00100:0:Z3366168009;1:00100:0:Z3644034568;1:00100:0:Z3354529092;
Cc1cc[nH]n1,20949,1:00100:0:Z4992488894;1:00100:0:Z747927730;1:00100:0:Z3396392142;
Fc1cncc(F)c1,1693,1:00100:0:Z2957313448;1:00100:1:Z2801224319;1:00100:2:Z4275283805;
Cn1cncn1,14359,1:00100:0:Z1582925277;1:00100:0:Z3630332042;1:00100:0:Z3294786305;
OC1CCCn2nccc21,136,1:00100:0:Z3369408645;1:00100:0:Z3355789446;1:00100:7:Z4055132205;
Cn1ccn2nccc12,298,1:00100:0:Z4107668605;1:00100:3:Z4221786034;1:00101:0:Z4104908886;
CC1(C)CNCC(F)(F)C1,265,1:00100:0:Z4107668605;1:00100:0:Z3705934944;1:00100:0:Z3643272336;
Cc1ccncc1,14106,1:00100:0:Z4562373097;1:00100:0:Z4381252286;1:00100:0:Z4317094683;
C1CCC2(CC1)CCCO2,1025,1:00100:0:Z4419323736;1:00100:0:Z1803377643;1:00100:3:Z2970981900;
CN1C2CNCC1C2,537,1:00100:0:Z4394838430;1:00100:2:Z4473601943;1:00100:3:Z4393614763;
C1COCC2(C1)CCC2,1740,1:00100:0:Z2974305576;1:00100:0:Z4341288590;1:00100:0:Z4344712423;
CC1CCCCO1,8196,1:00100:0:Z1620366284;1:00100:0:Z4345548180;1:00100:0:Z4590888613;
O=C1CNCCN1,10151,1:00100:0:Z1620366284;1:00100:0:Z2825180243;1:00100:0:Z4068334254;
c1nnn[nH]1,18514,1:00100:0:Z3496235420;1:00100:0:Z2872800797;1:00100:0:Z3855616345;
C1CC2OC1C1CC21,1592,1:00100:0:Z3496235420;1:00100:1:Z2952762719;1:00100:1:Z5034933036;
CC1(C)CCCCS1,520,1:00100:0:Z3618202705;1:00100:1:Z2964881579;1:00100:2:Z2964889565;
FC1(F)CCCCC1,10049,1:00100:0:Z2950682250;1:00100:0:Z2641008862;1:00100:0:Z2965450105;
C1CC2(CN1)OCCO2,931,1:00100:0:Z3831005622;1:00100:2:Z3697969600;1:00100:3:Z3467714978;
Cc1cnc[nH]1,3444,1:00100:0:Z2827756315;1:00100:0:Z3633259855;1:00100:0:Z2707454025;
CC1CC(N)CN1,538,1:00100:0:Z2827756315;1:00100:0:Z4207559942;1:00100:3:Z3891639862;
OC1CCC12CCC2,1957,1:00100:0:Z4256887494;1:00100:0:Z4256898865;1:00100:1:Z2802178066;
CC1NCCN(C)C1=O,609,1:00100:0:Z4198713452;1:00100:4:Z2948898027;1:00100:5:Z3798112352;
Fc1cc(F)cc(Cl)c1,278,1:00100:0:Z3347155584;1:00100:1:Z4975372852;1:00100:1:Z4860536420;
FC1CCCCNC1,319,1:00100:0:Z3347155584;1:00100:4:Z3510662708;1:00100:7:Z4055132205;
Cc1ncc[nH]1,8119,1:00100:0:Z2492099266;1:00100:0:Z5020324313;1:00100:0:Z4352187472;
c1ccc2[nH]cnc2c1,5816,1:00100:0:Z32002618;1:00100:0:Z1999613331;1:00100:0:Z4029942780;
Oc1cccc2c1CCCC2,214,1:00100:0:Z4053137437;1:00100:3:Z1833602583;1:00101:1:Z2717916549;
Cc1cc(C)nc(C)c1,729,1:00100:0:Z4595434851;1:00100:3:Z5035002794;1:00100:5:Z2763362038;
CC1CCC1,15536,1:00100:0:Z2103905479;1:00100:0:Z2332311342;1:00100:0:Z1515896906;
c1cc[nH]c1,25747,1:00100:0:Z2474137047;1:00100:0:Z2784336190;1:00100:0:Z3353190245;
CC1CCCCN1,16096,1:00100:0:Z2904272610;1:00100:0:Z3886711280;1:00100:0:Z2441057026;
Clc1ccco1,3804,1:00100:0:Z2904272610;1:00100:0:Z3886711280;1:00100:0:Z4277889696;
CC1CCCN1,24835,1:00100:0:Z3776298567;1:00100:0:Z3776298598;1:00100:0:Z3776287610;
Cn1cc(Cl)cn1,6037,1:00100:0:Z4421202402;1:00100:0:Z4353349860;1:00100:0:Z1783254654;
c1ccc2c(c1)CCOC2,5470,1:00100:0:Z3359972622;1:00100:0:Z3494952016;1:00100:0:Z2634991746;
CC1CCOC1C,1223,1:00100:0:Z4254747201;1:00100:0:Z3008088510;1:00100:0:Z1654864277;
FC1(F)CCC1,16146,1:00100:0:Z2186193527;1:00100:0:Z2437987711;1:00100:0:Z1864487090;
Cc1cc(C)on1,8808,1:00100:0:Z2438656945;1:00100:0:Z2286319829;1:00100:0:Z4013882681;
Clc1cc[nH]c1,1006,1:00100:0:Z1276137756;1:00100:1:Z3875151140;1:00100:2:Z3641859534;
c1nc[nH]n1,41364,1:00100:0:Z1569112695;1:00100:0:Z3364513790;1:00100:0:Z2311316867;
C1CNC2CNCC2C1,761,1:00100:0:Z1569112695;1:00100:3:Z3795345237;1:00100:3:Z4204039028;
Cc1cc(Cl)cc2c1NCCC2,30,1:00100:0:Z1310409212;1:00108:2:Z1663308966;1:00117:7:Z4112791970;
FC1CCCCCC1,412,1:00100:0:Z4048751512;1:00100:3:Z3797882146;1:00100:4:Z3808180902;
Clc1cccc2c1CCN2,248,1:00100:0:Z3527098893;1:00100:8:Z1404516417;1:00101:6:Z1883006049;
CC1(C)NCCNC1=O,604,1:00100:0:Z1744869914;1:00100:6:Z2347796897;1:00100:7:Z2952612024;
O=c1[nH]ncc2ccncc12,12,1:00100:0:Z4028057992;1:00103:5:Z4028061211;1:00106:2:Z4028061872;
Cc1cccc(C)c1,16239,1:00100:0:Z3408655432;1:00100:0:Z4875744577;1:00100:0:Z1389173222;
c1ccc2c(c1)CCO2,8541,1:00100:0:Z2773622055;1:00100:0:Z3563291497;1:00100:0:Z2905397848;
CC1CC1C,6324,1:00100:0:Z3669365781;1:00100:0:Z4021862806;1:00100:0:Z3634041902;
OC1CCc2ccccc2NC1,30,1:00100:0:Z3715497613;1:00102:4:Z4295633612;1:00104:1:Z3715502501;
c1cn2c(n1)CCCC2,5313,1:00100:0:Z1608048751;1:00100:0:Z2607743519;1:00100:0:Z2595427885;
Cc1ccsn1,6409,1:00100:0:Z1190973065;1:00100:0:Z2828647363;1:00100:0:Z4224080216;
Fc1cncnc1,2768,1:00100:0:Z4331451727;1:00100:0:Z3382321881;1:00100:1:Z3941015512;
