fragment_smiles,occurences,example_ligands
C1CC2CCC1CN2,2202,100:10000:0:Z2413612237;100:10000:0:Z3085975235;100:10000:0:Z3505942032;
FC1CCNC1,11916,100:10000:0:Z2012228536;100:10000:0:Z3056361623;100:10000:0:Z1365743400;
c1nnc[nH]1,56435,100:10000:0:Z3097744118;100:10000:0:Z3158547259;100:10000:0:Z3158526377;
O=c1cccn[nH]1,5710,100:10000:0:Z3097744118;100:10000:0:Z3060435288;100:10000:0:Z1787942354;
CC1(C)CCNC1,6264,100:10000:0:Z2965648197;100:10000:0:Z4995747277;100:10000:0:Z3614688230;
C1CC2(C1)CCNC2,5983,100:10000:0:Z5040028012;100:10000:0:Z4065143792;100:10000:0:Z5037951670;
Cn1ccc2ccccc21,5656,100:10000:0:Z4572206825;100:10000:0:Z1827664562;100:10000:0:Z1819849138;
C1CSCCN1,11160,100:10000:0:Z5019559991;100:10000:0:Z1390798424;100:10000:0:Z1769534001;
O=C1CCCC2(CCC2)N1,547,100:10000:0:Z2017979344;100:10000:0:Z4599597646;100:10000:2:Z3362955650;
C1CC2(C1)CCC2,13899,100:10000:0:Z3807006778;100:10000:0:Z2495776794;100:10000:0:Z2485529279;
O=c1cc[nH]c(=O)[nH]1,3402,100:10000:0:Z4031253588;100:10000:0:Z4026868530;100:10000:0:Z3060368223;
c1cc2n(n1)CCCO2,1347,100:10000:0:Z2774888984;100:10000:0:Z2212178046;100:10000:0:Z3621431173;
