fragment_smiles,occurences,example_ligands
Fc1cccc2cncnc12,232,94:09400:0:Z2218087783;94:09400:2:Z3650018923;94:09400:3:Z1874240106;
Cc1cn[nH]n1,2846,94:09400:0:Z2256565520;94:09400:0:Z2225356618;94:09400:1:Z3588350557;
Cn1ccc2ccccc21,5607,94:09400:0:Z2256565520;94:09400:0:Z4272549721;94:09400:0:Z4122964615;
c1cncnc1,89466,94:09400:0:Z4283494680;94:09400:0:Z2932372484;94:09400:0:Z1580023853;
c1cc2c(s1)CNCC2,1051,94:09400:0:Z3339763641;94:09400:1:Z4573415036;94:09400:2:Z4317039022;
C1CCC2COCCC2C1,1058,94:09400:0:Z3597073507;94:09400:0:Z4338691836;94:09400:2:Z4474973705;
Cc1ncc(F)c(C)n1,112,94:09400:0:Z989282818;94:09400:6:Z3832054905;94:09400:9:Z5061609476;
O=C1CCCC1,2467,94:09400:0:Z4621178964;94:09400:0:Z4295178936;94:09400:0:Z4290610506;
Cc1nc2ccccn2n1,1085,94:09400:0:Z4021473683;94:09400:1:Z2167795603;94:09400:1:Z3608017573;
CC1CCCc2ccccc21,691,94:09400:0:Z4021473683;94:09400:0:Z1588204690;94:09400:1:Z3318682147;
C1=COCCC1,649,94:09400:0:Z3057951275;94:09400:0:Z1772668773;94:09400:3:Z1614632086;
Fc1cncc(F)c1,1658,94:09400:0:Z3057951275;94:09400:0:Z4152529837;94:09400:1:Z3322779651;
Fc1cccnc1,26746,94:09400:0:Z3838721310;94:09400:0:Z4344402944;94:09400:0:Z4394582462;
Cc1coc(C)c1,777,94:09400:0:Z2963826865;94:09400:0:Z2032277107;94:09400:0:Z4246469093;
C1CC2(C1)CCOCC2,3774,94:09400:0:Z2963826865;94:09400:0:Z2924128266;94:09400:0:Z2616137591;
NC1CCC1,4539,94:09400:0:Z3789287641;94:09400:0:Z3019063738;94:09400:0:Z4114555511;
Clc1cccs1,9570,94:09400:0:Z4273981335;94:09400:0:Z2715006289;94:09400:0:Z1575484624;
c1cnc2c(c1)CCCC2,5663,94:09400:0:Z3582586946;94:09400:0:Z3696959412;94:09400:0:Z3594706498;
