fragment_smiles,occurences,example_ligands
Cc1cocn1,7367,407:40700:0:Z1745471706;407:40700:0:Z1319009197;407:40700:0:Z1653772470;
Cc1ccc(F)cc1F,832,407:40700:0:Z1348826230;407:40700:2:Z3091058238;407:40700:3:Z1554700446;
c1ccc2nccnc2c1,4358,407:40700:0:Z2220585109;407:40700:0:Z1668360557;407:40700:0:Z645939366;
Cc1cccs1,7672,407:40700:0:Z1397873989;407:40700:0:Z1503912765;407:40700:0:Z1931543031;
Cc1ncc(C)c(O)n1,3,407:40700:0:Z4233581103;407:40773:7:Z4228143604;407:40796:6:Z4230287647;
C1CC2(CCN1)CCNC2,2048,407:40700:0:Z4233581103;407:40700:0:Z3668596328;407:40700:0:Z3889425684;
Cn1cnc2ccccc21,8149,407:40700:0:Z4470997352;407:40700:0:Z4137906035;407:40700:0:Z1171736912;
c1ccc2cnncc2c1,830,407:40700:0:Z2959814326;407:40700:0:Z2498345840;407:40700:0:Z4224334111;
FC1(F)CCC1,6481,407:40700:0:Z3787212540;407:40700:0:Z2180683647;407:40700:0:Z4094280022;
O=S1(=O)CCCN1,9939,407:40700:0:Z2106570974;407:40700:0:Z1211581627;407:40700:0:Z871958690;
Cc1nccc(=O)[nH]1,485,407:40700:0:Z1642624688;407:40700:1:Z3139148373;407:40700:1:Z1084843360;
c1cnc2c(c1)CCCC2,4465,407:40700:0:Z1642624688;407:40700:0:Z1884359572;407:40700:0:Z3378950234;
c1ccc2ncccc2c1,29837,407:40700:0:Z3721216076;407:40700:0:Z3590630666;407:40700:0:Z3552230613;
Cc1nc2c3c(ccc2[nH]1)NCCC3,27,407:40700:0:Z3584773099;407:40702:3:Z3584776095;407:40711:9:Z4216912846;
O=c1cc[nH]c2ccccc12,2373,407:40700:0:Z907793758;407:40700:0:Z3815022000;407:40700:1:Z1393021479;
c1nnc2n1CCC2,3917,407:40700:0:Z4137589645;407:40700:0:Z3666097909;407:40700:1:Z404877836;
CC1(C)CC1(C)C,217,407:40700:0:Z3723645839;407:40700:2:Z3027331215;407:40700:3:Z3723933112;
