fragment_smiles,occurences,example_ligands
O=C1CCCN1,63253,53:05300:0:Z2187697437;53:05300:0:Z2625095155;53:05300:0:Z2618495435;
c1ccc2c(c1)OCCO2,11303,53:05300:0:Z2187697437;53:05300:0:Z4006979705;53:05300:0:Z3775198253;
NC1CCCCC1,6429,53:05300:0:Z2828199296;53:05300:0:Z2828539921;53:05300:0:Z2440077658;
Cc1cnco1,9406,53:05300:0:Z2273386844;53:05300:0:Z2099647655;53:05300:0:Z1596939326;
C1CC2CCC(C1)N2,8509,53:05300:0:Z4472250400;53:05300:0:Z2356230610;53:05300:0:Z4569489024;
CC1(C)CC2(CCNC2)CO1,309,53:05300:0:Z4047076873;53:05300:5:Z3790404632;53:05300:6:Z3820585166;
c1ccc2c(c1)CCCCN2,1026,53:05300:0:Z2478683061;53:05300:0:Z3836254903;53:05300:1:Z1952657643;
Cc1cccc2c1OCCCC2,47,53:05300:0:Z4455391909;53:05300:0:Z4391699047;53:05302:0:Z2482567374;
O=C1CCCCCN1,4835,53:05300:0:Z4246974905;53:05300:0:Z3701937165;53:05300:0:Z3494616093;
c1nc2c(s1)CCC2,2373,53:05300:0:Z4246974905;53:05300:1:Z3782617854;53:05300:1:Z2974643711;
Oc1ccccc1,37640,53:05300:0:Z244100976;53:05300:0:Z1424723048;53:05300:0:Z3138109460;
c1ccc2c(c1)CCOC2,10209,53:05300:0:Z3521661320;53:05300:0:Z3711999029;53:05300:0:Z2955310450;
C1CNCCN1,114090,53:05300:0:Z1584033185;53:05300:0:Z3138109460;53:05300:0:Z4344081394;
Cc1cncc(C)c1,3467,53:05300:0:Z2228940735;53:05300:0:Z3599476904;53:05300:1:Z3641448189;
Clc1ccncc1,2843,53:05300:0:Z2228940735;53:05300:0:Z1595683884;53:05300:0:Z4556494939;
Cc1cccc(Cl)c1,6255,53:05300:0:Z4574828429;53:05300:0:Z3566981231;53:05300:0:Z2073684060;
Fc1ccc(F)cc1,10312,53:05300:0:Z2095588660;53:05300:0:Z2506216846;53:05300:0:Z4255841795;
Clc1cccnc1,21148,53:05300:0:Z2500626806;53:05300:0:Z3408006524;53:05300:0:Z3876284834;
c1nc2c(s1)CNCC2,1378,53:05300:0:Z4317419955;53:05300:0:Z1780490225;53:05300:0:Z1927640592;
Cc1cc[nH]n1,28227,53:05300:0:Z1656273864;53:05300:0:Z2347536719;53:05300:0:Z4227849874;
c1ccc2c(c1)C1CCC2N1,384,53:05300:0:Z1656273864;53:05300:1:Z1339370761;53:05300:3:Z2977555086;
c1ccc2c(c1)OC1(CCNC1)O2,185,53:05300:0:Z2150081970;53:05301:9:Z2147513085;53:05303:5:Z4061770713;
O=c1cc[nH]c2ccccc12,900,53:05300:0:Z1814656188;53:05300:3:Z2227684088;53:05300:3:Z1980869907;
Clc1cccs1,10719,53:05300:0:Z1814656188;53:05300:0:Z2493304784;53:05300:0:Z4776953789;
c1ccc2c(c1)CNCCO2,2733,53:05300:0:Z2973658234;53:05300:0:Z2967079611;53:05300:0:Z3527764762;
OC1COC1,2037,53:05300:0:Z4556469137;53:05300:0:Z4343494077;53:05300:1:Z4590245371;
O=S1(=O)CCC2CNCCN21,427,53:05300:0:Z4314166298;53:05300:2:Z4314898271;53:05300:5:Z4315720589;
Cn1cnnc1,22122,53:05300:0:Z1561016999;53:05300:0:Z3095369931;53:05300:0:Z3094644998;
C1CC2(CCOCC2)CN1,2612,53:05300:0:Z1537617398;53:05300:0:Z3395938164;53:05300:0:Z3537669997;
C1CCCNCC1,23458,53:05300:0:Z2625930957;53:05300:0:Z4667139620;53:05300:0:Z2182146896;
C1CC2CNCC1C2,2044,53:05300:0:Z5058207933;53:05300:0:Z4576822341;53:05300:0:Z3790599030;
C1COC2(C1)CC2,527,53:05300:0:Z3552515183;53:05300:1:Z3656814133;53:05300:3:Z3609690251;
O=S1(=O)CCC12CCCC2,174,53:05300:0:Z3394718244;53:05300:3:Z3610562874;53:05301:9:Z3610565995;
CC1(C)C2CNCC21,357,53:05300:0:Z3095369931;53:05300:2:Z1274549148;53:05300:3:Z1663339845;
Cc1ccon1,13342,53:05300:0:Z2033513869;53:05300:0:Z1568388646;53:05300:0:Z1663446686;
Cc1cc(=O)[nH]n1C,126,53:05300:0:Z2033513869;53:05300:4:Z1715195954;53:05300:7:Z1564243237;
Fc1cccnc1,27487,53:05300:0:Z4153413724;53:05300:0:Z4487936146;53:05300:0:Z4138688616;
FC1(F)CC12CCNC2,977,53:05300:0:Z3101775883;53:05300:0:Z4317718259;53:05300:3:Z4317724661;
Clc1cncs1,1385,53:05300:0:Z2906952128;53:05300:0:Z2890331130;53:05300:1:Z1724398178;
Fc1cccc(F)c1,46485,53:05300:0:Z4519585246;53:05300:0:Z1039796670;53:05300:0:Z4577479771;
O=S1(=O)NCNc2ccccc21,165,53:05300:0:Z3624380709;53:05300:9:Z4055842148;53:05304:2:Z2004529964;
C1CNCC2(C1)CCO2,403,53:05300:0:Z3624380709;53:05300:1:Z3517828877;53:05300:4:Z4312593407;
c1nc[nH]n1,47131,53:05300:0:Z1973904763;53:05300:0:Z4017663912;53:05300:0:Z1344694733;
c1ccc2c(c1)NCC1CCCN21,124,53:05300:0:Z2625095155;53:05300:0:Z2618495435;53:05300:0:Z4125057959;
Clc1ccc2c(c1)CCO2,2640,53:05300:0:Z3857356358;53:05300:0:Z109340790;53:05300:0:Z1702765511;
Cc1ccnc(C)n1,3035,53:05300:0:Z2047058920;53:05300:0:Z2614414079;53:05300:0:Z3342225442;
C1COCCO1,8456,53:05300:0:Z2645275115;53:05300:0:Z3659609929;53:05300:0:Z3587829639;
Clc1ccccc1Cl,12638,53:05300:0:Z4273952849;53:05300:0:Z4492484219;53:05300:0:Z2098648079;
Cc1ccc2nc(C)cn2c1,135,53:05300:0:Z4483000949;53:05300:5:Z4492609870;53:05300:6:Z4489951195;
Cc1ncon1,11674,53:05300:0:Z4483000949;53:05300:0:Z4122497165;53:05300:0:Z4128167689;
CC1(C)CCCCO1,5142,53:05300:0:Z2861011066;53:05300:0:Z1583106835;53:05300:0:Z3381327583;
Cc1ccccn1,29398,53:05300:0:Z2657670281;53:05300:0:Z4571928102;53:05300:0:Z4571850413;
OC12CCNCC1COCC2,397,53:05300:0:Z4478431939;53:05300:1:Z4478441773;53:05300:7:Z4478433059;
C1CCN2CCCC2C1,3523,53:05300:0:Z3208303163;53:05300:0:Z4286826825;53:05300:0:Z2861396308;
OC1C2CNCC1OC2,353,53:05300:0:Z4155590510;53:05300:2:Z4156454701;53:05300:2:Z4158226314;
O=C1CSCN1,380,53:05300:0:Z4359392329;53:05301:0:Z1891416825;53:05301:1:Z342776098;
CN1CCCNc2ccc(F)cc21,135,53:05300:0:Z1766037689;53:05300:3:Z2276518511;53:05301:8:Z3298042457;
O=c1ccc2c([nH]1)CCCC2,1136,53:05300:0:Z3360675013;53:05300:0:Z3789525496;53:05300:1:Z2624502300;
CC1CC(C)C1,626,53:05300:0:Z3438506883;53:05300:0:Z3407198020;53:05300:1:Z3611041967;
FC1(F)Cc2ccnn2C1,377,53:05300:0:Z4017663912;53:05300:0:Z4167119270;53:05300:1:Z4019280832;
FC1CCCOC1,1078,53:05300:0:Z3295080537;53:05300:0:Z4468733437;53:05300:1:Z4170806032;
O=C1C2CCCCC1CCC2,317,53:05300:0:Z2782022597;53:05300:0:Z2782020604;53:05300:1:Z4479344108;
Cc1ccccc1C,13428,53:05300:0:Z1424723048;53:05300:0:Z816464184;53:05300:0:Z3471087753;
C1CC2CC(C2)O1,1595,53:05300:0:Z5021415985;53:05300:0:Z4413099309;53:05300:0:Z4413099308;
Cc1ccncc1,14723,53:05300:0:Z5021415985;53:05300:0:Z4328938390;53:05300:0:Z3205901218;
OC1CCC1,18212,53:05300:0:Z2254861923;53:05300:0:Z3007502660;53:05300:0:Z4195169185;
O=C1CCNCC1,834,53:05300:0:Z4478085197;53:05300:0:Z1654968824;53:05300:1:Z3524792856;
FC1(F)CCCCCC1,1027,53:05300:0:Z4122497165;53:05300:1:Z4217788960;53:05300:1:Z4185421041;
Cc1cncs1,11523,53:05300:0:Z3358574069;53:05300:0:Z1872892900;53:05300:0:Z4134754142;
CN1CCNCCC1=O,290,53:05300:0:Z3358574069;53:05300:3:Z4135897040;53:05301:3:Z3829841963;
c1nnc[nH]1,41559,53:05300:0:Z3358574069;53:05300:0:Z2273609383;53:05300:0:Z3164509855;
C1=NOC2(C1)CCNCC2,182,53:05300:0:Z3521382387;53:05300:9:Z3521381384;53:05301:0:Z4575930932;
Cn1cncn1,13271,53:05300:0:Z3596309496;53:05300:0:Z2435369135;53:05300:0:Z3549948940;
c1ccc2c(c1)CCO2,12574,53:05300:0:Z4344081394;53:05300:0:Z2801214342;53:05300:0:Z3205026472;
Fc1ccsc1,1136,53:05300:0:Z4211217179;53:05300:0:Z4278071852;53:05300:0:Z2224296430;
c1nc2c([nH]1)C1(CCNCC1)NCC2,30,53:05300:0:Z4211217179;53:05301:8:Z4211216048;53:05302:9:Z3034399658;
NC1CCCn2nccc21,142,53:05300:0:Z4059325948;53:05300:0:Z4059340802;53:05300:0:Z3019641719;
Clc1ccc(Cl)cc1,3845,53:05300:0:Z4059325948;53:05300:0:Z4059340802;53:05300:0:Z3019641719;
Cc1ncnn1C,375,53:05300:0:Z2294689285;53:05300:3:Z2229696285;53:05300:4:Z4092099956;
CC1(C)CCCc2ccccc21,415,53:05300:0:Z2294689285;53:05300:4:Z936999986;53:05300:5:Z1979143312;
Cc1ccncn1,17823,53:05300:0:Z4335187444;53:05300:0:Z3011604206;53:05300:0:Z1679777584;
c1ccc2ccccc2c1,10463,53:05300:0:Z3640691530;53:05300:0:Z1373844134;53:05300:0:Z3612072681;
CN1CCCC12CCCC2,366,53:05300:0:Z3701937165;53:05300:0:Z3494616093;53:05300:9:Z3647048297;
Cc1csc2ncncc12,331,53:05300:0:Z4168353879;53:05300:0:Z1569772662;53:05300:4:Z4341908346;
CC1CCCCO1,5719,53:05300:0:Z4168353879;53:05300:0:Z1569772662;53:05300:0:Z3441317845;
c1ncsn1,10698,53:05300:0:Z4456420414;53:05300:0:Z4218903431;53:05300:0:Z1576939511;
c1cc2c(cn1)CCNC2,851,53:05300:0:Z4456420414;53:05300:0:Z4346496651;53:05300:0:Z3560428334;
Cc1csc(N)n1,148,53:05300:0:Z4064891483;53:05300:3:Z2395391746;53:05300:4:Z2439521668;
O=c1ccoc2ccc(F)cc12,85,53:05300:0:Z1337549006;53:05300:5:Z27805461;53:05301:3:Z3091757211;
c1cnc2c(c1)CCC2,3429,53:05300:0:Z4590172733;53:05300:0:Z3381348307;53:05300:0:Z3590488886;
