fragment_smiles,occurences,example_ligands
c1cc[nH]c1,26100,3:00300:0:Z3201176861;3:00300:0:Z2646036850;3:00300:0:Z1724908603;
Cc1ccon1,16310,3:00300:0:Z3816341857;3:00300:0:Z2588830886;3:00300:0:Z2588426960;
O=c1[nH]c2ccccc2[nH]1,1180,3:00300:0:Z2646140758;3:00300:1:Z3619784896;3:00300:2:Z1023940364;
O=S1(=O)CCC1,6703,3:00300:0:Z3026235396;3:00300:0:Z2850194517;3:00300:0:Z3361262207;
OC1CCNC1,28484,3:00300:0:Z3026235396;3:00300:0:Z3132728480;3:00300:0:Z4115854883;
Cc1cccc(F)c1,10082,3:00300:0:Z2364174266;3:00300:0:Z2364050538;3:00300:0:Z3394403826;
c1cnc2ccnn2c1,2987,3:00300:0:Z4468630275;3:00300:0:Z4170956224;3:00300:0:Z3664198080;
O=S1CC2CC1CN2,572,3:00300:0:Z4468630275;3:00300:1:Z2474230031;3:00300:2:Z3574373401;
C1CSCN1,5092,3:00300:0:Z3158698396;3:00300:0:Z4241936201;3:00300:0:Z4048718712;
CC1CNCC(C)C1,1990,3:00300:0:Z2630944805;3:00300:0:Z2766985832;3:00300:0:Z4556551951;
Cn1cnnc1,15381,3:00300:0:Z2630944805;3:00300:0:Z2014101685;3:00300:0:Z2869984962;
C1CC2(C1)CCC2,13584,3:00300:0:Z4017635633;3:00300:0:Z4281421149;3:00300:0:Z3700924082;
NC1CC2CCCC(C1)N2,162,3:00300:0:Z2450802550;3:00300:1:Z3656294618;3:00300:3:Z2391191723;
Cc1cccc(C)c1,16215,3:00300:0:Z2290319219;3:00300:0:Z1153208249;3:00300:0:Z4959407731;
C1CNCC2(C1)CCOC2,341,3:00300:0:Z2290319219;3:00300:2:Z5000989878;3:00300:5:Z2298572981;
O=c1[nH]cc(Cl)c(=O)[nH]1,145,3:00300:0:Z1381423054;3:00301:0:Z1313286288;3:00302:1:Z4302936992;
c1ccc2c(c1)OCO2,5354,3:00300:0:Z1381423054;3:00300:0:Z4477305591;3:00300:0:Z2492275554;
C1CC2NCC1C1CNCC21,30,3:00300:0:Z4204481658;3:00307:5:Z2692208156;3:00308:4:Z2828011764;
C1CNOC1,4141,3:00300:0:Z2182825639;3:00300:0:Z3365077167;3:00300:1:Z3591968220;
C1=CCNCC1,3421,3:00300:0:Z1902327098;3:00300:0:Z4225935913;3:00300:0:Z3510347110;
Cc1ccncc1,14461,3:00300:0:Z4419085426;3:00300:0:Z4419083596;3:00300:0:Z4419073023;
Cc1ncc(C)c(C)n1,265,3:00300:0:Z3079114178;3:00300:1:Z1425948052;3:00300:8:Z3395715970;
C1CC2CC1CO2,5242,3:00300:0:Z4045917347;3:00300:0:Z4394254167;3:00300:0:Z4668795681;
