fragment_smiles,occurences,example_ligands
CC1CNC1,54781,90:09000:0:PV-003031755137;90:09000:0:PV-003031755446;90:09000:0:PV-003031755813;
Fc1ccc2cc[nH]c2c1,644,90:09000:0:PV-003877304628;90:09000:2:PV-003031787878;90:09000:3:PV-003877421708;
Cc1cc2c(cc1C)OCC2,148,90:09000:0:PV-003877304633;90:09001:1:PV-006623145382;90:09002:8:PV-006624854737;
OC1C2CC(ON2)C1O,123,90:09000:0:PV-003877304633;90:09000:4:PV-003877451273;90:09001:2:PV-006623191696;
CC1CCNCCN1,6374,90:09000:0:PV-003031755144;90:09000:0:PV-003031755812;90:09000:0:PV-003031759466;
Cc1ccc(C)s1,4612,90:09000:0:PV-001667904342;90:09000:0:PV-003877309024;90:09000:0:PV-002393536954;
Clc1ccco1,19352,90:09000:0:PV-001667904342;90:09000:0:PV-003877306146;90:09000:0:PV-003877306147;
Cc1ccno1,20960,90:09000:0:PV-003877304652;90:09000:0:PV-001507454387;90:09000:0:PV-003031757666;
Clc1cnn[nH]1,4936,90:09000:0:PV-003877304661;90:09000:0:PV-003877312233;90:09000:0:PV-003877315708;
O=C1CCCN1,53650,90:09000:0:PV-003877304734;90:09000:0:PV-003031755198;90:09000:0:PV-002704689493;
C1CNC2(C1)CCNCC2,899,90:09000:0:PV-003877304747;90:09000:1:PV-003877356072;90:09000:2:PV-003031784860;
Cc1nccs1,21272,90:09000:0:PV-003031755206;90:09000:0:PV-003031755207;90:09000:0:PV-003031755208;
CN1CCCCC1,18048,90:09000:0:PV-003031755206;90:09000:0:PV-003031755207;90:09000:0:PV-003031755208;
Cc1cccc2c1CCCO2,125,90:09000:0:PV-002341784376;90:09000:4:PV-002600539475;90:09000:9:PV-002497054795;
Clc1ccccc1Cl,9808,90:09000:0:PV-003877304841;90:09000:0:PV-002600530880;90:09000:0:PV-002548779519;
CC1(C)CCCN1,18030,90:09000:0:PV-003877304846;90:09000:0:PV-003877304900;90:09000:0:PV-003877314390;
CC12CCC(CC1)C2(C)C,327,90:09000:0:PV-003031755239;90:09000:0:PV-003031770426;90:09000:3:PV-003031798975;
C1CC2CCC1C2,14618,90:09000:0:PV-003031755258;90:09000:0:PV-003877316941;90:09000:0:PV-003877316942;
FC1(F)CC12CCC2,2686,90:09000:0:PV-003877304890;90:09000:0:PV-003877304969;90:09000:0:PV-003877338870;
Cn1ccncc1=O,993,90:09000:0:PV-003877304900;90:09000:0:PV-001772771995;90:09000:0:PV-002497037072;
c1ccc2ncccc2c1,11597,90:09000:0:PV-003031755287;90:09000:0:PV-003031756917;90:09000:0:PV-003031757047;
CC1(C)CCCNC1,9458,90:09000:0:PV-003031755298;90:09000:0:PV-003031755299;90:09000:0:PV-001768430891;
C1CC2CCNCC(C1)N2,542,90:09000:0:PV-003877304959;90:09000:3:PV-003877405369;90:09000:4:PV-006622391366;
Cc1ccn[nH]1,22584,90:09000:0:PV-003877304959;90:09000:0:PV-003031755688;90:09000:0:PV-003031755689;
C1CC2CNC2CN1,5901,90:09000:0:PV-003877304969;90:09000:0:PV-003877317652;90:09000:0:PV-003877325088;
Cc1cscn1,19475,90:09000:0:PV-003877304978;90:09000:0:PV-003877310284;90:09000:0:PV-003877313314;
c1ccc2sncc2c1,3059,90:09000:0:PV-003031755303;90:09000:0:PV-002548780468;90:09000:1:PV-003031775377;
Nc1nncs1,878,90:09000:0:PV-003031755320;90:09000:1:PV-003877372044;90:09000:2:PV-003031786834;
c1ccc2ccccc2c1,5895,90:09000:0:PV-003031755320;90:09000:0:PV-003031757727;90:09000:0:PV-003877318371;
Cc1n[nH]cc1O,1355,90:09000:0:PV-001693647464;90:09000:0:PV-003877321924;90:09000:0:PV-003877321926;
C1CNC2CCNCC2C1,1882,90:09000:0:PV-003031755328;90:09000:0:PV-003031766562;90:09000:0:PV-003877334574;
Fc1ccco1,5166,90:09000:0:PV-003031755328;90:09000:0:PV-003877318399;90:09000:0:PV-003031768330;
CC1(C)CCCCO1,3896,90:09000:0:PV-003877305081;90:09000:0:PV-003877323930;90:09000:0:PV-003877323931;
Cc1cccc(C)c1,14699,90:09000:0:PV-003877305138;90:09000:0:PV-003877306003;90:09000:0:PV-000495637855;
Nc1nccn2nccc12,98,90:09000:0:PV-003877305138;90:09000:1:PV-003031777621;90:09000:2:PV-003031785195;
C1CC2CNCC2C1,6715,90:09000:0:PV-003877305160;90:09000:0:PV-003877305161;90:09000:0:PV-003877308966;
CC1CCCNC1,36058,90:09000:0:PV-003877305168;90:09000:0:PV-003877306386;90:09000:0:PV-001698654254;
Cc1cn[nH]c(=O)c1,1373,90:09000:0:PV-003031755379;90:09000:2:PV-003877383548;90:09000:2:PV-003877399448;
Cc1csc(C)n1,3926,90:09000:0:PV-000508551088;90:09000:0:PV-000504333363;90:09000:0:PV-000461398280;
c1ccn2cncc2c1,3523,90:09000:0:PV-002341784405;90:09000:0:PV-002600531401;90:09000:1:PV-002290037402;
Fc1cn[nH]c1,6313,90:09000:0:PV-001605038388;90:09000:0:PV-001774458353;90:09000:0:PV-003877312176;
Cc1ccn(C)c1,4899,90:09000:0:PV-003031755446;90:09000:0:PV-003877307588;90:09000:0:PV-003877308977;
C1CCOCC1,75981,90:09000:0:PV-003877305347;90:09000:0:PV-003877305348;90:09000:0:PV-003877305349;
C1CNC2(C1)CCC2,6717,90:09000:0:PV-003877305370;90:09000:0:PV-003877305401;90:09000:0:PV-003877306344;
Cc1ccc2c(c1)NCC2,109,90:09000:0:PV-002186531298;90:09000:4:PV-003031810013;90:09002:2:PV-002497081171;
C1CC2OCCNC2CN1,1927,90:09000:0:PV-003877305402;90:09000:0:PV-003877305403;90:09000:1:PV-003877365952;
Cc1cnco1,12949,90:09000:0:PV-003877305441;90:09000:0:PV-003877307435;90:09000:0:PV-003877307436;
