fragment_smiles,occurences,example_ligands
c1ccc2c(c1)CCCN2,14573,92:09200:0:Z2873126014;92:09200:0:Z2001912281;92:09200:0:Z1905830025;
Cn1ncccc1=O,667,92:09200:0:Z2873126014;92:09200:1:Z1433765513;92:09200:3:Z2720697822;
Cc1cncc(O)c1,166,92:09200:0:Z1975386372;92:09200:3:Z1747494316;92:09200:8:Z1746587620;
c1nnco1,27697,92:09200:0:Z3584257917;92:09200:0:Z4236138234;92:09200:0:Z1662276901;
c1cnoc1,80173,92:09200:0:Z3584257917;92:09200:0:Z2492870056;92:09200:0:Z1931662945;
Cc1ccccn1,29086,92:09200:0:Z5053506692;92:09200:0:Z3254731686;92:09200:0:Z3540588266;
CC1CCNC1,21094,92:09200:0:Z2353328143;92:09200:0:Z2961435109;92:09200:0:Z4282118643;
Clc1ccc2occc2c1,340,92:09200:0:Z2353328143;92:09200:0:Z2480604825;92:09200:1:Z1830114929;
Cc1cnco1,9687,92:09200:0:Z2067089388;92:09200:0:Z4638569227;92:09200:0:Z3870476297;
Cc1nccs1,13978,92:09200:0:Z3138500074;92:09200:0:Z2280051697;92:09200:0:Z1559685263;
C1CC2CC1CN2,5491,92:09200:0:Z3138500074;92:09200:0:Z3135592648;92:09200:0:Z746211454;
Clc1cccnc1,19941,92:09200:0:Z3603649988;92:09200:0:Z1329155109;92:09200:0:Z2966158325;
Cc1cc2nc[nH]c2cc1C,441,92:09200:0:Z3833909507;92:09200:1:Z1447475021;92:09200:4:Z3843663048;
Cc1cc(=O)n2ncsc2n1,414,92:09200:0:Z2837387071;92:09200:6:Z1532999446;92:09201:1:Z3832370215;
C1CCCNCC1,25665,92:09200:0:Z2837387071;92:09200:0:Z1726318904;92:09200:0:Z2488593457;
c1nc[nH]n1,50560,92:09200:0:Z1206333692;92:09200:0:Z1895451262;92:09200:0:Z4608390476;
Fc1cc(F)c2c(c1)CCC2,327,92:09200:0:Z4489659928;92:09200:3:Z3138767612;92:09200:3:Z3138767610;
Cc1cccnc1,21879,92:09200:0:Z2298781831;92:09200:0:Z1931662945;92:09200:0:Z2067623353;
FC1CCC1,9309,92:09200:0:Z3653978020;92:09200:0:Z3907156431;92:09200:0:Z3179916859;
Oc1ccnc2ccccc12,498,92:09200:0:Z2916484838;92:09200:0:Z4141708929;92:09200:2:Z1448563799;
CC1(C)CC=NO1,632,92:09200:0:Z4477256098;92:09200:1:Z4346673861;92:09200:5:Z4477247681;
Cc1ccc(Cl)cc1C,380,92:09200:0:Z1869845204;92:09200:3:Z3694962969;92:09200:7:Z4995633706;
C1CCCC1,133782,92:09200:0:Z2643195237;92:09200:0:Z4408110479;92:09200:0:Z2928371462;
c1cn2c(n1)CNCCC2,847,92:09200:0:Z4271946371;92:09200:0:Z4056013355;92:09200:1:Z3640412480;
c1ccc2nsnc2c1,1777,92:09200:0:Z4271946371;92:09200:0:Z4418845924;92:09200:1:Z2712242507;
OC1CCCCC1,16561,92:09200:0:Z1952509370;92:09200:0:Z4329595484;92:09200:0:Z2623263571;
O=C1CCCCN1,31069,92:09200:0:Z1952509370;92:09200:0:Z4329595484;92:09200:0:Z3542302235;
CC1CNC(C)(C)C1,508,92:09200:0:Z2497312510;92:09200:8:Z4621834730;92:09200:8:Z1883994900;
c1cnccn1,31710,92:09200:0:Z1365795678;92:09200:0:Z2143071711;92:09200:0:Z1272332171;
c1cn2c(n1)CCCC2,11144,92:09200:0:Z4477419503;92:09200:0:Z4506276417;92:09200:0:Z1481095730;
CC1(O)CCS(=N)(=O)CC1,113,92:09200:0:Z4477419503;92:09202:8:Z4477428996;92:09204:0:Z4477413368;
O=S1(=O)CC2(CCNCC2)C1,353,92:09200:0:Z3175358975;92:09200:0:Z3384332635;92:09200:6:Z3091850968;
Cc1ncsc1C,2375,92:09200:0:Z2329072063;92:09200:0:Z1895391364;92:09200:0:Z1432671939;
CC1(C)CCCOC1,3161,92:09200:0:Z3091604460;92:09200:0:Z3640730278;92:09200:0:Z3317187208;
CC1(C)OCc2cnc(Cl)nc21,82,92:09200:0:Z2272325918;92:09201:1:Z2271156255;92:09201:1:Z2365169675;
Fc1cccc2ncccc12,572,92:09200:0:Z4886611069;92:09200:1:Z3792456031;92:09200:2:Z4121918915;
C1COC2(C1)CCNCC2,2161,92:09200:0:Z3583287454;92:09200:0:Z3550182189;92:09200:0:Z4447740340;
C1COCO1,9533,92:09200:0:Z2783812577;92:09200:0:Z2362085026;92:09200:0:Z2162130578;
O=S1(=O)CCC2CNCC21,1561,92:09200:0:Z3205250808;92:09200:0:Z4487686518;92:09200:1:Z3316400126;
C1NCC2CC12,12011,92:09200:0:Z4437050351;92:09200:0:Z4598767914;92:09200:0:Z4612350291;
Cc1ncco1,4124,92:09200:0:Z4993595647;92:09200:0:Z4104040581;92:09200:0:Z3847906320;
Cc1ncc[nH]1,9491,92:09200:0:Z4993595647;92:09200:0:Z1562819791;92:09200:0:Z1578821985;
C1CC2(C1)COCCO2,743,92:09200:0:Z5018900816;92:09200:0:Z5013285899;92:09200:1:Z5019009692;
OC1CCC12CCNC2,240,92:09200:0:Z4506276417;92:09200:1:Z4031200871;92:09200:3:Z4011854032;
Cc1ccncc1,14154,92:09200:0:Z3370020175;92:09200:0:Z4563291152;92:09200:0:Z1874051546;
O=S1(=O)Cc2ccoc2C1,214,92:09200:0:Z3370020175;92:09200:1:Z3363681945;92:09200:4:Z3597462340;
O=S1(=O)NC=Nc2cccc(F)c21,83,92:09200:0:Z4006339085;92:09200:0:Z4344861317;92:09200:1:Z3520876003;
CC1CCCNC1,19721,92:09200:0:Z2298583094;92:09200:0:Z5009061213;92:09200:0:Z1982320603;
c1nncs1,30330,92:09200:0:Z5009061213;92:09200:0:Z2180207046;92:09200:0:Z4329892812;
Cc1ccnn1C,9317,92:09200:0:Z1743031472;92:09200:0:Z1432693225;92:09200:0:Z3617949290;
