fragment_smiles,occurences,example_ligands
C1CCC2(CCC2)NC1,2051,8:00800:0:Z4194428701;8:00800:0:Z4001529801;8:00800:0:Z4001529800;
C1CCC2(CCC2)OC1,2996,8:00800:0:Z3518400788;8:00800:0:Z3713080872;8:00800:1:Z2879150485;
C1CCCNCC1,20251,8:00800:0:Z4228797892;8:00800:0:Z2273850189;8:00800:0:Z4519788794;
Cn1ccc(=O)[nH]c1=O,943,8:00800:0:Z1197786905;8:00800:0:Z3558709733;8:00800:0:Z4229038879;
Clc1cccc(Cl)c1,12222,8:00800:0:Z4345119067;8:00800:0:Z4345119861;8:00800:0:Z4345122393;
Cc1nnco1,6162,8:00800:0:Z2603167382;8:00800:0:Z2874977705;8:00800:0:Z5023216005;
Cc1c[nH]c2c1C(=O)CCC2,105,8:00800:0:Z2656816676;8:00800:0:Z2440126965;8:00800:0:Z113264060;
Cc1cc(=O)cc(C)[nH]1,40,8:00800:0:Z2174029828;8:00804:2:Z2173854569;8:00806:5:Z2172754264;
CC1(O)CCCCC1,1302,8:00800:0:Z2970636897;8:00800:0:Z2960225977;8:00800:2:Z3361708944;
CC(C)=CF,1288,8:00800:0:Z4279506517;8:00800:0:Z4386612551;8:00800:1:Z4385299214;
O=C1NCCc2ccccc21,715,8:00800:0:Z4279506517;8:00800:3:Z2625116889;8:00800:3:Z3596466670;
Cc1ccc(C)nn1,1570,8:00800:0:Z4295942482;8:00800:0:Z3344021613;8:00800:0:Z4326837072;
C1COC2(C1)CCOCC2,1031,8:00800:0:Z4347706600;8:00800:0:Z5013406084;8:00800:4:Z4572230934;
C1CC2(C1)COCCN2,1387,8:00800:0:Z3644414280;8:00800:0:Z4421713529;8:00800:1:Z3844777777;
Cc1cn2ccsc2n1,862,8:00800:0:Z1489427611;8:00800:0:Z3298076474;8:00800:0:Z3092335124;
Cc1cccn1C,2290,8:00800:0:Z3044698622;8:00800:0:Z2883370989;8:00800:1:Z3669249042;
Cc1cccc2c1C(=O)NCCN2,36,8:00800:0:Z2812925383;8:00800:0:Z4244384466;8:00800:9:Z3520373421;
CC1CSCCN1,2007,8:00800:0:Z3623120133;8:00800:0:Z3631279140;8:00800:0:Z3297715010;
O=C1Cc2cc(F)ccc2N1,80,8:00800:0:Z3623120133;8:00800:0:Z3631279140;8:00800:0:Z3297715010;
Cc1cc[nH]n1,21367,8:00800:0:Z3527838898;8:00800:0:Z3393302780;8:00800:0:Z3474238874;
Cc1cnnn1C,1711,8:00800:0:Z3527838898;8:00800:0:Z2853371625;8:00800:0:Z2479795731;
CC1CCC1,15460,8:00800:0:Z4265747202;8:00800:0:Z3298164494;8:00800:0:Z4887056250;
CN1CCCNCC1,1365,8:00800:0:Z1402795409;8:00800:0:Z3207932040;8:00800:1:Z1461071897;
OC1CCNCC1,11887,8:00800:0:Z3520343832;8:00800:0:Z2605173884;8:00800:0:Z4100401653;
C1CCC2(CC1)CC2,5686,8:00800:0:Z3520343832;8:00800:0:Z4191975425;8:00800:0:Z2950130175;
C1NCC12COC2,676,8:00800:0:Z4278942971;8:00800:0:Z4220605126;8:00800:1:Z4233534641;
OC1CCCC1,20134,8:00800:0:Z4065502490;8:00800:0:Z4777413365;8:00800:0:Z4065570151;
c1cc2c([nH]1)CCCC2,565,8:00800:0:Z2966389572;8:00800:4:Z2824492678;8:00800:5:Z2254393233;
C1=NCC2(CCOCC2)CN1,29,8:00800:0:Z3301885042;8:00801:6:Z3301885189;8:00806:0:Z3301884881;
Cn1cnnn1,5308,8:00800:0:Z2998435487;8:00800:0:Z1328617535;8:00800:0:Z2091714195;
CC1CCCNC1,19347,8:00800:0:Z3365249588;8:00800:0:Z2924765420;8:00800:0:Z4448061850;
Cc1c[nH]cn1,4288,8:00800:0:Z2915730116;8:00800:0:Z4027606259;8:00800:0:Z3543516538;
CC1Cc2ccccc2C1,579,8:00800:0:Z3390273142;8:00800:3:Z3080977268;8:00800:3:Z2302501254;
Fc1cncc(F)c1,1727,8:00800:0:Z3390273142;8:00800:0:Z3881056718;8:00800:0:Z2946588753;
Cn1cncn1,14448,8:00800:0:Z4446044204;8:00800:0:Z1353007937;8:00800:0:Z4268905617;
Nc1cc[nH]n1,1151,8:00800:0:Z4446044204;8:00800:0:Z4106634346;8:00800:1:Z4106394843;
Fc1cccc(Cl)c1,13302,8:00800:0:Z1763688290;8:00800:0:Z3232218138;8:00800:0:Z2899413643;
c1cnc2ncnn2c1,2500,8:00800:0:Z3392055070;8:00800:0:Z1957733414;8:00800:0:Z2852371785;
CC1(C)CC2(CCC2)C1,803,8:00800:0:Z4145222154;8:00800:0:Z3208130932;8:00800:1:Z3625314120;
C1CC2CCC2C1,7091,8:00800:0:Z4259144960;8:00800:0:Z4259143729;8:00800:0:Z4348890407;
Clc1cc2cncnc2[nH]1,187,8:00800:0:Z4233965287;8:00800:2:Z2770216050;8:00804:6:Z2770600908;
C1CCC2(CC1)CCCO2,1039,8:00800:0:Z3361696105;8:00800:0:Z2977917759;8:00800:2:Z2964607152;
Cc1ccco1,21150,8:00800:0:Z2351736608;8:00800:0:Z3179418838;8:00800:0:Z4151278933;
CC1CCCC1,16015,8:00800:0:Z2351736608;8:00800:0:Z4577483291;8:00800:0:Z4516653584;
C1CC2CCC1N2,6654,8:00800:0:Z1675275296;8:00800:0:Z2770791262;8:00800:0:Z3511080073;
c1cnsn1,3647,8:00800:0:Z4352159600;8:00800:0:Z4172454997;8:00800:1:Z4343470201;
CC1CNCC1C,2915,8:00800:0:Z4486186734;8:00800:0:Z2701083145;8:00800:0:Z3795080882;
Cc1cn2ncsc2n1,328,8:00800:0:Z1422042096;8:00800:6:Z1365758396;8:00800:8:Z4175149086;
CC1CC=CCC1,40,8:00800:0:Z4453204171;8:00800:8:Z4453203041;8:00802:6:Z4518887398;
Cn1cnn(C)c1=O,144,8:00800:0:Z4453204171;8:00800:3:Z4645974361;8:00800:4:Z4645974861;
